config,vgg16_liong,vgg16_nitik,vgg16_megamendung,vgg19_liong,vgg19_nitik,vgg19_megamendung
_1,0.113612883579016,0.15972441450665598,0.17738651405725256,0.0666927375208216,0.12195817423416917,0.05734299456591723
_2,0.18394074531868917,0.1765243961853099,0.19757901870118288,0.12603801674570364,0.12323281820449311,0.07794680687902523
_3,0.18073463689551383,0.16044730053793005,0.1938888913341606,0.11295669001124772,0.1241825994659457,0.09756993205211008
_4,0.1935024914662417,0.21528986609789888,0.23497388608140957,0.09569584254663925,0.12683494379802568,0.08637228735859934
_5,0.09414300776733889,0.1579863757932682,0.18334759667728268,0.07447630188104984,0.12203932053795746,0.06730750498298416
_12,0.1643145888572481,0.16877447479103533,0.18616261748301244,0.11444426821825576,0.12251031567003548,0.07094287199614334
_13,0.17348629774356258,0.16304737617477366,0.193575600226513,0.10443056418291374,0.1200193506360521,0.1978051926910946
_14,0.18515805029440185,0.19635964667791356,0.2225278128763091,0.09433172415680663,0.12541987035001098,0.09060220317112189
_15,0.10379899297083431,0.15613291170659888,0.17676219467076254,0.07124565758233078,0.12194842372899022,0.08122210332209519
_23,0.16489062208660019,0.16924350196751997,0.19273276912325607,0.1181571240038291,0.12461013384078297,0.09204255489217353
_24,0.1796393055215114,0.2053564088114419,0.2180870388549391,0.08427450596984451,0.12233588536215624,0.07984923564000843
_25,0.16595332948330344,0.16593586184053022,0.17744879269617528,0.18944855814078299,0.024556292324032468,0.07683601641745216
_34,0.17737663740709372,0.15799993349970856,0.18680834191756615,0.10200681653959827,0.12724342437384595,0.06758653321921186
_35,0.17465507394745433,0.16043899222595628,0.19431453338324434,0.10211358635341992,0.12132049955446185,0.09281992615216722
_45,0.1878777328125477,0.19772098521108733,0.21927327874466157,0.09400658942377249,0.12384443635277184,0.0822299169859376
_123,0.15061442042507694,0.15425741707034382,0.18237636971123508,0.10591853667833066,0.1209878267738771,0.08004673153882255
_124,0.16284590850391678,0.18119841004974652,0.2081622628173281,0.08000953970935519,0.12558771492880338,0.07353664863765581
_125,0.1864521847897447,0.1633116309938643,0.18938026519237808,0.10457388647492423,0.12367466669544067,0.06479945981402195
_134,0.15990443295622014,0.1564382417045324,0.1205815040355506,0.08033273612042194,0.12253685710384978,0.05921920978698081
_135,0.16228436988219014,0.14211778884376222,0.1848750047291668,0.09025121675721026,0.1229320075861842,0.07598579541151305
_145,0.17497882340887957,0.18959694620498407,0.20678646683823604,0.0898626703157319,0.12337494214369189,0.07092425673450145
_234,0.07621361762874311,0.1615606264735328,0.17682318066344901,0.06343230847164362,0.12342189444743504,0.05041207766778122
_235,0.14928034638361787,0.0902721847344822,0.1866319557156857,0.10523724126662015,0.12311999730848687,0.07865741489163998
_245,0.16293385133683444,0.18181012140163486,0.2055748949045763,0.19035597525660256,0.122453325082773,0.07081775801076674
_345,0.158623902202831,0.15209262047080424,0.17837292972929542,0.10004693958260023,0.12346173588181751,0.06300286992192405
_1234,0.06718792381901315,0.16111310052173666,0.17578457580026544,0.06137512006473916,0.12250630112268043,0.05046377076043561
_1235,0.16879606204663303,0.17492177932107286,0.1995130977637094,0.1290469526770503,0.12638323866611856,0.10659634664504482
_1245,0.18779392348713772,0.21042107576733654,0.22699259003979663,0.09132406048816817,0.12147164481513976,0.19891485453673413
_1345,0.2047416123827283,0.1604798701639782,0.18760828459299558,0.09038926341831754,0.12389173868285641,0.07437816303746649
_2345,0.09257040441861536,0.15993973541334927,0.17719570401430282,0.06205044478647742,0.1209449829788252,0.06887693283330018
