config,vgg16_liong,vgg16_nitik,vgg16_megamendung,vgg19_liong,vgg19_nitik,vgg19_megamendung
_1,0.1096489995222086,0.11601221728791146,0.12922823691138582,0.06508749486158254,0.09417387462940924,0.03946317192286971
_2,0.17008008410079875,0.1271018938265836,0.13731066415217524,0.12113658745802772,0.09438763990243251,0.053672088998772974
_3,0.1678796991986518,0.11632589249277493,0.13524671134216687,0.10773291988413614,0.09648112480354945,0.06474610731887578
_4,0.17715592158405763,0.16443751368733459,0.17467087351831226,0.09176504583510557,0.0974804169818577,0.059994577682890154
_5,0.090369106593234,0.11390577251916724,0.13158897684298532,0.07231918382358099,0.094643630949489,0.047687351338595134
_12,0.1525740558165854,0.11946794118771113,0.1328872769887836,0.11057434066412544,0.09383894680526467,0.04860548914339156
_13,0.1618516500948459,0.11909313658796546,0.13671616285293642,0.10001719554561678,0.09283436747838843,0.1479514246688397
_14,0.17138825760049925,0.1482163691675572,0.1636484471387927,0.09075419362450737,0.09611052405507849,0.06330016460970367
_15,0.09984067524880638,0.11206809839989994,0.12753723325504782,0.06925879403739665,0.09397254872796747,0.053733994682463926
_23,0.15478567529428314,0.1229642856769146,0.1370223479162603,0.11282113878052738,0.09593095405137901,0.06309401381607746
_24,0.16564199111649244,0.1543751267274477,0.1589504056718422,0.08135978348049885,0.09375345472802528,0.05512157289460616
_25,0.1543638550613179,0.11817131287813357,0.12772694056421877,0.17263842254092532,0.018209130380256858,0.05339977807765132
_34,0.16780475759777966,0.11503863159399859,0.13028720099695712,0.09853640622220279,0.09877407678745186,0.0474250961039297
_35,0.163028398837666,0.11640302750304707,0.13650167855218245,0.09774320893132367,0.09372794987903756,0.0613741940953071
_45,0.1738839474048128,0.14938324318187207,0.16143571027224654,0.09053470648187284,0.09471447330524727,0.0561216843077317
_123,0.14176731760393846,0.11188815818142263,0.12701357222777548,0.10208027255352665,0.09370462051573678,0.056022266093309916
_124,0.15172404021809716,0.13384118050763322,0.15025551738380694,0.07724558462082774,0.09659574363167293,0.050815866056601676
_125,0.16878889497039487,0.11832122539664215,0.1319963854865902,0.10154893537600344,0.09493533870844792,0.045887985677066284
_134,0.15152263078483252,0.1132759954241765,0.07511811524007966,0.07800962471362893,0.09407154220210663,0.04190025756537897
_135,0.15212415961639025,0.10104305940106999,0.1311573112046024,0.08672362009013151,0.09522981673027248,0.05286816378289787
_145,0.16382534577885463,0.1419306235714451,0.14822126022159804,0.08678573777680014,0.0947009103558936,0.05005557773077175
_234,0.07373098638253174,0.11606421409313714,0.12631567048896006,0.061794749590271744,0.09527139195340609,0.03615345270759938
_235,0.14022165096837635,0.06681539274541753,0.12913744364530566,0.10133897581250581,0.09556880107186634,0.0551667239308734
_245,0.1517633313249094,0.13440389696019986,0.14958990949849948,0.1737817314370845,0.09402871824297022,0.04907420409390309
_345,0.15007941460262758,0.10951352623944507,0.12394589615979959,0.0968194623099592,0.09465035766680839,0.04417473230707469
_1234,0.06479261478274023,0.11604033275778372,0.124691440665813,0.059753957777307,0.09377161640349525,0.03695743212459454
_1235,0.1574071369183325,0.12799976450911768,0.14043061858426006,0.12220313043511394,0.09743514469468079,0.06988857549708363
_1245,0.17215009254573935,0.15786502169533217,0.17443864280376925,0.08823263509853733,0.09277650389731788,0.1502953780538299
_1345,0.18759238050784716,0.11645597410164125,0.13116790376957282,0.08741636461622776,0.09526756952868815,0.051949400405383726
_2345,0.08915586503636638,0.11506042515104305,0.12730939439362626,0.060540149711916416,0.092618921075693,0.04244321056537998
