config,vgg16_liong,vgg16_nitik,vgg16_megamendung,vgg19_liong,vgg19_nitik,vgg19_megamendung
_1,0.125968168641078,0.12035582925512059,0.14967894216324773,0.07865057706866554,0.10589187746410894,0.05481004972780655
_2,0.19384042539500873,0.13100371162383137,0.15952097639939886,0.1408510901007755,0.10457269592848734,0.07834369623360414
_3,0.19380574278631796,0.12333516948702117,0.16253826220832207,0.12719165609467525,0.10728487658853961,0.09453333478616123
_4,0.20060995928942837,0.16730685277526788,0.2025008136908467,0.11141341252509748,0.11121843551445632,0.09790194906723104
_5,0.10425873828962606,0.11855874408097322,0.1531774242122898,0.08760086030860396,0.10660731686010372,0.06888293055112626
_12,0.1761627140661075,0.12366983630740119,0.15458129938950485,0.1290867871336681,0.10418826424763894,0.07177565017413769
_13,0.18706520836835466,0.12476490114261465,0.16222986980336082,0.11875337003337921,0.10404568676052162,0.19223374961995052
_14,0.19458080682888318,0.1517772944994426,0.190364158942934,0.10980283362369789,0.10947295844736912,0.09866040553903832
_15,0.11641910081201265,0.11661487824724989,0.1488970098137489,0.08367717549978615,0.10598587254224036,0.07569434715911388
_23,0.17835884787662848,0.12779201985246644,0.16053195318461985,0.13150639944373926,0.10593321156495006,0.09181543886951411
_24,0.1896126122455189,0.15676076897803565,0.18399438715037464,0.09822772650972206,0.1060132540818075,0.08114713763556627
_25,0.17767201134392577,0.12262322911635128,0.14972708354340913,0.19779677838880305,0.023210146631801938,0.07713952667107755
_34,0.18952617120499235,0.12019776927877604,0.1537455118992894,0.1179291917809123,0.1112726072893645,0.07150127781784409
_35,0.18856443174010995,0.12225632539680989,0.16184918491437866,0.11646071634964503,0.1048999681174181,0.08906643149579622
_45,0.19724745519408735,0.15315120115400263,0.18812783242457282,0.10975715724105434,0.10823072120387561,0.08855205790574702
_123,0.16483004336385262,0.11722051927717442,0.1491387942047277,0.11975386084109985,0.10424999056949724,0.0803104177627275
_124,0.1740283763695367,0.13723349062000872,0.17447854089704673,0.0930894260862738,0.1088092290915883,0.07353671269521565
_125,0.19128469165861028,0.12262092718501574,0.15278201488335208,0.11897567557575708,0.10596269533691285,0.06693602378052871
_134,0.17326536939765974,0.11815913213714643,0.08858557745385826,0.09429888630858604,0.10653653408067065,0.06227145132299356
_135,0.1764990823918604,0.10722446069764388,0.15467305901410716,0.10374914488329989,0.10665001907034921,0.0765130903567658
_145,0.18603021626171132,0.14530161287159649,0.1730698049650455,0.10477258138285395,0.1077764941160933,0.07684970599772172
_234,0.08531015800855084,0.12042566834154644,0.14785589764353246,0.07447088570663912,0.10702377374406635,0.05331987545697251
_235,0.16378911496873794,0.07124598535960466,0.1512227502493671,0.1193055949694111,0.10627116253587127,0.07947897352263944
_245,0.17445139092614687,0.13789259118231903,0.17385121969286868,0.1998360169510435,0.10608897759974878,0.0720877763796309
_345,0.1728231214769365,0.11464026361043098,0.14686582411954188,0.11612183181732022,0.1072804209364541,0.0649149769349385
_1234,0.07553464400985738,0.12033568267103151,0.14700569636863897,0.07188814264454077,0.1053431882075618,0.05466234578832396
_1235,0.18157218699752067,0.13286894915299002,0.164134557124511,0.142778005340596,0.10704627506603079,0.10143294031562275
_1245,0.19658344362895055,0.1603566351978101,0.20000246174344205,0.10522968649586062,0.10519328369578543,0.1985248655946374
_1345,0.20903988862675155,0.12162327028613643,0.15585256716472878,0.10573002139537274,0.10820272571905923,0.08028472226482071
_2345,0.10466335944056537,0.11956181613845213,0.14899933011605346,0.07314316384974413,0.10435319778164706,0.06065604531583696
