config,vgg16_liong,vgg16_nitik,vgg16_megamendung,vgg19_liong,vgg19_nitik,vgg19_megamendung
_1,0.004899177234619856,0.04618493840098381,0.04616473242640495,0.002089531160891056,0.03296899423003197,0.02309381403028965
_2,0.017542866989970207,0.0520583800971508,0.045263562351465225,0.006309984251856804,0.033410944044589996,0.026209618896245956
_3,0.016373883932828903,0.047605354338884354,0.047545868903398514,0.006998990662395954,0.03257891535758972,0.029524996876716614
_4,0.020687421783804893,0.05415675789117813,0.0591675266623497,0.005529115442186594,0.03512964025139809,0.030212977901101112
_5,0.00468846783041954,0.04654552787542343,0.047537218779325485,0.0027940100990235806,0.03256933018565178,0.024030571803450584
_12,0.014951854944229126,0.051983293145895004,0.047527868300676346,0.00500072306022048,0.033471714705228806,0.025952568277716637
_13,0.014781995676457882,0.04714423418045044,0.04487605765461922,0.005905738100409508,0.03217831626534462,0.05770393833518028
_14,0.017363503575325012,0.05110645666718483,0.05429961532354355,0.004923436790704727,0.03499229997396469,0.03333963826298714
_15,0.004890969954431057,0.04654787480831146,0.044512178748846054,0.0025719667319208384,0.033208973705768585,0.02990216761827469
_23,0.012759498320519924,0.0491769015789032,0.0491139218211174,0.007007312960922718,0.033306967467069626,0.028556054458022118
_24,0.017720507457852364,0.05366252362728119,0.05108910799026489,0.0038921840023249388,0.03388076275587082,0.02502301335334778
_25,0.014745043590664864,0.05049222335219383,0.042817372828722,0.021620627492666245,0.007848997600376606,0.02584090828895569
_34,0.012008143588900566,0.04566998779773712,0.04486626759171486,0.004593113902956247,0.03397765010595322,0.02388443797826767
_35,0.014773177914321423,0.047229547053575516,0.045865822583436966,0.005830403417348862,0.03251258656382561,0.028395837172865868
_45,0.01771029271185398,0.051331643015146255,0.052258312702178955,0.004770216532051563,0.034884124994277954,0.027146726846694946
_123,0.01106463372707367,0.04533747211098671,0.04612432420253754,0.005068561062216759,0.032198961824178696,0.026476573199033737
_124,0.01403713133186102,0.04988473653793335,0.050707798451185226,0.003670067759230733,0.03420131653547287,0.022508518770337105
_125,0.021276460960507393,0.04751282557845116,0.04680100455880165,0.003907162696123123,0.033680081367492676,0.02323097735643387
_134,0.01048909593373537,0.045742858201265335,0.03247237950563431,0.00310898176394403,0.03388792648911476,0.0188234094530344
_135,0.012802192009985447,0.04417162016034126,0.04702816531062126,0.0045866044238209724,0.032755084335803986,0.026749370619654655
_145,0.013956531882286072,0.050360094755887985,0.04955652356147766,0.004140036180615425,0.03418155387043953,0.022493058815598488
_234,0.003097819397225976,0.047981809824705124,0.04465417191386223,0.0021234776359051466,0.0333794504404068,0.019502928480505943
_235,0.011359886266291142,0.025351382791996002,0.04680921509861946,0.00513145886361599,0.032414376735687256,0.026908013969659805
_245,0.014096388593316078,0.04995691403746605,0.0501936599612236,0.02132433094084263,0.033700548112392426,0.023644443601369858
_345,0.010686833411455154,0.04524987190961838,0.040508903563022614,0.004252713639289141,0.03427109494805336,0.019951805472373962
_1234,0.003012044820934534,0.04750660061836243,0.04290362074971199,0.0021160615142434835,0.033926885575056076,0.015557254664599895
_1235,0.014342403039336205,0.050274427980184555,0.04893042892217636,0.00898917205631733,0.03345000743865967,0.03577271103858948
_1245,0.01979905366897583,0.055422957986593246,0.05904240161180496,0.004192200023680925,0.03398611396551132,0.06070515885949135
_1345,0.021217800676822662,0.046785805374383926,0.043050553649663925,0.003950946498662233,0.034227728843688965,0.028560899198055267
_2345,0.004250493366271257,0.04735381528735161,0.04435553774237633,0.0019657951779663563,0.03344002738595009,0.02547377161681652
