step,s_loss,c_loss
1,7281177600.0,0.0
2,7072892400.0,290.08368
3,6711295000.0,625.1597
4,6239369000.0,895.5555
5,5666373600.0,1161.2917
6,5031204400.0,1368.656
7,4380617700.0,1527.7826
8,3773280300.0,1637.4855
9,3267775200.0,1710.7593
10,2906889500.0,1762.2186
11,2693908000.0,1804.7329
12,2588397600.0,1847.2401
13,2529506800.0,1890.5479
14,2465281300.0,1941.3341
15,2363337000.0,1999.3926
16,2217709000.0,2062.3628
17,2042460400.0,2131.037
18,1857109000.0,2202.919
19,1676889700.0,2268.6133
20,1513152000.0,2323.6204
21,1372003800.0,2364.7148
22,1254621700.0,2394.6758
23,1159135500.0,2410.9717
24,1083481500.0,2416.2896
25,1025211700.0,2415.1274
26,981226000.0,2409.505
27,948010800.0,2398.494
28,922730600.0,2387.4836
29,903584600.0,2379.848
30,889241300.0,2376.137
31,877519170.0,2377.6978
32,866940540.0,2386.2231
33,856144300.0,2401.7498
34,843575360.0,2424.7568
35,828349630.0,2456.29
36,809994400.0,2491.6494
37,788406660.0,2526.6414
38,763874500.0,2559.3467
39,736569600.0,2588.4062
40,706860900.0,2614.0383
41,675762500.0,2635.8794
42,643998600.0,2654.3325
43,612101570.0,2670.8738
44,580729340.0,2684.641
45,550410400.0,2697.4395
46,521501000.0,2709.5647
47,494341200.0,2719.152
48,469186240.0,2724.6853
49,446153570.0,2729.1575
50,425377380.0,2733.3625
51,406666340.0,2738.2024
52,389736960.0,2743.6448
53,374473700.0,2749.9263
54,360515140.0,2757.698
55,347740320.0,2766.9631
56,336210700.0,2777.4038
57,325761470.0,2789.2085
58,316301900.0,2800.6719
59,307695580.0,2811.59
60,299895400.0,2821.6821
61,292842940.0,2831.1548
62,286360260.0,2839.8723
63,280316030.0,2848.6753
64,274690800.0,2857.3955
65,269413700.0,2864.668
66,264399820.0,2870.9187
67,259591120.0,2877.3494
68,254957800.0,2884.3755
69,250396210.0,2891.2397
70,245778050.0,2897.4685
71,241171630.0,2903.3755
72,236540420.0,2908.0598
73,231872640.0,2912.521
74,227136770.0,2916.4773
75,222354560.0,2920.1487
76,217568260.0,2922.6223
77,212836530.0,2922.8882
78,208252510.0,2920.3748
79,203828430.0,2915.9282
80,199547040.0,2909.1558
81,195388690.0,2900.3057
82,191333760.0,2890.4111
