step,s_loss,c_loss
1,68990980000.0,0.0
2,68799390000.0,289.93295
3,67211088000.0,626.79315
4,64798753000.0,1002.6843
5,61815042000.0,1400.8708
6,58334306000.0,1811.2751
7,54284894000.0,2205.4087
8,49780384000.0,2578.679
9,44995486000.0,2939.1833
10,40183880000.0,3285.6265
11,35694666000.0,3614.8264
12,31915098000.0,3935.4888
13,29183455000.0,4255.07
14,27663165000.0,4582.711
15,27188953000.0,4923.556
16,27306256000.0,5279.533
17,27488410000.0,5652.4263
18,27353342000.0,6036.2656
19,26735151000.0,6425.1543
20,25631870000.0,6792.439
21,24155116000.0,7117.724
22,22498050000.0,7398.12
23,20849213000.0,7639.3
24,19333448000.0,7841.657
25,18015367000.0,8004.3823
26,16910154000.0,8126.077
27,15995595000.0,8203.518
28,15242931000.0,8237.751
29,14621011000.0,8238.001
30,14106419000.0,8210.444
31,13676726000.0,8160.777
32,13320965000.0,8098.337
33,13031717000.0,8029.6055
34,12805420000.0,7955.6797
35,12635248000.0,7888.157
36,12516714000.0,7831.532
37,12443970000.0,7783.081
38,12406147000.0,7741.183
39,12389768000.0,7707.5244
40,12374879000.0,7681.54
41,12344957000.0,7665.1733
42,12286387000.0,7656.3726
43,12191522000.0,7654.9316
44,12057137000.0,7660.2197
45,11886358000.0,7669.616
46,11687086000.0,7682.7104
47,11468618000.0,7697.002
48,11239823000.0,7708.9595
49,11009411000.0,7717.209
50,10783062000.0,7721.4795
51,10564835000.0,7721.9355
52,10356541000.0,7719.3887
53,10158090000.0,7714.564
54,9968664000.0,7707.266
55,9788227000.0,7698.5107
56,9615474000.0,7688.4277
57,9449370000.0,7677.7715
58,9288902000.0,7665.9697
59,9134930000.0,7653.5
60,8986991000.0,7639.7983
61,8843806000.0,7626.36
62,8705585000.0,7614.018
63,8572517400.0,7602.96
64,8443505700.0,7592.487
65,8315954700.0,7581.5674
66,8189476000.0,7570.4844
67,8062942000.0,7559.6816
68,7936267300.0,7549.3447
69,7809736700.0,7540.3
70,7683423000.0,7532.5537
71,7558235000.0,7525.9697
72,7433846000.0,7519.089
73,7310390300.0,7513.6094
74,7188337700.0,7507.3174
75,7068741600.0,7502.136
76,6951885300.0,7496.3174
77,6837966000.0,7490.0137
78,6726519000.0,7483.298
79,6618047000.0,7475.8633
80,6511991300.0,7468.3926
81,6408724000.0,7462.288
82,6308357600.0,7457.702
83,6209644000.0,7454.242
84,6113127000.0,7450.834
85,6017652000.0,7448.095
86,5923318000.0,7446.644
87,5830755000.0,7446.746
88,5739766000.0,7447.6646
89,5650220000.0,7449.4795
90,5562258400.0,7451.7144
91,5475294000.0,7453.487
92,5389579300.0,7454.835
93,5304817700.0,7456.0625
94,5221170700.0,7457.29
95,5138273000.0,7459.3325
96,5056088600.0,7462.283
97,4974526000.0,7466.362
98,4893791000.0,7470.548
99,4814059500.0,7474.716
100,4735117300.0,7478.6196
101,4657428000.0,7481.105
102,4580578000.0,7482.9233
103,4504657000.0,7484.0156
104,4429710300.0,7483.7554
105,4355343400.0,7482.086
106,4282010400.0,7479.498
107,4209888000.0,7477.037
108,4138968300.0,7474.9487
109,4069271600.0,7472.5073
110,4001226800.0,7470.9204
111,3935111200.0,7469.6597
112,3870646300.0,7467.862
113,3807819300.0,7466.1636
114,3746674700.0,7463.7383
115,3687161900.0,7461.97
116,3629039600.0,7461.726
117,3572471300.0,7461.773
118,3517166300.0,7461.008
119,3462670800.0,7459.567
120,3409137200.0,7458.384
121,3356995800.0,7457.7324
122,3306093300.0,7457.4214
123,3256175000.0,7457.354
124,3207383300.0,7456.209
125,3159983400.0,7454.781
126,3113890800.0,7454.103
127,3068630500.0,7453.8306
128,3024132600.0,7454.149
129,2980362200.0,7454.581
130,2937135900.0,7455.202
131,2894605300.0,7456.1978
132,2852658700.0,7458.967
133,2811357000.0,7462.6943
134,2770838300.0,7467.208
135,2731105800.0,7471.596
136,2692135400.0,7476.244
137,2653732000.0,7481.625
138,2616218000.0,7487.6836
139,2579552800.0,7493.742
140,2543859200.0,7499.1406
141,2509010200.0,7504.0234
142,2475043600.0,7508.133
143,2441882000.0,7512.1953
144,2409482800.0,7516.976
145,2377620000.0,7522.0933
146,2346180000.0,7527.412
147,2315023400.0,7532.21
148,2284407600.0,7536.8564
149,2254261800.0,7540.624
150,2224758500.0,7543.3037
151,2195903500.0,7545.957
152,2167519000.0,7548.646
153,2139639000.0,7550.624
154,2112189700.0,7552.3574
155,2085332700.0,7553.5283
156,2059245600.0,7554.555
157,2033821000.0,7555.499
158,2009233000.0,7556.754
159,1985207300.0,7558.2285
160,1961526700.0,7559.9263
161,1938147300.0,7561.3965
162,1914993300.0,7563.8945
163,1891893600.0,7567.167
164,1868841300.0,7570.2305
165,1845983600.0,7573.5254
166,1823233300.0,7576.7817
167,1800680400.0,7580.2676
168,1778332700.0,7583.6025
169,1756267100.0,7586.534
170,1734566500.0,7589.1006
171,1713199900.0,7591.6953
172,1692131300.0,7594.3433
173,1671358800.0,7596.526
174,1651019800.0,7597.8823
175,1631173400.0,7598.925
176,1611814000.0,7600.5684
177,1592862600.0,7603.0024
178,1574256000.0,7605.797
179,1556052100.0,7608.774
180,1538228400.0,7611.073
181,1520784100.0,7614.0664
182,1503698700.0,7617.679
183,1486996600.0,7620.992
184,1470643300.0,7624.6934
185,1454632700.0,7628.457
186,1438847600.0,7631.8667
187,1423299300.0,7635.476
188,1407888600.0,7638.623
189,1392649600.0,7641.1816
190,1377542400.0,7643.5254
191,1362545400.0,7645.008
192,1347711200.0,7646.247
193,1333092000.0,7647.2095
194,1318673500.0,7647.8916
195,1304466600.0,7648.2456
196,1290463200.0,7649.367
197,1276644700.0,7650.8574
198,1262949100.0,7652.089
199,1249427200.0,7653.1924
200,1236098000.0,7654.226
201,1223055100.0,7655.343
202,1210194300.0,7655.7993
203,1197501200.0,7656.1865
204,1184960900.0,7656.8926
205,1172568000.0,7657.5605
206,1160253400.0,7658.7607
207,1148072100.0,7659.5215
208,1136029800.0,7660.492
209,1124046300.0,7661.786
210,1112204800.0,7662.9487
211,1100474600.0,7663.6533
212,1088869800.0,7664.255
213,1077442800.0,7664.9956
214,1066157950.0,7665.773
215,1054982850.0,7666.889
216,1043947000.0,7668.429
217,1033063040.0,7670.0425
218,1022318100.0,7671.6997
219,1011705700.0,7673.446
220,1001180160.0,7675.291
221,990785340.0,7677.0117
222,980529660.0,7678.543
223,970390140.0,7680.165
224,960386900.0,7681.741
225,950515400.0,7683.675
226,940745540.0,7685.831
227,931163840.0,7688.39
228,921724300.0,7691.2104
229,912456200.0,7694.0713
230,903326200.0,7696.9277
231,894337660.0,7699.948
232,885457100.0,7703.6025
233,876681000.0,7707.541
234,868053500.0,7711.594
235,859544060.0,7715.3
236,851130000.0,7718.796
237,842822000.0,7722.8164
238,834608000.0,7727.131
239,826425660.0,7731.676
240,818336900.0,7735.777
241,810372350.0,7739.9854
242,802488450.0,7744.165
243,794690900.0,7748.6807
244,786997400.0,7753.5474
245,779439100.0,7758.2793
246,772053440.0,7762.7524
247,764780800.0,7767.3364
248,757578700.0,7772.175
249,750501300.0,7776.987
250,743528500.0,7781.662
251,736606600.0,7786.332
252,729754700.0,7790.861
253,722951100.0,7795.3823
254,716203140.0,7799.8975
255,709492100.0,7804.2515
256,702807200.0,7808.68
257,696182900.0,7812.8447
258,689617500.0,7816.892
259,683107900.0,7820.75
260,676653700.0,7824.467
261,670279100.0,7828.05
262,663995460.0,7831.636
263,657809660.0,7835.242
264,651705540.0,7838.7466
265,645677500.0,7842.5513
266,639765100.0,7846.381
267,633952500.0,7850.377
268,628231800.0,7854.4336
269,622585900.0,7858.485
270,617001860.0,7862.448
271,611494850.0,7866.1987
272,606029700.0,7869.914
273,600606600.0,7873.4604
274,595214100.0,7877.0244
275,589874100.0,7880.339
276,584586430.0,7883.541
277,579356000.0,7886.8916
278,574168960.0,7890.3125
279,569026370.0,7893.793
280,563937500.0,7897.1406
281,558924000.0,7900.46
282,553983600.0,7903.816
283,549106560.0,7907.2827
284,544271040.0,7910.7783
285,539458940.0,7914.0767
286,534696300.0,7917.1533
287,529999970.0,7920.091
288,525354660.0,7922.9434
289,520766460.0,7925.759
290,516215600.0,7928.3896
291,511717120.0,7931.0986
292,507271330.0,7933.7896
293,502880960.0,7936.3447
294,498542240.0,7939.075
295,494248450.0,7941.997
296,490006460.0,7945.006
297,485811100.0,7948.2183
298,481667330.0,7951.5454
299,477573220.0,7954.968
300,473525150.0,7958.4077
301,469522340.0,7961.791
302,465576400.0,7965.326
303,461677250.0,7968.9424
304,457828770.0,7972.819
305,454026180.0,7977.008
306,450258940.0,7981.2314
307,446510400.0,7985.4053
308,442798180.0,7989.5874
309,439126620.0,7994.0806
310,435480420.0,7998.4883
311,431854940.0,8002.9087
312,428259780.0,8007.337
313,424707400.0,8011.801
314,421187870.0,8016.13
315,417687870.0,8020.579
316,414216500.0,8025.0063
317,410776030.0,8029.461
318,407371170.0,8033.841
319,403997400.0,8038.2783
320,400642600.0,8042.621
321,397313340.0,8046.904
322,394015550.0,8051.5493
323,390743870.0,8056.3
324,387507230.0,8060.984
325,384307840.0,8065.6436
326,381135680.0,8070.3975
327,377984060.0,8075.1523
328,374856350.0,8079.8745
329,371756700.0,8084.6
330,368703940.0,8089.107
331,365696350.0,8093.5137
332,362723000.0,8097.9443
333,359791900.0,8102.3145
334,356914560.0,8106.537
335,354084350.0,8110.736
336,351293630.0,8115.0303
337,348532300.0,8119.379
338,345799870.0,8123.837
339,343098720.0,8128.211
340,340431260.0,8132.4146
341,337799900.0,8136.594
342,335213500.0,8140.623
343,332667000.0,8144.6367
344,330150600.0,8148.6333
345,327656000.0,8152.4297
346,325191600.0,8155.9785
347,322746800.0,8159.4194
348,320318140.0,8162.7515
349,317908540.0,8165.9863
350,315523780.0,8169.2783
351,313159800.0,8172.61
352,310811700.0,8175.92
353,308476320.0,8179.26
354,306161380.0,8182.827
355,303865700.0,8186.344
356,301587970.0,8189.8105
357,299325000.0,8193.205
358,297077600.0,8196.5625
359,294848030.0,8199.92
360,292637060.0,8203.221
361,290444350.0,8206.463
362,288273250.0,8209.705
363,286128930.0,8212.947
364,284004200.0,8216.06
365,281898700.0,8219.09
366,279815600.0,8222.072
367,277751360.0,8224.825
368,275706460.0,8227.553
369,273678270.0,8230.098
370,271667000.0,8232.686
371,269670600.0,8235.267
372,267692750.0,8237.7705
373,265730940.0,8240.195
374,263782990.0,8242.45
375,261850580.0,8244.65
376,259939580.0,8246.952
377,258045800.0,8249.24
378,256175020.0,8251.488
379,254324510.0,8253.806
380,252490750.0,8256.248
381,250678300.0,8258.76
382,248883870.0,8261.268
383,247106940.0,8263.826
384,245350220.0,8266.424
385,243608620.0,8269.083
386,241875620.0,8271.863
387,240153950.0,8274.701
388,238443100.0,8277.598
389,236743970.0,8280.528
390,235060580.0,8283.408
391,233389800.0,8286.3
392,231735460.0,8289.246
393,230102430.0,8292.204
394,228486740.0,8295.099
395,226890080.0,8297.992
396,225313150.0,8300.824
397,223758980.0,8303.682
398,222227500.0,8306.391
399,220715870.0,8309.089
400,219222620.0,8311.793
401,217745760.0,8314.528
402,216282240.0,8317.259
403,214833490.0,8319.983
404,213394400.0,8322.721
405,211967460.0,8325.44
406,210551920.0,8328.117
407,209148770.0,8330.773
408,207753950.0,8333.285
409,206371040.0,8335.74
410,204997490.0,8338.009
411,203635730.0,8340.146
412,202285940.0,8342.28
413,200945700.0,8344.295
414,199614690.0,8346.211
415,198294660.0,8348.156
416,196981970.0,8350.08
417,195678400.0,8351.946
418,194383760.0,8353.772
419,193099460.0,8355.619
420,191827870.0,8357.357
421,190569700.0,8358.999
422,189322580.0,8360.68
423,188083410.0,8362.479
424,186856590.0,8364.244
425,185645020.0,8366.061
426,184448830.0,8367.854
427,183265710.0,8369.758
428,182098080.0,8371.824
429,180944960.0,8373.917
430,179802660.0,8376.062
431,178669810.0,8378.188
432,177547780.0,8380.268
433,176435650.0,8382.41
434,175330340.0,8384.503
435,174233970.0,8386.49
436,173146510.0,8388.504
437,172070750.0,8390.583
438,171004560.0,8392.682
439,169947600.0,8394.797
440,168899490.0,8396.979
441,167860750.0,8399.168
442,166831970.0,8401.387
443,165815760.0,8403.636
444,164811300.0,8406.023
445,163818200.0,8408.467
446,162834140.0,8410.9795
447,161859400.0,8413.5
448,160896080.0,8415.97
449,159942320.0,8418.332
450,158997650.0,8420.695
451,158060830.0,8423.037
452,157132820.0,8425.365
453,156211940.0,8427.7705
454,155299360.0,8430.227
455,154392940.0,8432.703
456,153492100.0,8435.119
457,152597840.0,8437.511
458,151709280.0,8439.989
459,150827300.0,8442.472
460,149951760.0,8444.88
461,149082080.0,8447.215
462,148219060.0,8449.576
463,147363300.0,8451.946
464,146515280.0,8454.332
465,145673820.0,8456.7295
466,144839180.0,8459.129
467,144011070.0,8461.513
468,143190830.0,8463.864
469,142376930.0,8466.247
470,141570130.0,8468.659
471,140771650.0,8471.018
472,139981280.0,8473.379
473,139199260.0,8475.687
474,138424180.0,8477.967
475,137655200.0,8480.285
476,136892100.0,8482.566
477,136133980.0,8484.785
478,135381760.0,8487.009
479,134634800.0,8489.294
480,133892330.0,8491.715
481,133155350.0,8494.085
482,132425300.0,8496.41
483,131701550.0,8498.749
484,130983270.0,8501.072
485,130268560.0,8503.288
486,129558210.0,8505.513
487,128852710.0,8507.655
488,128152280.0,8509.735
489,127457730.0,8511.73
490,126769680.0,8513.704
491,126088050.0,8515.598
492,125411750.0,8517.411
493,124740220.0,8519.244
494,124074620.0,8521.147
495,123415720.0,8523.061
496,122763540.0,8524.998
497,122117440.0,8526.96
498,121477800.0,8528.88
499,120844250.0,8530.738
500,120217660.0,8532.573
501,119596860.0,8534.457
502,118981080.0,8536.421
503,118370320.0,8538.443
504,117763820.0,8540.492
505,117161420.0,8542.531
506,116563600.0,8544.528
507,115969330.0,8546.521
508,115378030.0,8548.527
509,114790810.0,8550.484
510,114208210.0,8552.325
511,113629650.0,8554.106
512,113055530.0,8555.902
513,112485800.0,8557.68
514,111920530.0,8559.404
515,111360060.0,8561.127
516,110804440.0,8562.875
517,110254170.0,8564.574
518,109709480.0,8566.248
519,109169830.0,8567.887
520,108634280.0,8569.552
521,108103040.0,8571.262
522,107576700.0,8572.98
523,107055470.0,8574.658
524,106538290.0,8576.244
525,106024620.0,8577.758
526,105514680.0,8579.255
527,105007840.0,8580.782
528,104504420.0,8582.318
529,104004240.0,8583.844
530,103508040.0,8585.262
531,103015810.0,8586.58
532,102527000.0,8587.854
533,102041600.0,8589.113
534,101560460.0,8590.346
535,101082490.0,8591.526
536,100607790.0,8592.65
537,100136710.0,8593.732
538,99669850.0,8594.764
539,99207020.0,8595.791
540,98748504.0,8596.803
541,98293910.0,8597.787
542,97843420.0,8598.757
543,97396910.0,8599.702
544,96954090.0,8600.653
545,96514330.0,8601.59
546,96078000.0,8602.589
547,95645576.0,8603.607
548,95217390.0,8604.604
549,94791590.0,8605.592
550,94369224.0,8606.604
551,93950050.0,8607.665
552,93533780.0,8608.722
553,93120940.0,8609.805
554,92711016.0,8610.941
555,92304184.0,8612.1
556,91900530.0,8613.243
557,91499350.0,8614.355
558,91100770.0,8615.463
559,90705330.0,8616.568
560,90313360.0,8617.67
561,89923704.0,8618.754
562,89536060.0,8619.804
563,89150860.0,8620.811
564,88769140.0,8621.823
565,88391260.0,8622.797
566,88016010.0,8623.742
567,87643180.0,8624.674
568,87272160.0,8625.549
569,86904460.0,8626.362
570,86539656.0,8627.172
571,86177820.0,8627.963
572,85818570.0,8628.732
573,85462530.0,8629.502
574,85109550.0,8630.242
575,84759480.0,8631.001
576,84412010.0,8631.779
577,84066984.0,8632.539
578,83724460.0,8633.323
579,83384880.0,8634.141
580,83047490.0,8634.984
581,82712280.0,8635.877
582,82378960.0,8636.78
583,82047896.0,8637.721
584,81719560.0,8638.701
585,81394220.0,8639.658
586,81071540.0,8640.59
587,80750970.0,8641.563
588,80432460.0,8642.562
589,80115890.0,8643.54
590,79801230.0,8644.564
591,79488240.0,8645.59
592,79176870.0,8646.602
593,78867360.0,8647.598
594,78558990.0,8648.564
595,78252020.0,8649.515
596,77946744.0,8650.455
597,77643410.0,8651.374
598,77342060.0,8652.244
599,77042770.0,8653.078
600,76745460.0,8653.901
601,76450344.0,8654.729
602,76156990.0,8655.545
603,75865040.0,8656.362
604,75574680.0,8657.173
605,75286330.0,8658.006
606,74999720.0,8658.839
607,74714970.0,8659.681
608,74432210.0,8660.497
609,74151016.0,8661.327
610,73871350.0,8662.145
611,73593576.0,8662.973
612,73317960.0,8663.775
613,73044456.0,8664.574
614,72773360.0,8665.382
615,72504220.0,8666.206
616,72237470.0,8667.01
617,71973030.0,8667.814
