step,s_loss,c_loss
1,8838931000.0,0.0
2,5968768000.0,1045.8033
3,4393283000.0,1819.9893
4,3488812500.0,2319.3843
5,2923955200.0,2631.4927
6,2547199000.0,2832.252
7,2278435300.0,2971.8323
8,2073387800.0,3079.544
9,1907657500.0,3176.476
10,1766967600.0,3265.0334
11,1644738800.0,3346.2441
12,1537207800.0,3417.891
13,1442408700.0,3481.919
14,1358637300.0,3544.3801
15,1285048000.0,3606.3242
16,1220432100.0,3665.4321
17,1163408300.0,3718.8992
18,1112767100.0,3770.5505
19,1067211140.0,3816.247
20,1025979700.0,3853.947
21,988477440.0,3886.6252
22,954354500.0,3914.762
23,923218050.0,3937.3115
24,894857200.0,3955.488
25,868864700.0,3968.701
26,845310660.0,3976.4612
27,823763400.0,3980.1724
28,803804740.0,3980.6719
29,785189700.0,3980.8008
30,767692400.0,3979.884
31,751234200.0,3978.8018
32,735522200.0,3977.351
33,720595700.0,3976.7786
34,706324400.0,3976.0146
35,692577660.0,3973.8193
36,679371000.0,3968.271
37,666629000.0,3960.47
38,654280000.0,3953.045
39,642381300.0,3946.2983
40,630932100.0,3939.7493
41,619817150.0,3933.367
42,609057540.0,3927.1084
43,598563840.0,3921.2412
44,588201100.0,3916.5547
45,578014700.0,3913.581
46,568000800.0,3910.8303
47,558211300.0,3909.552
48,548638600.0,3909.8135
49,539216800.0,3909.6562
50,529923740.0,3910.2773
51,520690700.0,3911.2854
52,511543600.0,3912.168
53,502542340.0,3912.8062
54,493611680.0,3913.9724
55,484771680.0,3915.8652
56,475944260.0,3917.1963
57,467203600.0,3918.6108
58,458570900.0,3920.6807
59,450126430.0,3923.0054
60,441856700.0,3925.1465
61,433745600.0,3927.0088
62,425805920.0,3928.1023
63,418115000.0,3929.5188
64,410619900.0,3931.0796
65,403311400.0,3933.138
66,396195650.0,3937.0518
67,389254140.0,3941.56
68,382489570.0,3946.7314
69,375894270.0,3952.9229
70,369474460.0,3960.1702
71,363254430.0,3968.1133
72,357246720.0,3977.2217
73,351423200.0,3987.3066
74,345757250.0,3998.584
75,340224930.0,4009.7942
76,334860830.0,4021.504
77,329633920.0,4033.3508
78,324557380.0,4044.7993
79,319639580.0,4055.5063
80,314846660.0,4065.733
81,310169760.0,4074.779
82,305590400.0,4083.7812
83,301072350.0,4092.6924
84,296649540.0,4100.812
85,292359330.0,4108.293
86,288181540.0,4115.952
87,284105920.0,4123.6646
88,280116540.0,4131.261
89,276206140.0,4138.5
90,272393100.0,4145.3457
91,268688130.0,4151.7275
92,265063260.0,4157.8516
93,261507460.0,4163.6943
94,258020300.0,4169.554
95,254588670.0,4175.3984
96,251231460.0,4181.2427
97,247951490.0,4187.255
98,244736480.0,4192.706
99,241592700.0,4198.6494
100,238525260.0,4205.0713
101,235513170.0,4211.749
102,232553040.0,4218.5264
103,229639600.0,4224.962
104,226775250.0,4231.34
105,223961180.0,4237.405
106,221181950.0,4243.453
107,218430290.0,4249.342
108,215715970.0,4255.1616
109,213041470.0,4260.7827
110,210410690.0,4266.333
111,207812450.0,4271.9385
112,205243680.0,4277.625
113,202710220.0,4283.2764
114,200217500.0,4288.4683
115,197760820.0,4293.1953
116,195344580.0,4297.606
117,192967680.0,4301.6855
118,190636080.0,4305.7803
119,188353840.0,4309.909
120,186122930.0,4314.2495
121,183938350.0,4318.188
122,181801980.0,4321.968
123,179715870.0,4325.865
124,177677140.0,4329.8633
125,175680430.0,4334.479
126,173728350.0,4339.399
127,171830720.0,4344.165
128,169972320.0,4349.0293
129,168148670.0,4354.3364
130,166367230.0,4359.6895
131,164627180.0,4364.722
132,162921090.0,4369.7866
133,161244690.0,4375.1826
134,159583040.0,4380.5747
135,157939280.0,4386.038
136,156326850.0,4391.505
137,154742370.0,4396.6514
138,153182240.0,4401.748
139,151647780.0,4406.9624
140,150134860.0,4412.243
141,148643170.0,4417.408
142,147173390.0,4423.048
143,145724200.0,4428.836
144,144296980.0,4434.66
145,142892960.0,4440.559
146,141511460.0,4446.5312
147,140149040.0,4452.424
148,138804350.0,4458.547
149,137483040.0,4464.799
150,136187600.0,4471.2817
151,134913380.0,4478.0796
152,133665710.0,4485.158
153,132437950.0,4492.625
154,131231420.0,4500.026
155,130044110.0,4507.6685
156,128877610.0,4515.788
157,127730610.0,4524.142
158,126604140.0,4532.624
159,125496260.0,4541.208
160,124405784.0,4549.8105
161,123334230.0,4558.431
162,122278450.0,4566.6577
163,121239384.0,4574.6
164,120217430.0,4582.3438
165,119213720.0,4589.9688
166,118226860.0,4597.666
167,117252136.0,4605.155
168,116289960.0,4612.544
169,115342744.0,4619.663
170,114408856.0,4626.7856
171,113487144.0,4633.6357
172,112581460.0,4640.334
173,111694184.0,4647.2236
174,110821440.0,4653.959
175,109959064.0,4660.7217
176,109108670.0,4667.253
177,108266070.0,4673.6216
178,107432460.0,4679.9897
179,106609256.0,4686.3174
180,105793390.0,4692.62
181,104984040.0,4699.063
182,104183870.0,4705.238
183,103388880.0,4711.13
184,102599336.0,4716.6475
185,101814140.0,4722.1816
186,101035980.0,4727.515
187,100264376.0,4732.746
188,99500260.0,4737.8994
189,98744020.0,4743.117
190,97993770.0,4748.288
191,97248584.0,4753.4307
192,96511144.0,4758.374
193,95784616.0,4762.9814
194,95067896.0,4767.4326
195,94358700.0,4771.823
196,93657480.0,4776.3564
197,92965896.0,4781.041
198,92285620.0,4785.879
199,91615210.0,4790.8037
200,90953090.0,4795.684
201,90299260.0,4800.841
202,89653160.0,4806.1143
203,89013970.0,4811.292
204,88379830.0,4816.4634
205,87751640.0,4821.417
206,87130860.0,4826.309
207,86519550.0,4831.254
208,85915656.0,4836.118
209,85319540.0,4841.019
210,84730824.0,4845.801
211,84149540.0,4850.464
212,83576240.0,4855.051
213,83009980.0,4859.3633
214,82452470.0,4863.4463
215,81901110.0,4867.0776
216,81355840.0,4870.726
217,80815640.0,4874.3037
218,80279870.0,4877.8467
219,79748300.0,4881.336
220,79220460.0,4884.5376
