epoch,time
1,6.5319
2,13.3218
3,19.9772
4,26.7636
5,33.3566
6,40.1257
7,46.7726
8,53.5562
9,60.2049
10,66.9688
11,73.6488
12,80.4098
13,87.1696
14,94.0592
15,100.7175
16,107.5076
17,114.2007
18,120.9377
19,127.6632
20,134.4184
21,141.0835
22,147.8043
23,154.492
24,161.2159
25,167.959
26,174.6723
27,181.3988
28,188.1278
29,194.8549
30,201.5848
31,208.2936
32,214.9944
33,221.7465
34,228.4122
35,235.1757
36,241.8477
37,248.6039
38,255.3323
39,262.1049
40,268.7452
41,275.528
42,282.2137
43,288.9918
44,295.6213
45,302.4269
46,309.0769
47,315.905
48,322.528
49,329.3662
50,335.9769
51,342.802
52,349.597
53,356.3943
54,363.0202
55,369.8462
56,376.4643
57,383.2686
58,389.8734
59,396.7006
60,403.3126
61,410.138
62,416.7947
63,423.6449
64,430.2506
65,437.0878
66,443.7125
67,450.5295
68,457.1434
69,463.9461
70,470.5537
71,477.3485
72,483.9845
73,490.7929
74,497.4258
75,504.2575
76,510.8563
77,517.6593
78,524.2537
79,531.0823
80,537.6642
81,544.4686
82,551.0896
83,557.914
84,564.5332
85,571.3615
86,577.9883
87,584.8328
88,591.4675
89,598.2572
90,604.9083
91,611.972
92,619.0163
93,625.6449
94,632.5018
95,639.1733
96,645.9749
97,652.6724
98,659.5034
99,666.1893
100,673.0052
