epoch,time
1,6.852
2,13.7189
3,20.7288
4,27.5902
5,34.6709
6,41.4965
7,48.5003
8,55.3289
9,62.2483
10,69.1355
11,76.0029
12,82.9323
13,89.6762
14,96.7108
15,103.4803
16,110.4518
17,117.2845
18,124.1817
19,131.1255
20,137.9453
21,144.9586
22,151.7292
23,158.7525
24,165.5185
25,172.4644
26,179.3055
27,186.1755
28,193.1111
29,199.8877
30,206.8992
31,213.6618
32,220.6661
33,227.4681
34,234.3985
35,241.2706
36,248.1014
37,255.0469
38,261.8438
39,268.861
40,275.6284
41,282.5965
42,289.4072
43,296.3295
44,303.2465
45,310.0846
46,317.0592
47,323.8304
48,330.8655
49,337.6351
50,344.587
51,351.4202
52,358.3062
53,365.2343
54,372.0429
55,379.0385
56,385.8016
57,392.8058
58,399.5733
59,406.4758
60,413.3441
61,420.1713
62,427.1535
63,433.9363
64,440.9642
65,447.7806
66,454.78
67,461.6299
68,468.532
69,475.4177
70,482.2387
71,489.1866
72,495.9361
73,502.9532
74,509.7239
75,516.6847
76,523.5457
77,530.4273
78,537.3971
79,544.192
80,551.177
81,557.9397
82,564.9443
83,571.7018
84,578.6078
85,585.4795
86,592.3102
87,599.2564
88,606.0356
89,613.0635
90,619.8396
91,626.8989
92,633.742
93,640.676
94,647.5598
95,654.3888
96,661.3571
97,668.1142
98,675.1069
99,681.8815
100,688.7948
