epoch,time
1,6.7999
2,13.4538
3,20.2956
4,26.8971
5,33.7355
6,40.4058
7,47.179
8,53.9352
9,60.5808
10,67.4272
11,74.0635
12,80.8961
13,87.5377
14,94.2984
15,101.081
16,107.7457
17,114.5903
18,121.2109
19,128.0591
20,134.667
21,141.4042
22,148.223
23,154.8843
24,161.8077
25,168.4578
26,175.3968
27,182.0606
28,188.8845
29,195.6701
30,202.3179
31,209.1726
32,215.7794
33,222.6613
34,229.2944
35,236.0682
36,242.7947
37,249.4444
38,256.2851
39,262.8764
40,269.711
41,276.3538
42,283.1185
43,289.8488
44,296.5205
45,303.3811
46,310.0122
47,316.8949
48,323.5436
49,330.3174
50,337.0772
51,343.7624
52,350.6286
53,357.3211
54,364.2312
55,370.9478
56,377.773
57,384.5105
58,391.2412
59,398.0835
60,404.7457
61,411.6637
62,418.2759
63,425.0848
64,431.7795
65,438.4928
66,445.3201
67,451.9592
68,458.8769
69,465.5194
70,472.3899
71,479.1247
72,485.8837
73,492.7003
74,499.3505
75,506.2846
76,512.9303
77,519.7818
78,526.5312
79,533.2832
80,540.0779
81,546.7092
82,553.6234
83,560.2323
84,567.0779
85,573.735
86,580.4906
87,587.3151
88,593.9642
89,600.8766
90,607.4866
91,614.3141
92,620.9686
93,627.7733
94,634.5926
95,641.2756
96,648.2112
97,654.8657
98,661.7468
99,668.4376
100,675.2264
