epoch,time
1,5.6716
2,11.7303
3,17.4562
4,23.2305
5,29.1731
6,34.9217
7,40.8167
8,46.674
9,52.4377
10,58.4448
11,64.2166
12,70.0531
13,76.0143
14,81.7951
15,87.7855
16,93.705
17,99.4605
18,105.5561
19,111.324
20,117.2045
21,123.2283
22,129.0446
23,135.0694
24,140.9672
25,146.8162
26,152.9109
27,159.0064
28,165.0144
29,171.0077
30,176.7924
31,182.8655
32,188.7509
33,194.6309
34,200.7004
35,206.5181
36,212.533
37,218.5115
38,224.3237
39,230.3983
40,236.2603
41,242.1532
42,248.2081
43,254.0205
44,260.0329
45,265.9429
46,271.7736
47,277.9446
48,283.7606
49,289.7231
50,295.7512
51,301.5916
52,307.6538
53,313.504
54,319.3843
55,325.5014
56,331.3214
57,337.3118
58,343.2882
59,349.0983
60,355.1743
61,361.0359
62,366.942
63,372.9995
64,378.8249
65,384.869
66,390.7804
67,396.6555
68,402.7927
69,408.6246
70,414.5889
71,420.5874
72,426.4247
73,432.4876
74,438.3961
75,444.2807
76,450.3559
77,456.1962
78,462.1862
79,468.1911
80,474.0263
81,480.1647
82,486.0184
83,491.9396
84,497.9759
85,503.7717
86,509.8379
87,515.776
88,521.661
89,527.7516
90,533.6107
91,539.5992
92,545.6151
93,551.4684
94,557.548
95,563.4499
96,569.4482
97,576.0303
98,582.0593
99,587.9039
100,593.9868
