step,s_loss,c_loss
1,5591837.5,0.0
2,5304329.5,4.7732215
3,4921564.0,35.50789
4,4490921.0,95.71055
5,4043253.5,368.34503
6,3616648.0,802.65704
7,3225524.0,1254.5671
8,2871868.5,1391.9202
9,2548742.5,1345.5417
10,2249473.5,1330.5957
11,1972910.8,1294.3625
12,1716577.8,1264.3011
13,1479067.2,1240.6449
14,1260027.8,1217.9563
15,1059459.6,1194.0931
16,878184.2,1185.2323
17,717984.0,1185.6177
18,581096.1,1192.9591
19,471579.16,1203.4512
20,391391.84,1216.4816
21,334185.94,1231.7877
22,295738.94,1244.1324
23,272999.03,1251.9869
24,263064.3,1258.2072
25,262835.94,1262.7207
26,269269.16,1265.6245
27,279452.2,1267.4009
28,290889.1,1267.6924
29,301497.88,1266.3568
30,309555.7,1263.6931
31,313889.47,1260.6273
32,313759.6,1257.5321
33,308860.5,1254.9011
34,299292.66,1253.3936
35,285567.56,1253.1703
36,268522.8,1253.5242
37,249283.25,1254.1459
38,229168.92,1255.8718
39,209559.05,1259.2621
40,191790.95,1263.4718
41,177047.28,1268.3497
42,166278.77,1273.2556
43,160147.0,1278.2694
44,158996.5,1284.0415
45,162863.53,1290.0664
46,171523.16,1295.6953
47,184532.97,1301.401
48,201302.86,1307.4938
49,221163.2,1313.2764
50,243382.45,1317.5582
51,267230.6,1320.6708
52,292026.44,1323.5917
53,317148.0,1325.3589
54,342045.88,1325.9098
55,366271.9,1327.0913
56,389453.25,1327.9183
57,411325.5,1327.5841
58,431718.0,1326.3444
59,450552.16,1323.812
60,467822.5,1320.3595
61,483602.56,1316.7616
62,498025.4,1312.9523
63,511278.8,1308.6765
64,523586.8,1304.3569
65,535170.5,1301.372
66,546251.06,1299.6501
67,557038.9,1298.8087
68,567703.6,1298.2488
69,578345.9,1297.846
70,589017.0,1297.5583
71,599708.0,1297.4374
72,610334.1,1297.8379
73,620725.7,1298.328
74,630655.1,1298.7838
75,639851.1,1298.9471
76,648012.94,1298.8939
77,654784.4,1298.9818
78,659815.1,1298.6387
79,662770.06,1297.0675
80,663330.2,1295.3472
81,661210.75,1293.8599
82,656212.56,1292.8156
83,648219.5,1292.3514
84,637210.6,1292.1283
85,623246.2,1291.2847
86,606498.9,1289.291
87,587213.9,1286.8113
88,565720.1,1284.9177
89,542416.4,1283.5383
90,517735.34,1281.7495
91,492123.1,1279.7058
92,466026.84,1277.5686
93,439876.7,1275.6628
94,414052.4,1274.3213
95,388889.62,1272.9976
96,364674.75,1270.5217
97,341626.9,1267.354
98,319906.12,1263.7029
99,299616.84,1259.9583
100,280819.44,1256.3696
101,263516.38,1252.4546
102,247675.66,1248.3806
103,233236.5,1244.5676
104,220121.28,1240.8896
105,208238.75,1237.2191
106,197483.84,1232.886
107,187755.02,1228.4022
108,178956.78,1224.5968
109,170990.38,1220.9813
110,163782.22,1217.5782
111,157262.42,1213.9392
112,151380.64,1209.8225
113,146087.66,1205.9087
114,141347.6,1201.8081
115,137142.45,1197.1892
116,133455.78,1192.7883
117,130274.61,1188.9607
118,127593.21,1185.4447
119,125407.56,1181.3296
120,123705.02,1176.8567
121,122466.266,1172.6868
122,121664.05,1168.9675
123,121263.45,1164.9353
124,121219.58,1160.4277
125,121481.586,1155.5906
126,121986.95,1150.0651
127,122667.9,1144.458
128,123448.56,1139.1036
129,124249.8,1133.6597
130,124994.516,1127.9589
131,125607.9,1122.1313
132,126027.64,1116.2283
133,126194.586,1110.2815
134,126062.766,1104.5295
135,125601.336,1099.0453
136,124791.625,1093.6804
137,123634.02,1088.2416
138,122144.3,1082.5128
139,120349.6,1076.6318
140,118290.65,1070.9575
141,116017.7,1065.2891
142,113588.52,1059.562
143,111063.0,1053.8322
144,108498.95,1048.4338
145,105950.54,1043.3655
146,103468.734,1038.1643
147,101096.69,1033.0977
148,98866.266,1028.3085
149,96801.3,1023.65674
150,94917.36,1019.0813
151,93217.984,1014.4122
152,91700.3,1009.8658
153,90352.516,1005.62555
154,89159.03,1001.2083
155,88101.516,996.50867
156,87158.414,991.88354
157,86309.53,987.33655
158,85536.18,983.2079
159,84821.71,979.49133
160,84151.89,975.74475
161,83517.516,971.5806
162,82914.71,967.4033
163,82342.77,963.05145
164,81806.37,958.7511
165,81314.44,954.3785
166,80877.3,949.96716
167,80507.805,945.8695
168,80220.04,941.8968
169,80026.67,938.22034
170,79937.734,934.9736
171,79959.99,931.82654
172,80094.67,928.1273
173,80338.78,924.0848
174,80683.11,920.0044
175,81113.07,916.04785
176,81607.375,912.07495
177,82139.805,908.0682
178,82677.555,903.97046
179,83187.69,900.02893
180,83634.74,896.41144
181,83985.836,893.0031
182,84208.234,889.63696
183,84274.914,886.1588
184,84163.2,882.80005
185,83859.04,879.45465
186,83355.98,876.2302
187,82653.85,873.0848
188,81763.05,869.8424
189,80697.766,866.3337
190,79478.8,862.6998
191,78130.6,859.30786
192,76682.08,855.9772
193,75161.48,852.485
194,73599.91,848.9191
195,72025.34,845.4446
196,70463.17,842.178
197,68933.555,839.0523
198,67451.65,836.01917
199,66026.06,833.0185
200,64662.426,829.71655
201,63361.51,826.0581
202,62120.855,822.5404
203,60932.145,819.4343
204,59786.594,816.3769
205,58673.48,812.79614
206,57582.5,809.18365
207,56504.0,805.66693
208,55430.24,802.2217
209,54356.758,798.67114
210,53280.867,794.864
211,52202.35,791.4132
212,51123.867,788.2186
213,50050.906,784.8847
214,48990.54,781.4365
215,47950.105,778.0864
216,46937.906,774.4846
217,45962.08,770.88824
218,45030.043,767.3185
219,44148.19,763.40686
220,43318.758,759.4391
221,42542.45,755.84357
222,41817.363,752.006
223,41138.38,748.07043
224,40498.477,744.3557
225,39888.27,740.9953
226,39297.223,737.86096
227,38713.348,734.67236
228,38124.094,730.8987
229,37518.812,727.1018
230,36888.496,723.64886
231,36225.867,720.11957
232,35526.195,716.4808
233,34787.61,712.79767
234,34011.094,709.28973
235,33201.164,705.8336
236,32365.041,702.2935
237,31511.832,698.7488
238,30653.135,695.272
239,29801.379,691.774
240,28969.678,688.40625
241,28170.238,685.3831
242,27413.828,682.43994
243,26710.146,679.4049
244,26066.154,676.27844
245,25486.56,672.9802
246,24973.488,669.3721
247,24526.463,665.5759
248,24143.016,662.06287
249,23818.076,658.6981
250,23545.19,655.3186
251,23316.79,651.96045
252,23125.064,648.8358
253,22962.215,645.8187
254,22820.996,642.893
255,22694.496,639.8812
256,22577.062,636.6429
257,22464.545,633.32916
258,22353.996,630.1732
259,22243.479,627.179
260,22132.105,624.2297
261,22019.906,621.3215
262,21908.225,618.61615
263,21798.332,615.70135
264,21691.799,612.69745
265,21590.13,609.9314
266,21494.484,607.495
267,21405.264,605.06683
268,21322.197,602.5078
269,21243.926,600.2188
270,21168.8,598.0827
271,21093.816,595.8634
272,21014.879,593.3944
273,20927.441,590.79004
274,20827.178,588.22546
275,20709.277,585.61847
276,20568.854,583.1089
277,20401.97,580.5851
278,20205.684,578.2239
279,19978.738,575.7646
280,19720.693,573.2159
281,19432.402,570.87585
282,19116.414,568.66595
283,18776.275,566.5949
284,18416.508,564.445
285,18042.371,562.3263
286,17659.246,560.2852
287,17273.068,558.2604
288,16889.635,556.1866
289,16514.277,554.15125
290,16151.495,552.18933
291,15805.037,550.2942
292,15477.534,548.55743
293,15170.35,546.90967
294,14883.755,545.2742
295,14617.307,543.40546
296,14369.943,541.6266
297,14139.802,539.66626
298,13924.625,537.6273
299,13721.76,535.6658
300,13528.619,533.8081
301,13342.8125,531.90594
302,13162.391,530.0204
303,12985.756,528.1977
304,12811.776,526.29926
305,12639.952,524.4217
306,12470.3,522.581
307,12302.877,520.8529
308,12138.468,519.0994
309,11978.135,517.30756
310,11822.982,515.5151
311,11674.268,513.7497
312,11532.919,511.91885
313,11399.45,510.10974
314,11274.103,508.2296
315,11156.909,506.31635
316,11047.465,504.41595
317,10944.937,502.51544
318,10847.804,500.74158
319,10754.428,498.9604
320,10662.889,497.14423
321,10571.216,495.34164
322,10477.719,493.606
323,10380.888,491.80487
324,10279.785,489.95535
325,10173.727,488.16486
326,10062.531,486.39648
327,9946.288,484.64545
328,9825.771,482.78616
329,9702.1875,480.98096
330,9576.986,479.24725
331,9452.119,477.5338
332,9329.565,475.7012
333,9211.393,473.77054
334,9099.338,471.92157
335,8995.096,470.08783
336,8900.158,468.2764
337,8815.549,466.47693
338,8741.857,464.66486
339,8679.138,462.82324
340,8627.086,460.9712
341,8584.923,459.12415
342,8551.638,457.2896
343,8525.717,455.4696
344,8505.4795,453.67493
345,8489.238,451.9593
346,8475.322,450.2625
347,8462.131,448.5111
348,8448.198,446.74225
349,8432.269,444.9878
350,8413.477,443.26782
351,8391.365,441.6283
352,8365.491,440.0301
353,8335.907,438.38568
354,8302.975,436.7552
355,8267.128,435.18347
356,8228.854,433.64655
357,8188.7656,432.07333
358,8147.496,430.46277
359,8105.4688,428.85034
360,8062.974,427.25372
361,8020.293,425.70386
362,7977.534,424.22147
363,7934.664,422.76358
364,7891.2866,421.2999
365,7846.992,419.82404
366,7801.3477,418.38663
367,7753.8037,416.97052
368,7703.822,415.5652
369,7650.8687,414.19873
370,7594.593,412.833
371,7534.6396,411.42035
372,7471.0674,409.9488
373,7404.194,408.5019
374,7334.4546,407.1789
375,7262.479,405.91132
376,7189.0654,404.62817
377,7115.096,403.31436
378,7041.329,402.01978
379,6968.6133,400.78586
380,6897.8125,399.53326
381,6829.681,398.2636
382,6764.776,396.99454
383,6703.628,395.7776
384,6646.522,394.59985
385,6593.419,393.37048
386,6544.1196,392.09082
387,6498.2837,390.8017
388,6455.456,389.549
389,6415.0557,388.31433
390,6376.4756,387.07214
391,6339.038,385.8159
392,6302.051,384.60025
393,6264.839,383.41876
394,6226.8247,382.2334
395,6187.6343,381.0188
396,6146.8594,379.80353
397,6104.3735,378.67065
398,6060.093,377.56158
399,6014.1367,376.38416
400,5966.708,375.2284
401,5918.0454,374.1637
402,5868.393,373.1174
403,5818.087,372.02185
404,5767.5596,370.91602
405,5717.1274,369.83368
406,5667.064,368.7661
407,5617.6226,367.72968
408,5568.952,366.70837
409,5521.045,365.66245
410,5473.8345,364.59836
411,5427.2627,363.58005
412,5381.1826,362.59732
413,5335.387,361.58423
414,5289.706,360.5258
415,5243.918,359.4623
416,5197.887,358.4319
417,5151.451,357.4475
418,5104.681,356.46976
419,5057.5786,355.45282
420,5010.2725,354.4015
421,4963.006,353.39853
422,4916.1123,352.41165
423,4869.8447,351.42444
424,4824.4883,350.43988
425,4780.372,349.47437
426,4737.8037,348.5426
427,4697.004,347.64493
428,4658.148,346.75156
429,4621.308,345.85782
430,4586.454,344.95166
431,4553.454,344.0302
432,4522.1665,343.13483
433,4492.375,342.257
434,4463.784,341.3916
435,4436.014,340.5242
436,4408.6846,339.69022
437,4381.4424,338.88013
438,4353.9795,338.01865
439,4325.993,337.14413
440,4297.2627,336.27588
441,4267.6514,335.41034
442,4237.0894,334.57516
443,4205.589,333.77252
444,4173.218,332.94778
445,4140.0723,332.09503
446,4106.292,331.25092
447,4072.0078,330.41827
448,4037.446,329.5738
449,4002.847,328.72946
450,3968.4292,327.9231
451,3934.354,327.1473
452,3900.7786,326.36255
453,3867.7798,325.56927
454,3835.4238,324.7669
455,3803.7434,323.95898
456,3772.746,323.1865
457,3742.3677,322.47687
458,3712.6172,321.76367
459,3683.371,321.03925
460,3654.559,320.3178
461,3626.0527,319.5871
462,3597.8113,318.86536
463,3569.789,318.15942
464,3542.0396,317.44577
465,3514.5835,316.7019
466,3487.4348,315.97617
467,3460.7043,315.25946
468,3434.4895,314.53412
469,3408.8726,313.80414
470,3383.9233,313.0437
471,3359.7383,312.2896
472,3336.407,311.55844
473,3314.0,310.82712
474,3292.5273,310.11798
475,3271.9607,309.43042
476,3252.2417,308.7293
477,3233.325,308.02844
478,3215.081,307.32626
479,3197.3755,306.6443
480,3180.0542,305.98108
481,3162.9402,305.33188
482,3145.907,304.6867
483,3128.7983,304.02414
484,3111.4917,303.34793
485,3093.8877,302.6883
486,3075.9392,302.04474
487,3057.6184,301.4258
488,3038.9058,300.80328
489,3019.857,300.1622
490,3000.5325,299.52466
491,2981.0413,298.8999
492,2961.5386,298.27005
493,2942.1252,297.61896
494,2922.9304,296.981
495,2904.059,296.36743
496,2885.603,295.76
497,2867.6362,295.13007
498,2850.224,294.49808
499,2833.377,293.88953
500,2817.1003,293.27466
501,2801.3738,292.64603
502,2786.169,292.02435
503,2771.4688,291.40714
504,2757.223,290.79718
505,2743.36,290.1903
506,2729.853,289.57904
507,2716.6648,288.98083
508,2703.734,288.38147
509,2691.0378,287.78
510,2678.5725,287.18695
511,2666.32,286.60083
512,2654.3018,286.00244
513,2642.5425,285.4126
514,2631.0925,284.82266
515,2619.9758,284.22937
516,2609.2144,283.6422
517,2598.8113,283.06683
518,2588.7615,282.49094
519,2579.0247,281.92877
520,2569.5732,281.38797
521,2560.3442,280.84415
522,2551.285,280.30487
523,2542.3286,279.77597
524,2533.4067,279.23767
525,2524.45,278.68094
526,2515.3894,278.13385
527,2506.1592,277.59253
528,2496.7388,277.0492
529,2487.0771,276.49176
530,2477.1626,275.9259
531,2467.0063,275.3636
532,2456.628,274.8186
533,2446.0579,274.27588
534,2435.3633,273.73938
535,2424.5972,273.21896
536,2413.8374,272.72906
537,2403.141,272.2572
538,2392.5754,271.78278
539,2382.185,271.28174
540,2372.0151,270.7727
541,2362.0977,270.27338
542,2352.4756,269.78888
543,2343.1624,269.32248
544,2334.1572,268.85153
545,2325.4392,268.35913
546,2316.9873,267.86343
547,2308.7551,267.37955
548,2300.7302,266.9115
549,2292.8628,266.43338
550,2285.1335,265.97162
551,2277.5063,265.5072
552,2269.9424,265.05295
553,2262.4329,264.60086
554,2254.9617,264.13977
555,2247.5342,263.66827
556,2240.1309,263.21112
557,2232.7625,262.75784
558,2225.4214,262.30838
559,2218.1099,261.85513
560,2210.8442,261.4132
561,2203.642,260.96213
562,2196.4973,260.52176
563,2189.3923,260.07834
564,2182.293,259.63458
565,2175.1868,259.19113
566,2168.032,258.74237
567,2160.7976,258.2919
568,2153.4617,257.84988
569,2145.9944,257.4217
570,2138.3992,257.00085
571,2130.6453,256.58426
572,2122.7366,256.1602
573,2114.686,255.73415
574,2106.52,255.30724
575,2098.2476,254.88634
576,2089.8816,254.48279
577,2081.4722,254.07762
578,2073.0413,253.67365
579,2064.63,253.27148
580,2056.2468,252.87509
581,2047.9346,252.47366
582,2039.7145,252.06313
583,2031.6088,251.6466
584,2023.6324,251.23358
585,2015.8184,250.83386
586,2008.1595,250.4373
587,2000.6726,250.03328
588,1993.3689,249.63461
589,1986.2308,249.25269
590,1979.2457,248.8671
591,1972.4216,248.48154
592,1965.7317,248.0974
593,1959.1289,247.72557
594,1952.607,247.34862
595,1946.1383,246.97311
596,1939.718,246.61066
597,1933.3489,246.24881
598,1926.9922,245.87535
599,1920.6418,245.5071
600,1914.2988,245.15942
601,1907.9674,244.80579
602,1901.6367,244.44537
603,1895.2988,244.07666
604,1888.9375,243.70567
605,1882.5485,243.34369
606,1876.1257,242.97379
607,1869.6741,242.62054
608,1863.2073,242.27982
609,1856.7324,241.94205
610,1850.2383,241.59619
611,1843.7034,241.24164
612,1837.1213,240.88463
613,1830.4977,240.53421
614,1823.8278,240.19168
615,1817.1234,239.85408
616,1810.3926,239.52795
617,1803.6433,239.1969
618,1796.8887,238.8587
619,1790.1254,238.52893
620,1783.3867,238.20616
621,1776.6976,237.86166
622,1770.0715,237.52193
623,1763.5339,237.18726
624,1757.0803,236.85934
625,1750.7229,236.54228
626,1744.4808,236.23318
627,1738.3606,235.91837
628,1732.3727,235.58762
629,1726.5137,235.25562
630,1720.7812,234.92795
631,1715.1738,234.6048
632,1709.7021,234.28293
633,1704.3381,233.96765
634,1699.0706,233.65561
635,1693.8958,233.34477
636,1688.7949,233.03018
637,1683.7625,232.7157
638,1678.7805,232.39688
639,1673.8469,232.08408
640,1668.9476,231.77655
641,1664.0657,231.47443
642,1659.1951,231.17506
643,1654.323,230.88379
644,1649.4655,230.57996
645,1644.6237,230.27905
646,1639.7942,229.97887
647,1634.9889,229.68048
648,1630.2083,229.37912
649,1625.4552,229.07573
650,1620.7351,228.77925
651,1616.0469,228.48256
652,1611.3857,228.19778
653,1606.7594,227.91412
654,1602.1506,227.63
655,1597.5414,227.336
656,1592.952,227.04454
657,1588.3954,226.75665
658,1583.877,226.46574
659,1579.389,226.18411
660,1574.9467,225.901
661,1570.5476,225.6134
662,1566.1936,225.33057
663,1561.8832,225.06181
664,1557.6182,224.80362
665,1553.3995,224.5345
666,1549.2405,224.24669
667,1545.1514,223.96573
668,1541.1448,223.69148
669,1537.2247,223.41702
670,1533.3885,223.14868
671,1529.6359,222.87439
672,1525.9769,222.59752
673,1522.4062,222.33197
674,1518.9241,222.07011
675,1515.504,221.82253
676,1512.1292,221.5628
677,1508.7737,221.29767
678,1505.4329,221.0381
679,1502.0986,220.78311
680,1498.7549,220.53366
681,1495.3884,220.27275
682,1492.0024,219.99973
683,1488.5957,219.73228
684,1485.1624,219.47499
685,1481.6964,219.21979
686,1478.1896,218.9767
687,1474.6543,218.72684
688,1471.0795,218.47401
689,1467.4758,218.23499
690,1463.8569,217.99991
691,1460.2357,217.75667
692,1456.6144,217.509
693,1452.9889,217.26663
694,1449.3649,217.02495
695,1445.7507,216.77448
696,1442.1456,216.52797
697,1438.5463,216.29024
698,1434.966,216.05524
699,1431.398,215.82092
700,1427.8499,215.58942
701,1424.3204,215.34947
702,1420.8203,215.12094
703,1417.3485,214.88782
704,1413.9076,214.65077
705,1410.4889,214.41196
706,1407.095,214.17378
707,1403.7338,213.95015
708,1400.3983,213.73102
709,1397.1125,213.50188
710,1393.8741,213.26263
711,1390.6868,213.0244
712,1387.5524,212.80042
713,1384.4741,212.5875
714,1381.4421,212.3751
715,1378.4469,212.1523
716,1375.479,211.93715
717,1372.5544,211.71588
718,1369.6736,211.49835
719,1366.8207,211.28639
720,1363.9978,211.0781
721,1361.177,210.86551
722,1358.3418,210.65306
723,1355.4928,210.43217
724,1352.627,210.21579
725,1349.7406,209.99632
726,1346.8479,209.76802
727,1343.9642,209.55113
728,1341.0842,209.33762
729,1338.2208,209.12674
730,1335.3588,208.91783
731,1332.5026,208.71475
732,1329.6663,208.51013
733,1326.8484,208.30188
734,1324.0508,208.08951
735,1321.2628,207.87799
736,1318.4783,207.66893
737,1315.7065,207.45578
738,1312.9464,207.24567
739,1310.2166,207.04271
740,1307.527,206.84668
741,1304.8698,206.6502
742,1302.2502,206.44266
743,1299.6569,206.2297
744,1297.075,206.01767
745,1294.5022,205.81403
746,1291.9365,205.62157
747,1289.3864,205.43329
748,1286.8634,205.24237
749,1284.3816,205.04785
750,1281.9357,204.84378
751,1279.5228,204.64406
752,1277.1266,204.45302
753,1274.7664,204.26526
754,1272.4329,204.07306
755,1270.1366,203.87953
756,1267.8645,203.68372
757,1265.6147,203.4907
758,1263.3767,203.29877
759,1261.1525,203.1095
760,1258.9343,202.91663
761,1256.7217,202.72237
762,1254.5122,202.52643
763,1252.3138,202.33606
764,1250.1152,202.15457
765,1247.9069,201.97046
766,1245.6763,201.78812
767,1243.4226,201.60643
768,1241.1438,201.41245
769,1238.855,201.22379
770,1236.5642,201.03877
771,1234.2822,200.86234
772,1232.0059,200.68906
773,1229.7422,200.50687
774,1227.4987,200.32211
775,1225.283,200.1365
776,1223.0947,199.95023
777,1220.9167,199.76973
778,1218.746,199.58736
779,1216.5853,199.40701
780,1214.4252,199.2263
781,1212.2762,199.04564
782,1210.125,198.86469
783,1207.972,198.68832
784,1205.8135,198.52246
785,1203.6631,198.35277
786,1201.5199,198.17075
787,1199.3967,197.99489
788,1197.3029,197.82535
789,1195.2307,197.65802
790,1193.1725,197.48734
791,1191.1367,197.31378
792,1189.1194,197.14246
793,1187.1355,196.97041
794,1185.1753,196.79602
795,1183.2418,196.62271
796,1181.3312,196.45258
797,1179.4333,196.2728
798,1177.537,196.097
799,1175.6498,195.92226
800,1173.7635,195.74911
801,1171.8868,195.57253
802,1170.0116,195.39398
803,1168.1349,195.22223
804,1166.2593,195.0584
805,1164.3838,194.89288
806,1162.5095,194.72194
807,1160.6478,194.56075
808,1158.804,194.38867
809,1156.9703,194.22437
810,1155.1396,194.06412
811,1153.3113,193.90215
812,1151.4873,193.73737
813,1149.665,193.56949
814,1147.8553,193.40236
815,1146.0641,193.24428
816,1144.287,193.08556
817,1142.5238,192.92891
818,1140.7676,192.76974
819,1139.0199,192.61053
820,1137.2814,192.45021
821,1135.5563,192.28961
822,1133.8455,192.1326
823,1132.1399,191.96832
824,1130.441,191.80666
825,1128.7517,191.65195
826,1127.0813,191.49762
827,1125.4246,191.34009
828,1123.7831,191.1795
829,1122.1533,191.02818
830,1120.5382,190.8759
831,1118.9392,190.72467
832,1117.3557,190.57404
833,1115.783,190.422
834,1114.2186,190.2692
835,1112.6619,190.11166
836,1111.1082,189.95737
837,1109.5656,189.80466
838,1108.0265,189.6561
839,1106.4866,189.51193
840,1104.9539,189.36473
841,1103.4236,189.21368
842,1101.8928,189.0644
843,1100.3524,188.91052
844,1098.8054,188.7649
845,1097.2566,188.61507
846,1095.7048,188.461
847,1094.1447,188.30777
848,1092.5753,188.16228
849,1091.0013,188.01324
850,1089.434,187.86743
851,1087.8809,187.7216
852,1086.3457,187.58167
853,1084.825,187.44696
854,1083.3269,187.30527
855,1081.8577,187.1559
856,1080.4087,187.01526
857,1078.9763,186.86897
858,1077.539,186.7271
859,1076.1012,186.58554
860,1074.6663,186.4455
861,1073.2286,186.30334
862,1071.7864,186.16039
863,1070.3412,186.01959
864,1068.8978,185.88837
865,1067.4573,185.74947
866,1066.0192,185.60751
867,1064.5828,185.47327
868,1063.135,185.33963
869,1061.6943,185.20312
870,1060.2638,185.06505
871,1058.8333,184.92964
872,1057.402,184.79619
873,1055.9622,184.65628
874,1054.509,184.52219
875,1053.0598,184.3892
876,1051.6293,184.2526
877,1050.2201,184.12088
878,1048.8289,183.98889
879,1047.4451,183.85452
880,1046.073,183.7172
881,1044.7153,183.57399
882,1043.3627,183.44049
883,1042.0164,183.30774
884,1040.6738,183.17609
885,1039.3376,183.04732
886,1038.0094,182.91528
887,1036.6929,182.77602
888,1035.3917,182.63446
889,1034.1034,182.49811
890,1032.8345,182.36685
891,1031.5825,182.23265
892,1030.3561,182.09332
893,1029.1489,181.96649
894,1027.9587,181.83444
895,1026.7854,181.69624
896,1025.6273,181.56529
897,1024.469,181.43675
898,1023.2987,181.30542
899,1022.12366,181.18462
900,1020.95325,181.0552
901,1019.78534,180.92291
