epoch,time
1,5.8842
2,11.5833
3,17.3344
4,23.2754
5,28.9526
6,34.7581
7,40.5855
8,46.2637
9,52.1156
10,57.8562
11,63.5101
12,69.4716
13,75.1462
14,80.8673
15,86.7456
16,92.4195
17,98.2079
18,104.0401
19,109.7275
20,115.6002
21,121.3666
22,127.0733
23,133.0545
24,138.7603
25,144.6628
26,150.5836
27,156.2716
28,162.1061
29,167.8899
30,173.5456
31,179.4224
32,185.1324
33,190.8404
34,196.7513
35,202.4151
36,208.1844
37,214.0027
38,219.7155
39,225.5762
40,231.3228
41,236.9991
42,242.8993
43,248.5872
44,254.3755
45,260.2655
46,265.9479
47,271.7972
48,277.6462
49,283.3209
50,289.2222
51,295.0056
52,300.6973
53,306.6707
54,312.3299
55,318.0806
56,323.9328
57,329.5952
58,335.4253
59,341.1963
60,346.8543
61,352.7442
62,358.4367
63,364.1534
64,370.0438
65,375.6992
66,381.4873
67,387.2925
68,392.9379
69,398.8037
70,404.5311
71,410.228
72,416.1261
73,421.7783
74,427.5271
75,433.3594
76,439.0415
77,444.8497
78,450.6138
79,456.2647
80,462.1194
81,467.8456
82,473.5832
83,479.472
84,485.1224
85,490.9029
86,496.7068
87,502.366
88,508.2132
89,513.9433
90,519.6055
91,525.5243
92,531.1957
93,536.9453
94,542.7895
95,548.4452
96,554.26
97,560.032
98,565.6731
99,571.551
100,577.2338
