step,s_loss,c_loss
1,63137390000.0,0.0
2,62843048000.0,284.69122
3,61372408000.0,720.86505
4,59142988000.0,1233.4607
5,56395743000.0,1788.8447
6,53141406000.0,2345.632
7,49404930000.0,2882.5183
8,45270843000.0,3408.3477
9,40899650000.0,3913.1006
10,36532750000.0,4389.8467
11,32484696000.0,4830.875
12,29071204000.0,5233.726
13,26543399000.0,5603.4346
14,25014624000.0,5948.7104
15,24343265000.0,6283.844
16,24173255000.0,6617.9033
17,24115720000.0,6955.8965
18,23902970000.0,7301.847
19,23445015000.0,7642.144
20,22752842000.0,7952.1904
21,21874300000.0,8207.04
22,20872841000.0,8405.979
23,19817148000.0,8562.246
24,18763825000.0,8684.603
25,17751146000.0,8775.547
26,16802816000.0,8834.029
27,15943685000.0,8864.857
28,15179792000.0,8871.705
29,14513441000.0,8855.754
30,13940291000.0,8815.048
31,13451610000.0,8750.714
32,13037806000.0,8672.943
33,12689678000.0,8588.729
34,12402828000.0,8499.368
35,12170795000.0,8407.242
36,11987025000.0,8316.57
37,11841919000.0,8227.987
38,11727728000.0,8145.794
39,11634645000.0,8070.1724
40,11554001000.0,8005.1157
41,11479424000.0,7950.76
42,11404619000.0,7909.4585
43,11321114000.0,7880.5996
44,11223476000.0,7860.7734
45,11110360000.0,7849.582
46,10979226000.0,7845.7437
47,10831669000.0,7846.8926
48,10671348000.0,7850.588
49,10498775000.0,7856.354
50,10317808000.0,7863.1543
51,10131968000.0,7872.635
52,9944929000.0,7883.1543
53,9758330000.0,7894.744
54,9574810000.0,7904.1895
55,9396895000.0,7910.117
56,9225878000.0,7913.734
57,9060137000.0,7914.2476
58,8899429000.0,7912.3857
59,8743674000.0,7907.111
60,8592768000.0,7900.369
61,8447155000.0,7892.043
62,8305165300.0,7879.958
63,8166859000.0,7865.6475
64,8032587300.0,7849.426
65,7901775400.0,7832.218
66,7773616000.0,7814.398
67,7647306000.0,7797.714
68,7522529000.0,7781.03
69,7398823000.0,7763.3047
70,7274863000.0,7746.2134
71,7151064600.0,7729.169
72,7027282000.0,7711.5317
73,6904005600.0,7695.461
74,6781233700.0,7680.7056
75,6660348000.0,7668.3975
76,6541720600.0,7657.3877
77,6425620500.0,7648.148
78,6311937000.0,7639.8057
79,6200567300.0,7632.0195
80,6091385000.0,7625.036
81,5985257000.0,7619.2363
82,5881800700.0,7614.466
83,5781132000.0,7610.7256
84,5683335000.0,7608.0254
85,5588244500.0,7606.568
86,5495352300.0,7605.852
87,5404689000.0,7604.746
88,5316210700.0,7603.5347
89,5229884000.0,7601.85
90,5144934000.0,7601.8506
91,5061489000.0,7603.33
92,4980060700.0,7606.7314
93,4900799500.0,7611.491
94,4823343600.0,7616.5137
95,4747725300.0,7622.317
96,4673459700.0,7628.3486
97,4600221000.0,7634.348
98,4528064500.0,7640.6353
99,4456817000.0,7648.441
100,4386226000.0,7656.2295
101,4316169000.0,7664.1187
102,4246986800.0,7672.7188
103,4179034000.0,7681.808
104,4111925800.0,7691.514
105,4045779200.0,7701.0293
106,3980767700.0,7710.02
107,3916861400.0,7718.54
108,3854193700.0,7726.8213
109,3793021200.0,7734.853
110,3733065500.0,7743.2744
111,3674368300.0,7751.5986
112,3616863700.0,7759.2275
113,3560846800.0,7766.407
114,3506432000.0,7772.7314
115,3453465600.0,7776.914
116,3401762000.0,7780.041
117,3351371300.0,7782.9717
118,3301834800.0,7784.6284
119,3252860200.0,7786.1777
120,3204707600.0,7787.466
121,3157448400.0,7789.168
122,3111258400.0,7790.5703
123,3065996300.0,7791.3657
124,3021728500.0,7791.542
125,2978515500.0,7791.076
126,2936225800.0,7790.4795
127,2894971400.0,7789.526
128,2854535200.0,7787.8164
129,2814952000.0,7785.487
130,2776028700.0,7783.2803
131,2737660400.0,7781.483
132,2700028400.0,7780.4023
133,2663127300.0,7779.7295
134,2627043800.0,7779.711
135,2591641600.0,7780.581
136,2556981200.0,7781.831
137,2522998800.0,7783.95
138,2489746200.0,7786.317
139,2457171000.0,7788.83
140,2425483500.0,7791.425
141,2394698200.0,7794.0947
142,2364585500.0,7797.2256
143,2334987300.0,7800.7305
144,2305702700.0,7804.1777
145,2276910800.0,7807.9785
146,2248675800.0,7812.492
147,2220926700.0,7817.855
148,2193415700.0,7823.3574
149,2166196000.0,7829.444
150,2139296100.0,7836.9375
151,2112888300.0,7844.235
152,2086866600.0,7850.734
153,2061214700.0,7857.2925
154,2035874000.0,7862.804
155,2010912400.0,7868.377
156,1986319000.0,7873.993
157,1961969700.0,7879.338
158,1937851900.0,7884.134
159,1914011900.0,7888.674
160,1890448600.0,7892.1714
161,1867318400.0,7895.134
162,1844493600.0,7897.246
163,1822043000.0,7898.698
164,1799950700.0,7899.5156
165,1778321300.0,7899.845
166,1757124700.0,7900.25
167,1736430800.0,7900.674
168,1716203500.0,7901.8174
169,1696344300.0,7903.254
170,1676738600.0,7904.909
171,1657251200.0,7906.972
172,1638087000.0,7909.1943
173,1619208000.0,7911.4473
174,1600439400.0,7913.811
175,1581850100.0,7916.3647
176,1563507000.0,7918.7876
177,1545426000.0,7920.743
178,1527519600.0,7923.004
179,1509889500.0,7925.1533
180,1492515600.0,7927.4805
181,1475505400.0,7929.7427
182,1458847600.0,7932.026
183,1442601900.0,7934.728
184,1426670300.0,7938.354
185,1411060000.0,7941.9736
186,1395765400.0,7945.7715
187,1380641700.0,7950.1113
188,1365742800.0,7954.742
189,1351023700.0,7959.5728
190,1336384400.0,7964.2725
191,1321869400.0,7968.745
192,1307457000.0,7973.0684
193,1293237000.0,7977.2207
194,1279135200.0,7981.3584
195,1265184900.0,7985.204
196,1251368800.0,7989.249
197,1237682200.0,7993.7095
198,1224188900.0,7998.8477
199,1210786600.0,8004.415
200,1197461200.0,8009.7793
201,1184179700.0,8014.6836
202,1171093800.0,8019.807
203,1158252800.0,8025.357
204,1145669100.0,8031.2886
205,1133287200.0,8037.3765
206,1121143000.0,8043.5127
207,1109181600.0,8049.165
208,1097456400.0,8054.4697
209,1085891300.0,8059.7646
210,1074482800.0,8064.987
211,1063188350.0,8070.043
212,1052039360.0,8074.9893
213,1041028400.0,8079.685
214,1030112300.0,8084.6147
215,1019311000.0,8089.1357
216,1008644100.0,8093.491
217,998154240.0,8097.9834
218,987837600.0,8102.326
219,977633500.0,8106.551
220,967558900.0,8110.709
221,957633400.0,8114.664
222,947899800.0,8119.0186
223,938298000.0,8123.569
224,928862460.0,8128.3
225,919583550.0,8133.5254
226,910448100.0,8138.6357
227,901497500.0,8143.6924
228,892715100.0,8148.7236
229,884056960.0,8153.609
230,875523700.0,8158.439
231,867119100.0,8162.9917
232,858802400.0,8167.0273
233,850574700.0,8170.618
234,842370800.0,8173.772
235,834225860.0,8176.833
236,826124350.0,8179.654
237,818061300.0,8182.2363
238,809993500.0,8184.7773
239,801935740.0,8186.9834
240,793952800.0,8189.0713
241,786060400.0,8190.892
242,778230100.0,8192.77
243,770507260.0,8194.83
244,762912450.0,8197.414
245,755432300.0,8200.078
246,748003700.0,8202.896
247,740642560.0,8206.053
248,733381700.0,8209.503
249,726211200.0,8213.075
250,719128060.0,8216.575
251,712172300.0,8220.041
252,705321860.0,8223.576
253,698549500.0,8227.178
254,691912450.0,8230.947
255,685366900.0,8235.001
256,678914370.0,8239.205
257,672543000.0,8243.318
258,666269400.0,8247.059
259,660026560.0,8250.621
260,653824900.0,8253.923
261,647667200.0,8257.314
262,641553660.0,8260.5
263,635490560.0,8263.475
264,629494660.0,8266.469
265,623566000.0,8269.441
266,617684540.0,8272.7
267,611890200.0,8276.145
268,606158850.0,8279.812
269,600486400.0,8283.338
270,594905800.0,8286.7705
271,589409860.0,8290.181
272,584009800.0,8293.854
273,578671940.0,8297.432
274,573391360.0,8300.613
275,568186900.0,8303.49
276,563030500.0,8306.179
277,557933440.0,8308.8545
278,552900200.0,8311.236
279,547912200.0,8313.9
280,543000000.0,8316.661
281,538160900.0,8319.65
282,533385340.0,8322.753
283,528678880.0,8325.983
284,524040300.0,8329.039
285,519469980.0,8331.985
286,514973900.0,8335.148
287,510537150.0,8338.193
288,506156400.0,8341.385
289,501826300.0,8344.496
290,497556200.0,8347.508
291,493337660.0,8350.617
292,489158140.0,8353.827
293,484974850.0,8357.195
294,480819400.0,8360.482
295,476703330.0,8363.821
296,472624540.0,8367.074
297,468578980.0,8370.504
298,464573900.0,8374.26
299,460629760.0,8378.039
300,456735000.0,8381.918
301,452904740.0,8386.041
302,449125060.0,8390.357
303,445395600.0,8394.623
304,441693120.0,8398.997
305,438032770.0,8403.061
306,434415140.0,8407.076
307,430826430.0,8411.033
308,427246140.0,8414.57
309,423694340.0,8417.956
310,420166720.0,8421.372
311,416674300.0,8424.894
312,413206600.0,8428.432
313,409767140.0,8432.004
314,406362430.0,8435.514
315,403000580.0,8438.658
316,399673180.0,8441.623
317,396387200.0,8444.546
318,393164400.0,8447.441
319,389994300.0,8450.292
320,386867140.0,8452.962
321,383766800.0,8455.511
322,380694560.0,8457.861
323,377660830.0,8460.079
324,374662340.0,8462.211
325,371688960.0,8464.345
326,368745600.0,8466.346
327,365827840.0,8468.296
328,362933380.0,8470.309
329,360056000.0,8472.226
330,357194660.0,8474.186
331,354357630.0,8476.172
332,351549220.0,8477.904
333,348768580.0,8479.729
334,346004640.0,8481.514
335,343262700.0,8483.215
336,340544960.0,8485.022
337,337853120.0,8486.807
338,335182370.0,8488.4
339,332522430.0,8490.115
340,329876800.0,8491.819
341,327248700.0,8493.558
342,324649630.0,8495.261
343,322083870.0,8496.894
344,319546700.0,8498.434
345,317030980.0,8499.971
346,314546100.0,8501.473
347,312095000.0,8502.937
348,309681340.0,8504.38
349,307305920.0,8505.732
350,304967420.0,8506.963
351,302656000.0,8508.1045
352,300369760.0,8509.295
353,298117250.0,8510.491
354,295890270.0,8511.782
355,293684540.0,8513.061
356,291507650.0,8514.224
357,289358560.0,8515.404
358,287224800.0,8516.591
359,285102100.0,8517.607
360,282986020.0,8518.671
361,280883000.0,8519.811
362,278800600.0,8521.058
363,276738300.0,8522.254
364,274694940.0,8523.254
365,272675260.0,8524.302
366,270679170.0,8525.407
367,268711360.0,8526.551
368,266772060.0,8527.822
369,264860660.0,8529.09
370,262978540.0,8530.446
371,261126130.0,8531.714
372,259295230.0,8532.9
373,257487780.0,8534.193
374,255698530.0,8535.391
375,253920020.0,8536.604
376,252153500.0,8537.879
377,250393470.0,8539.27
378,248639800.0,8540.677
379,246894820.0,8542.207
380,245158610.0,8543.838
381,243434600.0,8545.514
382,241721540.0,8547.291
383,240019520.0,8549.209
384,238330940.0,8551.083
385,236655540.0,8552.986
386,234992900.0,8554.92
387,233349300.0,8556.906
388,231727580.0,8558.774
389,230127360.0,8560.608
390,228544290.0,8562.365
391,226976590.0,8564.081
392,225430460.0,8565.724
393,223896900.0,8567.186
394,222381170.0,8568.572
395,220875920.0,8569.834
396,219382620.0,8571.044
397,217898660.0,8572.217
398,216431300.0,8573.336
399,214977920.0,8574.325
400,213534660.0,8575.213
401,212099300.0,8576.082
402,210675900.0,8577.02
403,209266910.0,8578.078
404,207873660.0,8579.245
405,206496420.0,8580.46
406,205134080.0,8581.766
407,203785040.0,8583.117
408,202447360.0,8584.4
409,201126500.0,8585.785
410,199820640.0,8587.198
411,198527460.0,8588.678
412,197246880.0,8590.1
413,195977760.0,8591.322
414,194721650.0,8592.553
415,193481090.0,8593.8955
416,192252540.0,8595.295
417,191040750.0,8596.726
418,189845500.0,8598.156
419,188657360.0,8599.658
420,187480420.0,8601.201
421,186313730.0,8602.738
422,185154850.0,8604.325
423,184004540.0,8605.84
424,182865980.0,8607.379
425,181737730.0,8608.908
426,180617800.0,8610.489
427,179502500.0,8612.064
428,178392140.0,8613.596
429,177288420.0,8615.168
430,176191710.0,8616.709
431,175102830.0,8618.15
432,174024450.0,8619.516
433,172955280.0,8620.761
434,171895230.0,8621.997
435,170848000.0,8623.188
436,169815550.0,8624.398
437,168794750.0,8625.707
438,167787070.0,8627.132
439,166790830.0,8628.622
440,165805820.0,8630.166
441,164831460.0,8631.75
442,163864300.0,8633.36
443,162902560.0,8635.039
444,161944880.0,8636.777
445,160994750.0,8638.558
446,160050200.0,8640.232
447,159112020.0,8641.949
448,158181920.0,8643.711
449,157257540.0,8645.525
450,156339380.0,8647.451
451,155429950.0,8649.426
452,154530080.0,8651.434
453,153638880.0,8653.455
454,152756480.0,8655.427
455,151880800.0,8657.413
456,151012290.0,8659.41
457,150151460.0,8661.332
458,149299040.0,8663.244
459,148455420.0,8665.096
460,147619730.0,8666.869
461,146788140.0,8668.605
462,145961740.0,8670.254
463,145142800.0,8671.76
464,144332300.0,8673.248
465,143529470.0,8674.776
466,142734660.0,8676.278
467,141945630.0,8677.759
468,141164200.0,8679.247
469,140389120.0,8680.719
470,139621220.0,8682.264
471,138860110.0,8683.834
472,138106820.0,8685.41
473,137362180.0,8687.014
474,136626100.0,8688.643
475,135898300.0,8690.32
476,135176420.0,8691.92
477,134461800.0,8693.451
478,133754620.0,8694.856
479,133054610.0,8696.125
480,132361810.0,8697.273
481,131674360.0,8698.377
482,130994700.0,8699.557
483,130321970.0,8700.777
484,129656150.0,8701.975
485,128996104.0,8703.124
486,128342830.0,8704.293
487,127695576.0,8705.431
488,127054170.0,8706.546
489,126417320.0,8707.607
490,125783950.0,8708.652
491,125154350.0,8709.666
492,124529660.0,8710.706
493,123910170.0,8711.77
494,123294480.0,8712.812
495,122681740.0,8713.834
496,122072850.0,8714.8545
