step,s_loss,c_loss
1,5118971000.0,0.0
2,3633423400.0,448.57758
3,2601426400.0,1091.0118
4,2071830100.0,1720.8408
5,1780042200.0,2366.772
6,1606943400.0,2974.4915
7,1497033900.0,3494.9167
8,1420137100.0,3906.5552
9,1360687200.0,4204.038
10,1308119300.0,4407.234
11,1257857500.0,4529.0776
12,1207968300.0,4589.7764
13,1157517600.0,4616.9824
14,1107668700.0,4634.0034
15,1060009600.0,4645.3193
16,1015371800.0,4664.324
17,974260500.0,4695.4946
18,936815170.0,4741.071
19,903212300.0,4800.492
20,873330240.0,4869.294
21,846401540.0,4936.8623
22,822096000.0,5004.3926
23,799768260.0,5065.5674
24,778897660.0,5120.4014
25,759375800.0,5165.7207
26,740758300.0,5204.0547
27,723006140.0,5237.5386
28,706196900.0,5265.4746
29,690335900.0,5289.762
30,675514940.0,5310.894
31,661724700.0,5329.9614
32,648796000.0,5349.413
33,636697700.0,5371.4316
34,625383600.0,5394.937
35,614633300.0,5419.2793
36,604432830.0,5442.8164
37,594590140.0,5461.151
38,585051900.0,5475.328
39,575814140.0,5484.148
40,566778240.0,5488.3193
41,557934500.0,5489.918
42,549242900.0,5487.568
43,540682500.0,5483.128
44,532154620.0,5477.2026
45,523847140.0,5467.579
46,515730460.0,5455.2603
47,507755620.0,5441.6475
48,499941820.0,5427.78
49,492443620.0,5413.78
50,485286340.0,5399.7
51,478444600.0,5387.6426
52,471901900.0,5377.4717
53,465679580.0,5368.627
54,459728580.0,5360.22
55,453986560.0,5351.8457
56,448342530.0,5343.7646
57,442870850.0,5334.7656
58,437585920.0,5325.9478
59,432422750.0,5317.1406
60,427362750.0,5308.901
61,422402850.0,5301.843
62,417566100.0,5295.142
63,412766100.0,5288.8394
64,407999680.0,5283.1953
65,403304000.0,5278.6445
66,398654460.0,5274.271
67,394012900.0,5270.676
68,389475940.0,5268.006
69,385002560.0,5266.749
70,380603680.0,5266.0547
71,376218660.0,5265.1636
72,371923740.0,5264.9404
73,367672700.0,5264.217
74,363473380.0,5263.1143
