step,s_loss,c_loss
1,30455000000.0,0.0
2,29610813000.0,273.10165
3,28025532000.0,627.98016
4,25896370000.0,897.4088
5,23344753000.0,1121.879
6,20515901000.0,1309.8021
7,17636518000.0,1457.2122
8,15008947000.0,1567.7865
9,12942228000.0,1654.5864
10,11639997000.0,1725.1478
11,11058733000.0,1788.7051
12,10894481000.0,1846.9563
13,10783717000.0,1912.453
14,10479356000.0,1989.1558
15,9901617000.0,2084.565
16,9094785000.0,2193.5469
17,8169458700.0,2303.0813
18,7254536000.0,2408.6624
19,6438000600.0,2503.216
20,5747539000.0,2583.3608
21,5186480000.0,2640.244
22,4737916400.0,2665.9941
23,4379545000.0,2664.7898
24,4094395400.0,2637.7712
25,3865030100.0,2596.234
26,3681432000.0,2551.3245
27,3537667800.0,2510.0107
28,3427464000.0,2480.0256
29,3344254200.0,2461.8103
30,3281443800.0,2451.944
31,3232578800.0,2446.6165
32,3191748400.0,2450.4243
33,3152563700.0,2462.3882
34,3109442800.0,2476.3196
35,3060171300.0,2491.5938
36,3004468500.0,2506.4275
37,2942571500.0,2520.85
38,2873681000.0,2534.6416
39,2798771500.0,2550.4702
40,2718433500.0,2568.4739
41,2633398800.0,2584.5388
42,2545108500.0,2599.5261
43,2456809500.0,2612.7556
44,2369765400.0,2623.983
45,2285012500.0,2632.643
46,2203561000.0,2637.64
47,2125884900.0,2639.7336
48,2052210400.0,2640.3252
49,1982827400.0,2640.625
50,1916715400.0,2641.8738
51,1853649300.0,2646.7769
52,1792478200.0,2653.824
53,1733537800.0,2661.37
54,1676405100.0,2670.655
55,1621872400.0,2680.941
56,1570845600.0,2689.2625
57,1523379300.0,2695.6611
58,1479531300.0,2700.663
59,1439662200.0,2704.0303
60,1403126100.0,2706.0989
61,1369281300.0,2707.733
62,1337689200.0,2710.1194
63,1307770600.0,2713.5757
64,1279162500.0,2717.5125
65,1251550200.0,2722.9807
66,1224859500.0,2730.6133
67,1198862800.0,2740.0767
68,1172986900.0,2752.5388
69,1146810400.0,2767.3877
70,1119899000.0,2783.6724
71,1092283600.0,2800.962
72,1064134850.0,2819.2024
73,1035771800.0,2838.0046
74,1007452200.0,2855.6055
75,979637600.0,2872.1729
76,952709700.0,2886.9307
77,926886800.0,2898.9211
78,902354800.0,2907.7476
79,879201540.0,2913.7454
80,857144260.0,2916.0466
81,836118800.0,2915.4043
82,815994240.0,2913.0388
83,796534200.0,2909.5576
84,777698200.0,2904.668
85,759479040.0,2899.207
86,741785300.0,2893.5828
87,724505800.0,2887.8264
88,707869440.0,2882.36
89,691812000.0,2876.8862
90,676334340.0,2872.392
91,661262900.0,2869.262
92,646587100.0,2867.855
93,632298300.0,2867.4321
94,618521860.0,2867.9514
95,605186560.0,2869.5854
96,592368500.0,2872.1372
97,580219900.0,2875.3887
98,568910850.0,2878.7932
99,558357200.0,2882.3638
100,548452740.0,2886.353
101,539143550.0,2890.1235
102,530275500.0,2894.1562
103,521886200.0,2897.852
104,513811300.0,2902.065
105,505878900.0,2906.3567
106,497932350.0,2910.2007
107,489981440.0,2913.4663
108,481950080.0,2915.982
109,473860100.0,2918.692
110,465604130.0,2921.0454
111,457239550.0,2923.6033
112,448837060.0,2926.0151
113,440515970.0,2928.1472
114,432357540.0,2929.6743
115,424296800.0,2930.735
116,416524450.0,2931.9001
117,409041250.0,2932.686
118,401891400.0,2932.5266
119,394978850.0,2932.3853
120,388252600.0,2932.2754
121,381771300.0,2932.5205
122,375455300.0,2932.9458
123,369341000.0,2933.3232
124,363460450.0,2933.4167
125,357796740.0,2933.559
126,352330700.0,2933.7832
127,347059500.0,2933.9512
128,341949060.0,2934.2747
129,336981920.0,2935.1904
130,332081150.0,2936.275
131,327255140.0,2937.725
132,322512420.0,2939.152
133,317816130.0,2940.5806
134,313181860.0,2941.896
135,308628300.0,2942.6694
136,304178460.0,2943.2385
137,299858270.0,2943.462
138,295677500.0,2943.9841
139,291606820.0,2944.1824
140,287586800.0,2943.9746
141,283589900.0,2943.68
142,279620000.0,2943.4597
143,275634980.0,2943.182
144,271678180.0,2942.569
145,267768000.0,2941.6396
146,263850110.0,2940.5615
147,259961140.0,2939.1753
148,256117710.0,2937.7988
149,252296060.0,2936.4763
150,248487170.0,2935.391
151,244710100.0,2934.2256
152,240956370.0,2933.2507
153,237250530.0,2932.3936
154,233602640.0,2931.2935
155,230055790.0,2929.9314
156,226575870.0,2928.7812
157,223163840.0,2927.855
158,219848420.0,2926.9646
159,216645660.0,2925.603
160,213547460.0,2923.9312
161,210541180.0,2922.2144
162,207624130.0,2920.1118
163,204798660.0,2917.3042
164,202068220.0,2914.0767
165,199428420.0,2910.4502
166,196857890.0,2906.2769
167,194344670.0,2902.156
168,191874480.0,2898.4478
169,189444060.0,2895.037
170,187049900.0,2892.1172
171,184692000.0,2889.4436
172,182352740.0,2887.1177
173,180038750.0,2885.1216
174,177747790.0,2883.6143
175,175466860.0,2882.4412
176,173189500.0,2881.7612
177,170925840.0,2881.5542
178,168672940.0,2881.7773
179,166422900.0,2882.0562
180,164193040.0,2882.3208
181,161972060.0,2882.729
182,159757040.0,2883.1626
183,157556720.0,2883.705
184,155370600.0,2884.2417
185,153231420.0,2884.8623
186,151143900.0,2885.4092
187,149102530.0,2885.9507
188,147117660.0,2886.518
189,145189630.0,2887.129
190,143302020.0,2887.9648
191,141445100.0,2888.9985
192,139612590.0,2890.1025
193,137801950.0,2891.3286
194,136030400.0,2892.8057
195,134295790.0,2894.3447
196,132586590.0,2896.0103
197,130913620.0,2897.7842
198,129278430.0,2899.7915
199,127671160.0,2901.9116
200,126099780.0,2904.0942
201,124558080.0,2906.2188
202,123041250.0,2908.2178
203,121553670.0,2910.0645
204,120091950.0,2911.9043
205,118659990.0,2913.6729
206,117255760.0,2915.491
207,115871840.0,2917.3008
208,114505820.0,2919.1772
209,113162344.0,2921.047
210,111841410.0,2922.9192
211,110535970.0,2924.9
212,109255280.0,2927.1682
213,108007580.0,2929.738
214,106788420.0,2932.3972
215,105604480.0,2935.1924
216,104448000.0,2938.0688
217,103314810.0,2940.914
218,102201090.0,2943.5173
219,101102320.0,2946.0352
220,100017550.0,2948.3296
221,98942936.0,2950.4226
222,97874470.0,2952.2998
223,96815470.0,2954.0789
224,95761040.0,2955.775
225,94705784.0,2957.284
226,93647850.0,2958.651
227,92590820.0,2959.8672
228,91530860.0,2960.9648
229,90472184.0,2961.9446
230,89417460.0,2962.894
231,88369256.0,2963.7778
232,87331200.0,2964.538
233,86310456.0,2965.2358
234,85313740.0,2965.9688
235,84336780.0,2966.835
236,83381450.0,2967.6406
237,82447770.0,2968.351
238,81537464.0,2968.9456
239,80653090.0,2969.4717
240,79793220.0,2969.8784
241,78955090.0,2970.313
242,78138960.0,2970.8926
243,77338130.0,2971.5188
244,76554390.0,2972.3054
245,75786400.0,2973.292
246,75035550.0,2974.5215
247,74298470.0,2975.8909
248,73568140.0,2977.464
249,72842536.0,2979.1318
250,72123850.0,2980.8867
251,71408900.0,2982.746
252,70697280.0,2984.704
253,69990830.0,2986.6843
254,69288410.0,2988.63
255,68590170.0,2990.5142
256,67897780.0,2992.2524
257,67213410.0,2993.787
258,66536896.0,2995.2139
259,65869030.0,2996.4502
260,65211384.0,2997.355
261,64563536.0,2998.098
262,63927156.0,2998.662
263,63302864.0,2999.0786
264,62689776.0,2999.358
265,62087092.0,2999.5815
266,61494010.0,2999.8538
267,60910210.0,3000.2356
268,60333812.0,3000.718
