epoch,time
1,5.7572
2,11.7652
3,17.7183
4,23.5805
5,29.68
6,35.4785
7,41.363
8,47.2921
9,53.0367
10,58.9994
11,64.8234
12,70.6102
13,76.5833
14,82.3262
15,88.1676
16,94.0878
17,99.8757
18,105.8682
19,111.7344
20,117.6011
21,123.6181
22,129.3817
23,135.2713
24,141.1705
25,146.9279
26,152.8921
27,158.6826
28,164.4821
29,170.4587
30,176.2203
31,182.1124
32,188.0211
33,193.7948
34,199.7616
35,205.5571
36,211.3759
37,217.3463
38,223.122
39,229.037
40,234.9447
41,240.7006
42,246.6811
43,252.4779
44,258.298
45,264.2496
46,270.0325
47,275.9525
48,281.8271
49,287.6098
50,293.6231
51,299.4252
52,305.2503
53,311.2164
54,316.9979
55,322.8942
56,328.8004
57,334.5676
58,340.5977
59,346.4109
60,352.2572
61,358.243
62,364.0124
63,369.9592
64,375.8283
65,381.6035
66,387.6287
67,393.4077
68,399.227
69,405.1704
70,410.9529
71,416.8955
72,422.7874
73,428.5726
74,434.5973
75,440.3589
76,446.2029
77,452.1566
78,457.8976
79,463.8032
80,469.7085
81,475.4877
82,481.5086
83,487.2731
84,493.1373
85,499.092
86,504.8797
87,510.8335
88,516.6888
89,522.448
90,528.4931
91,534.272
92,540.1252
93,546.0704
94,551.8247
95,557.7642
96,563.634
97,569.3801
98,575.3927
99,581.1784
100,587.0373
