step,s_loss,c_loss
1,23330712000.0,0.0
2,20246841000.0,299.94528
3,16743851000.0,701.4099
4,13642070000.0,1074.428
5,11198332000.0,1419.9519
6,9374302000.0,1720.2488
7,8068461600.0,1970.577
8,7165829600.0,2171.6382
9,6541160000.0,2334.7292
10,6074499000.0,2471.1963
11,5685048000.0,2595.053
12,5333049300.0,2712.5166
13,5010196000.0,2827.399
14,4721542000.0,2936.9412
15,4472157700.0,3038.439
16,4264370200.0,3131.1096
17,4096768300.0,3215.9805
18,3965974300.0,3294.8223
19,3866680300.0,3364.6182
20,3792464400.0,3427.5112
21,3734377000.0,3479.9976
22,3686184000.0,3522.5562
23,3643526000.0,3553.4512
24,3605539000.0,3572.3333
25,3571765000.0,3581.1763
26,3541933800.0,3580.5955
27,3516862000.0,3573.3826
28,3495810600.0,3560.2476
29,3477906400.0,3541.4854
30,3463057000.0,3523.142
31,3450466300.0,3505.1973
32,3439605000.0,3489.789
33,3428897500.0,3475.2153
34,3417539800.0,3460.4404
35,3405477400.0,3446.6914
36,3391643000.0,3432.0903
37,3375155700.0,3419.4475
38,3354463200.0,3409.3042
39,3329207600.0,3402.773
40,3299187200.0,3394.646
41,3263564800.0,3383.7676
42,3222503200.0,3370.2175
43,3176277200.0,3357.4998
44,3126683000.0,3345.5264
45,3073741600.0,3335.4856
46,3018084900.0,3327.4683
47,2960566300.0,3321.0737
48,2900718600.0,3318.791
49,2839618000.0,3320.0503
50,2777269000.0,3324.5823
51,2714074600.0,3330.2373
52,2651077000.0,3337.5076
53,2588620500.0,3347.728
54,2526800600.0,3361.0112
55,2466148900.0,3376.9624
56,2406575600.0,3392.1694
57,2348361500.0,3408.899
58,2291854600.0,3425.428
59,2237919200.0,3440.426
60,2186483700.0,3453.8848
61,2137387400.0,3467.1548
62,2090886000.0,3481.017
63,2047357000.0,3493.9207
64,2006367000.0,3505.2964
65,1967267600.0,3514.9736
66,1929473800.0,3524.1494
67,1893333600.0,3532.3818
68,1858893800.0,3541.3394
69,1825433700.0,3549.139
70,1793180000.0,3557.4556
71,1762264700.0,3564.353
72,1732297000.0,3568.6
73,1703167500.0,3571.8013
74,1674726700.0,3575.4111
75,1647073300.0,3579.0872
76,1619701200.0,3582.591
77,1592644900.0,3584.8374
78,1565904900.0,3586.33
79,1539792900.0,3587.2515
80,1514280800.0,3588.936
81,1489541400.0,3591.372
82,1465325300.0,3594.8596
83,1441687800.0,3598.9004
84,1418652200.0,3603.082
85,1396116700.0,3606.3196
86,1374067700.0,3608.19
87,1352379500.0,3608.7097
88,1331114500.0,3609.1406
89,1310177300.0,3609.6753
90,1289440300.0,3611.589
