epoch,time
1,6.6015
2,13.0911
3,19.6056
4,26.1745
5,32.5547
6,39.1557
7,45.5563
8,52.0709
9,58.5377
10,64.946
11,71.5278
12,77.9097
13,84.4783
14,90.899
15,97.3798
16,103.9055
17,110.2994
18,116.951
19,123.3466
20,129.8787
21,136.4066
22,142.7896
23,149.407
24,155.7631
25,162.3089
26,168.7822
27,175.224
28,181.7838
29,188.1457
30,194.7521
31,201.1524
32,207.6251
33,214.118
34,220.4991
35,227.1092
36,233.513
37,240.0593
38,246.9985
39,255.6932
40,262.4355
41,269.4851
42,276.02
43,282.404
44,289.007
45,295.4157
46,301.8924
47,308.4139
48,314.7921
49,321.4536
50,327.8464
51,334.3836
52,340.8635
53,347.3135
54,353.9172
55,360.2868
56,366.8604
57,373.3138
58,379.8245
59,386.3779
60,392.7666
61,399.394
62,405.7804
63,412.3086
64,418.8177
65,425.2399
66,431.8623
67,438.2675
68,444.8845
69,451.3556
70,457.8316
71,464.402
72,470.8155
73,477.4512
74,483.8731
75,490.4024
76,496.9464
77,503.323
78,509.9728
79,516.3856
80,522.9044
81,529.3707
82,535.8285
83,542.4189
84,548.7964
85,555.4058
86,561.8493
87,568.3096
88,574.8602
89,581.2509
90,587.8612
91,594.245
92,600.7727
93,607.2379
94,613.6665
95,620.2981
96,626.677
97,633.224
98,639.6427
99,646.092
100,652.6488
