step,s_loss,c_loss
1,431254100000.0,0.0
2,437112570000.0,2022.8259
3,418693400000.0,4699.2656
4,388329770000.0,6690.8726
5,355376960000.0,8482.782
6,322063630000.0,10239.959
7,289766700000.0,12042.259
8,260414340000.0,13814.225
9,234574460000.0,15467.488
10,213070330000.0,16981.531
11,196044000000.0,18355.285
12,182680260000.0,19569.395
13,171791900000.0,20625.988
14,162104640000.0,21548.195
15,152931090000.0,22354.277
16,144199610000.0,23065.941
17,136292630000.0,23702.504
18,129570980000.0,24280.0
19,124051110000.0,24816.57
20,119552230000.0,25287.43
21,115809930000.0,25683.87
22,112575580000.0,26001.3
23,109698510000.0,26253.293
24,107070640000.0,26454.66
25,104672980000.0,26619.688
26,102472860000.0,26743.463
27,100441800000.0,26841.07
28,98505950000.0,26916.877
29,96627245000.0,26982.95
30,94791590000.0,27047.146
31,92976240000.0,27113.15
32,91179550000.0,27182.453
33,89421280000.0,27249.55
34,87663130000.0,27325.525
35,85899760000.0,27405.889
36,84128360000.0,27487.332
37,82366300000.0,27575.42
38,80616770000.0,27665.203
39,78886360000.0,27754.836
40,77185565000.0,27839.947
41,75511580000.0,27923.168
42,73867430000.0,28007.918
43,72253160000.0,28088.008
44,70677135000.0,28172.168
45,69139520000.0,28259.059
46,67649712000.0,28350.701
47,66203017000.0,28441.91
48,64794505000.0,28531.836
49,63424143000.0,28624.078
50,62093218000.0,28721.297
51,60805853000.0,28824.22
52,59567990000.0,28931.113
53,58374087000.0,29037.09
54,57223350000.0,29142.324
55,56120705000.0,29249.582
56,55055560000.0,29355.826
57,54024684000.0,29458.773
58,53027020000.0,29558.92
59,52065030000.0,29654.83
60,51136233000.0,29747.21
61,50234710000.0,29832.512
62,49360820000.0,29913.291
63,48509022000.0,29990.102
64,47685320000.0,30061.63
65,46884774000.0,30129.316
66,46108852000.0,30197.361
67,45356397000.0,30270.15
68,44625945000.0,30350.125
69,43916320000.0,30432.363
70,43229620000.0,30513.21
71,42563183000.0,30593.723
72,41918370000.0,30673.775
73,41287172000.0,30754.209
74,40669560000.0,30830.754
75,40065946000.0,30904.053
76,39477277000.0,30977.523
77,38907160000.0,31052.256
78,38351254000.0,31127.266
79,37812888000.0,31200.822
80,37286687000.0,31271.846
81,36775977000.0,31341.611
82,36277125000.0,31412.223
83,35783442000.0,31484.16
84,35296960000.0,31557.168
85,34816880000.0,31629.484
86,34344240000.0,31699.143
87,33878776000.0,31766.15
88,33425738000.0,31828.3
89,32986268000.0,31889.053
90,32557777000.0,31946.934
91,32139045000.0,32000.309
92,31732320000.0,32050.375
