step,s_loss,c_loss
1,7481783000.0,0.0
2,5916103000.0,461.7851
3,4799160300.0,1256.4937
4,4176881700.0,1789.6788
5,3678377000.0,2199.981
6,3197503500.0,2524.7107
7,2756056300.0,2745.8672
8,2382048800.0,2873.7556
9,2085504800.0,2958.564
10,1868502800.0,3041.019
11,1714059300.0,3132.1685
12,1592340200.0,3233.7253
13,1480193700.0,3344.623
14,1371891000.0,3462.9573
15,1274643200.0,3586.5996
16,1195339800.0,3709.5947
17,1132335900.0,3829.1382
18,1079137500.0,3938.1753
19,1029332400.0,4031.8013
20,980168300.0,4108.7944
21,933217800.0,4170.829
22,890564000.0,4217.9873
23,851653250.0,4256.6777
24,814059400.0,4291.1445
25,774866700.0,4325.946
26,733172740.0,4362.7256
27,690262200.0,4403.0176
28,648982900.0,4446.1104
29,611581800.0,4490.407
30,578806400.0,4534.3916
31,550765950.0,4575.3657
32,526361470.0,4613.4272
33,505329400.0,4648.049
34,487275800.0,4678.3438
35,471926340.0,4704.7793
36,458999600.0,4726.232
37,447855680.0,4743.85
38,437607680.0,4758.108
39,427397500.0,4770.6035
40,416777820.0,4782.005
41,405762000.0,4792.5947
42,394809630.0,4802.6387
43,384325730.0,4813.1016
44,374566530.0,4825.289
45,365777600.0,4837.645
46,357795940.0,4850.315
47,350390530.0,4863.0605
48,343275040.0,4875.496
49,336509630.0,4887.125
50,330152450.0,4897.762
51,324400260.0,4909.031
52,319223140.0,4920.2456
53,314518700.0,4932.8086
54,310120100.0,4945.944
55,305789950.0,4960.458
56,301373760.0,4975.8457
57,296677120.0,4991.575
58,291800200.0,5006.2
59,286720450.0,5019.792
60,281591600.0,5032.192
61,276581820.0,5043.412
62,271783260.0,5052.9834
63,267230830.0,5060.16
64,262912130.0,5065.426
65,258721890.0,5069.086
66,254701840.0,5071.431
67,250723260.0,5073.004
68,246785820.0,5074.4795
69,242883220.0,5076.754
70,239002100.0,5079.7393
71,235148720.0,5084.204
72,231179170.0,5090.031
73,227156030.0,5096.335
74,223157280.0,5103.6523
