step,s_loss,c_loss
1,10888434000.0,0.0
2,9364134000.0,347.7095
3,7701491700.0,1048.2759
4,6271554600.0,1601.7596
5,5084310500.0,2087.0254
6,4167698200.0,2557.2017
7,3571839500.0,3004.814
8,3296138800.0,3421.2837
9,3208156200.0,3798.3928
10,3132714500.0,4120.8403
11,2995191300.0,4376.8105
12,2808024300.0,4575.1475
13,2606605300.0,4718.1562
14,2416460800.0,4817.497
15,2249292000.0,4884.2915
16,2111600400.0,4928.795
17,2006569700.0,4951.2095
18,1934172200.0,4960.741
19,1885807900.0,4959.4795
20,1848930300.0,4947.99
21,1810789600.0,4921.875
22,1764035100.0,4885.5117
23,1709740800.0,4844.1816
24,1652136100.0,4799.1636
25,1595229400.0,4755.491
26,1541061900.0,4713.7734
27,1490303000.0,4680.876
28,1443263700.0,4657.577
29,1399590500.0,4641.952
30,1360176100.0,4633.6455
31,1324664800.0,4627.5
32,1292580000.0,4622.5537
33,1263684600.0,4616.819
34,1237489700.0,4611.005
35,1213745400.0,4606.908
36,1192051500.0,4602.113
37,1172231700.0,4596.717
38,1153451800.0,4589.675
39,1135540400.0,4583.784
40,1118345500.0,4577.0137
41,1101550600.0,4568.631
42,1084495400.0,4560.228
43,1066511300.0,4552.675
44,1047563300.0,4545.204
45,1028379100.0,4538.1924
46,1008654200.0,4529.999
47,988625150.0,4521.879
48,967987200.0,4515.0005
49,946958850.0,4508.994
50,926129800.0,4504.4233
51,905841150.0,4501.473
52,885966300.0,4500.034
53,866630100.0,4500.6006
54,848063100.0,4501.5776
55,830264800.0,4501.879
56,813146400.0,4502.434
57,796385300.0,4502.6533
58,780263800.0,4503.859
59,764660700.0,4504.3257
60,749768300.0,4504.5537
61,735395840.0,4505.3604
62,721447360.0,4507.776
63,707838600.0,4510.4365
64,694481800.0,4512.8438
65,681236860.0,4516.072
66,668345000.0,4520.205
67,655601000.0,4524.1367
68,642995300.0,4527.55
69,630516740.0,4530.4873
70,618284540.0,4533.0054
71,606436600.0,4534.629
72,595052100.0,4536.362
73,584046200.0,4537.6953
74,573425600.0,4538.8857
75,563199940.0,4539.369
76,553387140.0,4538.7827
77,543873300.0,4538.5645
78,534659650.0,4537.869
79,525783870.0,4536.283
80,517067000.0,4533.619
81,508753660.0,4531.4404
82,500648700.0,4528.839
83,492704260.0,4526.0605
84,484916540.0,4523.8545
85,477257920.0,4522.4785
86,469780740.0,4521.557
87,462502000.0,4521.699
88,455279040.0,4521.944
89,448129440.0,4521.9004
90,441110660.0,4523.5986
91,434265730.0,4526.5938
92,427658100.0,4529.753
93,421185200.0,4533.204
94,414866800.0,4538.37
95,408706240.0,4544.063
96,402637630.0,4551.0635
97,396662900.0,4558.4443
98,390834880.0,4565.867
99,385141950.0,4573.1646
100,379555000.0,4580.583
101,374015100.0,4587.9946
102,368528700.0,4595.8936
103,363131230.0,4603.9785
104,357815940.0,4611.8965
105,352617570.0,4619.9526
106,347477300.0,4628.3413
107,342459400.0,4636.5986
108,337575460.0,4645.059
109,332810270.0,4653.5127
110,328104770.0,4661.6714
111,323495360.0,4669.405
112,318960800.0,4676.456
113,314483650.0,4683.2773
114,309999400.0,4690.594
115,305547680.0,4697.966
116,301182600.0,4705.16
117,296857660.0,4712.9326
118,292658620.0,4720.711
119,288596220.0,4729.09
120,284620600.0,4737.6074
121,280691170.0,4746.8467
122,276831200.0,4756.1177
123,273020350.0,4765.1294
124,269271170.0,4774.126
125,265613330.0,4782.8936
126,262086370.0,4791.182
127,258616600.0,4799.4365
128,255194560.0,4807.532
129,251779440.0,4815.001
130,248368260.0,4822.505
131,244977150.0,4829.451
132,241627070.0,4836.4663
133,238340200.0,4843.918
134,235154820.0,4851.9023
135,232043860.0,4859.8477
136,229000160.0,4868.3164
137,226006050.0,4877.046
138,223064960.0,4885.1353
139,220151150.0,4892.307
140,217247620.0,4899.0728
141,214358990.0,4905.725
142,211526900.0,4912.696
143,208751070.0,4920.088
144,206027950.0,4928.215
145,203336510.0,4936.7515
146,200679870.0,4946.517
147,198049250.0,4956.8145
148,195444670.0,4966.8374
149,192896100.0,4977.147
150,190378270.0,4987.702
151,187926270.0,4998.336
152,185541500.0,5008.845
153,183231330.0,5019.649
154,180989620.0,5030.8813
155,178775140.0,5042.1475
156,176590400.0,5053.247
157,174429650.0,5064.4497
158,172320050.0,5075.88
159,170224860.0,5087.19
160,168153220.0,5098.3667
161,166092830.0,5109.7397
162,164050600.0,5120.842
163,162033340.0,5131.643
164,160064060.0,5142.3115
165,158129340.0,5152.6367
166,156210030.0,5162.349
167,154306690.0,5171.241
168,152424510.0,5179.3467
169,150562370.0,5186.9375
170,148734240.0,5193.9487
171,146938370.0,5200.783
172,145172820.0,5207.2334
173,143416380.0,5212.902
174,141682260.0,5217.923
175,139973950.0,5222.6904
176,138297780.0,5227.2583
177,136662160.0,5231.998
178,135053490.0,5236.453
179,133473656.0,5240.6084
180,131920984.0,5244.841
