epoch,time
1,5.7828
2,11.4282
3,17.075
4,22.8279
5,28.444
6,34.2085
7,39.8625
8,45.5541
9,51.31
10,56.9081
11,62.6764
12,68.3081
13,73.9609
14,79.7048
15,85.2859
16,91.044
17,96.6696
18,102.3399
19,108.1122
20,113.718
21,119.4962
22,125.1333
23,130.7998
24,136.5565
25,142.1569
26,147.912
27,153.5578
28,159.1922
29,164.9414
30,170.5276
31,176.2801
32,181.9142
33,187.5361
34,193.3127
35,198.9025
36,204.7083
37,210.3579
38,215.9984
39,221.7699
40,227.3641
41,233.1046
42,238.7612
43,244.3903
44,250.1714
45,255.7701
46,261.5138
47,267.1761
48,272.8049
49,278.5551
50,284.1806
51,289.9398
52,295.5968
53,301.2117
54,306.9784
55,312.5743
56,318.3101
57,323.9759
58,329.6041
59,335.3798
60,340.986
61,346.851
62,353.018
63,358.6415
64,364.3788
65,370.0237
66,375.6642
67,381.4249
68,387.0134
69,392.7782
70,398.4114
71,404.0702
72,409.8123
73,415.4136
74,421.1607
75,426.8014
76,432.4419
77,438.2227
78,443.8274
79,449.5727
80,455.2223
81,460.8623
82,466.7304
83,472.3427
84,478.0778
85,483.7457
86,489.3609
87,495.1625
88,500.7531
89,506.5069
90,512.1523
91,517.7684
92,523.5464
93,529.1624
94,534.9399
95,540.5998
96,546.1972
97,551.9713
98,557.57
99,563.3082
100,568.9697
