step,s_loss,c_loss
1,481836300000.0,0.0
2,482241770000.0,3606.5498
3,445607770000.0,5690.415
4,407571370000.0,7042.028
5,370551320000.0,8073.849
6,339345280000.0,8888.166
7,313470400000.0,9595.766
8,291788500000.0,10234.01
9,274322390000.0,10795.285
10,260217820000.0,11287.662
11,248021980000.0,11744.33
12,236685310000.0,12172.438
13,225701900000.0,12593.294
14,214926920000.0,13022.579
15,204427120000.0,13451.947
16,194401600000.0,13882.255
17,185029560000.0,14299.371
18,176415540000.0,14690.293
19,168512620000.0,15059.078
20,161220000000.0,15414.443
21,154432450000.0,15749.189
22,148121810000.0,16073.576
23,142296600000.0,16387.797
24,136927610000.0,16689.574
25,131991070000.0,16980.68
26,127477720000.0,17252.299
27,123323020000.0,17501.434
28,119462630000.0,17734.473
29,115854890000.0,17952.553
30,112475046000.0,18154.873
31,109297890000.0,18341.762
32,106310640000.0,18515.88
33,103486400000.0,18674.889
34,100820010000.0,18821.592
35,98291720000.0,18963.156
36,95881716000.0,19099.617
37,93595620000.0,19229.373
38,91420640000.0,19354.734
39,89346290000.0,19472.012
40,87365026000.0,19582.455
41,85466220000.0,19687.705
42,83642710000.0,19793.734
43,81891150000.0,19899.197
44,80208790000.0,19999.904
45,78580230000.0,20094.098
46,77012180000.0,20183.87
47,75502880000.0,20269.627
48,74052230000.0,20353.453
49,72649105000.0,20432.436
50,71293110000.0,20505.66
51,69979365000.0,20577.16
52,68708290000.0,20648.328
53,67478192000.0,20716.37
54,66288222000.0,20779.793
55,65131622000.0,20841.447
56,64002298000.0,20901.791
57,62899778000.0,20956.25
58,61824870000.0,21007.488
59,60776743000.0,21055.084
60,59756480000.0,21101.021
61,58760870000.0,21146.678
62,57785770000.0,21192.07
63,56830050000.0,21237.129
64,55895507000.0,21281.566
65,54980630000.0,21326.938
66,54083936000.0,21373.137
67,53207240000.0,21418.73
68,52350380000.0,21464.578
69,51513110000.0,21510.766
70,50696830000.0,21556.44
71,49900290000.0,21600.133
72,49119940000.0,21641.746
73,48362280000.0,21681.596
74,47625750000.0,21719.291
75,46907785000.0,21755.8
76,46208897000.0,21792.45
77,45520605000.0,21827.71
78,44848718000.0,21861.6
79,44192813000.0,21894.42
80,43553657000.0,21925.82
81,42928153000.0,21954.559
82,42317267000.0,21982.73
83,41720865000.0,22010.445
84,41137275000.0,22037.348
85,40563646000.0,22063.914
86,40001098000.0,22089.713
87,39451420000.0,22114.617
88,38913930000.0,22139.254
89,38387800000.0,22162.826
90,37873922000.0,22186.488
91,37372040000.0,22210.615
92,36882964000.0,22233.46
93,36403280000.0,22255.725
94,35933647000.0,22278.93
95,35474100000.0,22302.113
96,35022426000.0,22324.506
97,34580144000.0,22345.986
98,34147885000.0,22364.354
99,33724068000.0,22380.684
100,33308273000.0,22395.467
101,32899006000.0,22410.096
102,32496503000.0,22425.742
103,32101880000.0,22443.389
