epoch,time
1,6.4342
2,12.9882
3,19.6083
4,26.1192
5,32.7446
6,39.2267
7,45.8874
8,52.3674
9,59.0047
10,65.506
11,72.1251
12,78.6703
13,85.2799
14,91.8588
15,98.347
16,104.9914
17,111.467
18,118.1257
19,124.6104
20,131.237
21,137.7201
22,144.3143
23,150.8539
24,157.4018
25,163.9635
26,170.4644
27,177.0764
28,183.5422
29,190.1985
30,196.6707
31,203.3094
32,209.8013
33,216.4419
34,222.9695
35,229.5243
36,236.052
37,242.6173
38,249.7431
39,256.3421
40,262.9094
41,269.4823
42,276.0263
43,282.6114
44,289.083
45,295.7109
46,302.1764
47,308.8284
48,315.292
49,321.9545
50,328.4251
51,335.0618
52,341.5992
53,348.1452
54,354.7488
55,361.2516
56,367.8911
57,374.3646
58,380.9986
59,387.4681
60,394.0943
61,400.5722
62,407.1992
63,413.7427
64,420.2859
65,426.8925
66,433.4037
67,440.0618
68,446.5492
69,453.1476
70,459.6275
71,466.2549
72,472.7154
73,479.3085
74,485.8403
75,492.4057
76,499.0187
77,505.6041
78,512.2551
79,518.7946
80,525.4808
81,531.9746
82,538.6687
83,545.1895
84,551.8553
85,558.3862
86,564.9964
87,571.5447
88,578.1221
89,584.745
90,591.2655
91,597.9151
92,604.4001
93,611.0809
94,617.6415
95,624.3119
96,630.8038
97,637.4402
98,643.9918
99,650.5719
100,657.1426
