epoch,time
1,6.8587
2,13.6835
3,20.654
4,27.5273
5,34.6007
6,41.4685
7,48.4571
8,55.2402
9,62.2174
10,68.9876
11,75.8978
12,82.6672
13,89.5788
14,96.3563
15,103.2524
16,110.0915
17,116.9936
18,123.8933
19,130.8063
20,137.6748
21,144.4973
22,151.4164
23,158.2278
24,165.1539
25,171.9628
26,178.9407
27,185.745
28,192.6913
29,199.4877
30,206.441
31,213.2384
32,220.1602
33,226.9495
34,233.8518
35,240.6993
36,247.5901
37,254.448
38,261.3276
39,268.2189
40,275.0988
41,282.0117
42,288.8545
43,295.8064
44,302.8516
45,309.8
46,316.5777
47,323.4962
48,330.2603
49,337.2075
50,343.9887
51,350.9365
52,357.7126
53,364.6742
54,371.4642
55,378.4067
56,385.2477
57,392.1471
58,399.0418
59,405.9134
60,412.7845
61,419.5828
62,426.473
63,433.2632
64,440.1851
65,446.969
66,453.9181
67,460.7178
68,467.6651
69,474.467
70,481.3803
71,488.1949
72,495.0996
73,501.8718
74,508.7894
75,515.5904
76,522.4609
77,529.3033
78,536.1718
79,543.0363
80,549.9286
81,556.8174
82,563.6587
83,570.5403
84,577.3527
85,584.2752
86,591.069
87,598.0187
88,604.8013
89,611.7562
90,618.5447
91,625.4757
92,632.2588
93,639.2194
94,645.9871
95,652.9197
96,659.7598
97,666.6605
98,673.5293
99,680.4129
100,687.2612
