step,s_loss,c_loss
1,191908900000.0,0.0
2,169548900000.0,1486.8318
3,141195790000.0,3480.1226
4,119868540000.0,4924.5874
5,101415720000.0,6431.886
6,86597920000.0,7950.712
7,74928325000.0,9425.055
8,66051200000.0,10781.504
9,59107934000.0,11940.498
10,53318550000.0,12856.6455
11,48262537000.0,13513.998
12,43882140000.0,13960.03
13,40124056000.0,14247.597
14,36951028000.0,14453.992
15,34329647000.0,14637.117
16,32141128000.0,14824.802
17,30312008000.0,15006.293
18,28768800000.0,15171.434
19,27448144000.0,15315.246
20,26314183000.0,15429.381
21,25338317000.0,15517.088
22,24492860000.0,15582.242
23,23758879000.0,15636.656
24,23121125000.0,15688.623
25,22561513000.0,15747.346
26,22056655000.0,15822.128
27,21592027000.0,15903.875
28,21173475000.0,15985.605
29,20789710000.0,16065.167
30,20424036000.0,16131.116
31,20079145000.0,16183.697
32,19757940000.0,16225.48
33,19452820000.0,16256.99
34,19164172000.0,16287.132
35,18884637000.0,16326.451
36,18610414000.0,16371.375
37,18341351000.0,16420.152
38,18082075000.0,16477.066
39,17832823000.0,16534.707
40,17592562000.0,16586.188
41,17359327000.0,16635.203
42,17124543000.0,16678.139
43,16896113000.0,16716.89
44,16679615000.0,16753.428
45,16479235000.0,16788.977
46,16292454000.0,16822.043
47,16115077000.0,16855.03
48,15941247000.0,16884.922
49,15770305000.0,16914.213
50,15598664000.0,16945.541
51,15428690000.0,16979.137
52,15254678000.0,17007.871
53,15078616000.0,17035.596
54,14903423000.0,17060.668
55,14727924000.0,17081.18
56,14554748000.0,17097.225
57,14383628000.0,17109.145
58,14214180000.0,17119.83
59,14046134000.0,17128.805
60,13880422000.0,17139.686
61,13717733000.0,17149.977
62,13554196000.0,17158.736
63,13390816000.0,17167.357
64,13231877000.0,17179.455
65,13074650000.0,17190.63
66,12917123000.0,17205.232
67,12755978000.0,17222.875
68,12592770000.0,17243.434
69,12428538000.0,17269.549
70,12263279000.0,17298.98
71,12097772000.0,17328.713
72,11933334000.0,17359.318
73,11772551000.0,17391.758
74,11614570000.0,17424.041
75,11459525000.0,17456.57
76,11309918000.0,17491.598
77,11164697000.0,17529.695
78,11021765000.0,17567.656
79,10879503000.0,17605.541
80,10738991000.0,17644.602
81,10599961000.0,17684.01
82,10462841000.0,17721.98
83,10328447000.0,17756.312
84,10196583000.0,17789.512
85,10066682000.0,17823.5
86,9938729000.0,17858.531
87,9811564000.0,17893.521
88,9685163000.0,17929.166
89,9562332000.0,17962.953
90,9445048000.0,17995.256
91,9330373000.0,18025.979
92,9218730000.0,18055.545
93,9110307000.0,18084.414
94,9003155000.0,18113.27
95,8897874000.0,18143.166
96,8794009000.0,18172.287
97,8690009000.0,18201.203
98,8587444700.0,18232.3
99,8486650400.0,18265.326
100,8386922500.0,18297.012
101,8286475300.0,18328.635
102,8186122000.0,18359.375
103,8085557000.0,18390.41
104,7986924000.0,18421.992
105,7890427000.0,18454.541
106,7795923000.0,18487.104
107,7703974000.0,18519.615
108,7613783000.0,18551.654
109,7524491300.0,18581.885
110,7436749300.0,18609.533
111,7351340000.0,18635.621
112,7267299300.0,18660.445
113,7184859000.0,18684.312
114,7103559000.0,18709.262
115,7023641600.0,18735.717
116,6945063000.0,18762.785
117,6867665000.0,18790.256
118,6791346700.0,18816.3
119,6715125000.0,18841.68
120,6638291500.0,18869.227
121,6562490400.0,18896.174
122,6486541300.0,18923.643
123,6411228000.0,18950.2
124,6336679000.0,18977.773
125,6262872000.0,19007.484
126,6189501400.0,19038.418
127,6115932700.0,19070.297
128,6043066400.0,19104.578
129,5971267600.0,19139.17
130,5900637000.0,19173.05
131,5830418000.0,19206.535
132,5760877600.0,19238.85
133,5692054500.0,19268.152
134,5624746500.0,19296.113
135,5558589400.0,19324.299
136,5493329000.0,19353.174
137,5429027000.0,19383.219
138,5365181000.0,19414.316
139,5302406700.0,19444.955
140,5240282000.0,19474.816
141,5179265000.0,19504.479
142,5119340500.0,19533.352
143,5060648000.0,19561.734
144,5002839000.0,19587.86
145,4946115600.0,19610.557
146,4890204000.0,19631.082
147,4834911700.0,19652.506
148,4779975700.0,19675.398
149,4725471000.0,19699.125
150,4671223000.0,19724.191
151,4617225000.0,19750.29
152,4564360700.0,19778.281
153,4512500700.0,19806.572
154,4461969400.0,19834.254
155,4412621000.0,19860.92
156,4364481000.0,19885.398
157,4316882400.0,19908.63
158,4269579300.0,19929.9
159,4223081500.0,19948.688
160,4176791000.0,19966.66
161,4130879500.0,19984.623
162,4085790700.0,20003.254
