epoch,time
1,6.6147
2,13.155
3,19.8647
4,26.4124
5,33.1136
6,39.6562
7,46.3675
8,52.9193
9,59.607
10,66.1791
11,72.8216
12,79.4204
13,86.0108
14,92.6608
15,99.2283
16,105.9253
17,112.4739
18,119.169
19,125.6902
20,132.398
21,139.0295
22,145.8314
23,152.4201
24,159.0578
25,165.6753
26,172.2724
27,178.9247
28,185.4856
29,192.2027
30,198.7449
31,205.4873
32,212.0637
33,218.794
34,225.34
35,232.0196
36,238.609
37,245.233
38,251.8696
39,258.4836
40,265.1487
41,271.6719
42,278.4113
43,284.9641
44,291.6698
45,298.2142
46,304.9849
47,311.5349
48,318.2297
49,324.8518
50,331.4996
51,338.1358
52,344.7306
53,351.4402
54,358.0057
55,364.7135
56,371.2392
57,377.9396
58,384.4802
59,391.1955
60,397.7353
61,404.4259
62,411.0352
63,417.6308
64,424.2677
65,430.8549
66,437.5129
67,444.0585
68,450.7556
69,457.295
70,464.0051
71,470.5335
72,477.2268
73,483.7996
74,490.4447
75,497.0462
76,503.6445
77,510.2864
78,516.8707
79,523.5889
80,530.1071
81,536.7968
82,543.3148
83,550.0219
84,556.5627
85,563.2271
86,569.8073
87,576.4128
88,583.0292
89,589.6053
90,596.3312
91,602.8533
92,609.5536
93,616.0983
94,622.7912
95,629.3208
96,636.0483
97,642.5762
98,649.2152
99,655.7998
100,662.6323
