epoch,time
1,6.4939
2,13.2192
3,19.754
4,26.4173
5,32.9904
6,39.6272
7,46.2529
8,52.8373
9,59.4889
10,66.1382
11,73.2464
12,79.7865
13,86.4577
14,93.0353
15,99.663
16,106.2867
17,112.872
18,119.5092
19,126.0652
20,132.8058
21,139.3293
22,146.0252
23,152.5633
24,159.2439
25,165.8283
26,172.4638
27,179.0523
28,185.6692
29,192.3068
30,198.9104
31,205.5587
32,212.1101
33,218.7801
34,225.2939
35,231.9409
36,238.4624
37,245.147
38,251.6566
39,258.2869
40,264.8765
41,271.4594
42,278.0635
43,284.6138
44,291.2661
45,297.7493
46,304.3957
47,310.9004
48,317.5735
49,324.0713
50,330.7194
51,337.2565
52,343.8596
53,350.4374
54,357.0626
55,363.6897
56,370.2176
57,376.919
58,383.4137
59,390.0797
60,396.5763
61,403.2532
62,409.7418
63,416.3695
64,422.9297
65,429.4987
66,436.0956
67,442.6434
68,449.2952
69,455.7947
70,462.4339
71,468.9527
72,475.6266
73,482.1167
74,488.7868
75,495.326
76,501.9299
77,508.5136
78,515.0741
79,521.7011
80,528.2117
81,534.8745
82,541.3696
83,548.0251
84,554.5901
85,561.2466
86,567.7354
87,574.3578
88,580.9203
89,587.5029
90,594.0925
91,600.6382
92,607.5969
93,614.2174
94,620.8951
95,627.3774
96,634.0092
97,640.5499
98,647.11
99,653.7109
100,660.2298
