step,s_loss,c_loss
1,698704.94,0.0
2,646922.3,227.73601
3,601357.56,2034.604
4,561426.5,1573.2717
5,521319.88,1429.6743
6,482469.62,1495.0972
7,446665.8,1341.8237
8,415408.53,1313.9602
9,389311.25,1261.0774
10,367914.88,1227.6692
11,349958.28,1210.8824
12,333675.38,1194.323
13,317305.78,1186.8479
14,299477.34,1176.1947
15,279269.0,1172.2109
16,256435.9,1170.4795
17,231721.44,1163.8295
18,206644.16,1157.8639
19,183076.53,1156.3864
20,162637.64,1155.2135
21,146316.28,1155.6768
22,134684.84,1158.8197
23,127737.14,1163.6655
24,124839.195,1165.1467
25,124896.414,1163.9553
26,126588.97,1161.5802
27,128621.95,1158.3588
28,129895.55,1155.4652
29,129625.18,1151.5715
30,127351.055,1148.0752
31,122934.97,1143.3889
32,116511.95,1138.0979
33,108432.06,1133.7108
34,99211.53,1128.8438
35,89450.99,1122.9888
36,79777.14,1117.6177
37,70783.08,1112.8181
38,62962.594,1108.2744
39,56684.016,1103.3462
40,52130.12,1098.1202
41,49301.85,1093.3215
42,48030.926,1088.7783
43,48002.055,1084.158
44,48807.14,1079.8918
45,50013.4,1076.084
46,51220.367,1072.3894
47,52106.9,1069.1338
48,52468.293,1066.6064
49,52229.266,1064.1884
50,51447.254,1061.8768
51,50265.48,1061.0162
52,48890.816,1061.0978
53,47540.3,1060.3438
54,46407.34,1058.7104
55,45630.465,1057.9797
56,45283.492,1056.9886
57,45367.234,1055.5267
58,45826.473,1053.688
59,46558.164,1050.4186
60,47431.05,1046.2418
61,48303.953,1041.4558
62,49045.04,1036.6145
63,49550.363,1032.0132
64,49757.25,1026.6465
65,49645.67,1020.6293
66,49230.695,1014.6847
67,48567.617,1009.1323
68,47745.27,1003.3619
69,46871.184,997.1238
70,46062.24,991.05554
71,45437.668,984.9674
72,45103.77,978.05884
73,45143.645,971.13745
74,45610.57,964.05615
75,46524.016,956.8386
76,47863.42,948.9414
77,49572.207,941.1732
78,51559.19,933.35345
79,53712.61,926.2251
80,55912.555,919.35095
81,58034.43,912.2394
82,59961.3,905.2689
83,61594.617,898.57697
84,62866.305,892.6561
85,63736.32,887.79443
86,64196.234,883.4331
87,64265.805,878.42426
88,63990.332,873.7943
89,63432.93,869.60266
90,62665.234,865.4552
91,61754.75,861.95325
92,60766.54,858.1597
93,59751.84,853.39307
94,58749.62,848.87634
95,57782.51,844.9871
96,56862.445,840.8667
97,55987.625,836.5907
98,55147.605,832.141
99,54329.83,827.20764
100,53523.586,822.49585
101,52721.465,818.31824
102,51920.773,813.77026
103,51125.562,808.796
104,50348.273,803.9235
105,49606.98,798.73517
106,48923.168,793.492
107,48321.066,788.23865
108,47823.945,783.00305
109,47451.723,777.44775
110,47216.332,771.3869
111,47120.59,765.05347
112,47157.1,759.23376
113,47307.125,754.10516
114,47541.227,748.8598
115,47821.79,743.3384
116,48107.105,738.23724
117,48353.164,733.811
118,48515.312,729.6852
119,48555.96,725.03284
120,48445.82,720.64514
121,48165.016,716.76013
122,47705.965,712.67224
123,47072.457,708.2855
124,46276.56,703.74243
125,45340.605,699.4991
126,44291.64,695.62854
127,43162.055,692.1358
128,41984.62,688.60205
129,40788.69,684.9134
130,39601.426,681.85693
131,38444.477,678.791
132,37332.414,675.22754
133,36274.22,671.5946
134,35273.21,668.0916
135,34327.38,664.89526
136,33431.316,661.6786
137,32577.492,658.3467
138,31759.488,654.7287
139,30972.3,651.0858
140,30210.797,647.55554
141,29473.197,644.1528
142,28761.197,640.6241
143,28077.86,636.7856
144,27427.36,632.7166
145,26815.623,628.9071
146,26248.373,625.10864
147,25730.943,621.34607
148,25266.004,617.7378
149,24854.219,614.18475
150,24492.715,610.63684
151,24174.68,607.19446
152,23891.406,603.72626
153,23631.809,600.4031
154,23383.59,597.12537
155,23133.645,593.84827
156,22868.484,590.34753
157,22576.0,586.7341
158,22246.555,583.195
159,21872.854,579.7777
160,21450.365,576.9021
161,20977.686,574.28656
162,20458.373,571.37494
163,19899.082,568.3611
164,19308.555,565.3796
165,18697.277,562.4998
166,18077.46,559.76807
167,17461.307,556.961
168,16860.117,554.06067
169,16283.776,550.748
170,15739.967,547.74335
171,15233.951,544.75354
172,14768.828,541.67303
173,14345.34,538.57916
174,13962.367,535.4431
175,13617.541,532.254
176,13307.1045,528.98315
177,13027.573,525.6427
178,12775.605,522.2959
179,12548.193,518.996
180,12342.855,515.9175
181,12158.014,512.94354
182,11992.754,509.7708
183,11846.402,506.58936
184,11718.488,503.76733
185,11608.669,500.8413
186,11516.306,497.85785
187,11440.594,495.11807
188,11379.835,492.40955
189,11331.771,489.5902
190,11293.025,486.79968
191,11260.366,484.0172
192,11229.343,481.12814
193,11195.742,478.3352
194,11154.987,475.5844
195,11103.025,472.79764
196,11036.177,469.982
197,10952.023,467.1004
198,10849.095,464.3393
199,10727.157,461.5763
200,10587.744,458.99454
201,10433.009,456.34155
202,10266.413,453.65295
203,10091.494,451.11356
204,9912.746,448.71024
205,9734.699,446.22815
206,9561.558,443.60904
207,9396.977,441.07404
208,9244.225,438.6453
209,9105.412,436.2574
210,8981.656,433.7143
211,8873.378,431.20276
212,8779.956,428.87622
213,8700.168,426.57233
214,8632.08,424.23053
215,8573.558,421.8605
216,8522.466,419.52518
217,8476.852,417.2884
218,8434.891,414.9912
219,8395.311,412.64935
220,8357.238,410.26428
221,8319.802,407.86786
222,8282.642,405.50116
223,8245.309,403.15036
224,8207.703,400.77917
225,8169.769,398.35052
226,8131.1777,396.0663
227,8091.6523,393.98245
228,8050.5938,392.01782
229,8007.13,390.07162
230,7960.083,388.08783
231,7908.2256,385.9874
232,7850.749,383.7806
233,7786.9194,381.684
234,7716.047,379.7237
235,7637.6045,377.8043
236,7551.6733,375.83008
237,7458.772,373.808
238,7359.6826,371.84253
239,7255.6426,369.9546
240,7148.0596,368.0585
241,7038.528,366.12308
242,6929.0884,364.18616
243,6821.764,362.3543
244,6718.181,360.5887
245,6619.763,358.80194
246,6527.545,356.93872
247,6442.149,355.0044
248,6363.982,353.10345
249,6293.0205,351.3236
250,6228.6934,349.64044
251,6170.1904,347.91693
252,6116.43,346.09332
253,6066.4004,344.2065
254,6019.088,342.42255
255,5973.512,340.65982
256,5928.907,338.9794
257,5884.836,337.32767
258,5840.9766,335.5778
259,5797.2344,333.84958
260,5753.573,332.23465
261,5709.8623,330.60385
262,5666.179,328.8594
263,5622.5977,327.103
264,5578.932,325.47864
265,5535.087,323.89685
266,5490.7324,322.36514
267,5445.537,320.81403
268,5399.117,319.23
269,5351.1465,317.74478
270,5301.485,316.35867
271,5249.95,314.91006
272,5196.488,313.40607
273,5141.2773,311.93854
274,5084.698,310.51566
275,5027.3174,309.052
276,4969.806,307.5866
277,4912.9214,306.13605
278,4857.425,304.70242
279,4803.9985,303.3042
280,4753.1177,302.015
281,4705.184,300.75616
282,4660.5386,299.45987
283,4619.371,298.1161
284,4581.666,296.75702
285,4547.384,295.42807
286,4516.2407,294.05948
287,4487.7627,292.6744
288,4461.406,291.3178
289,4436.5483,290.03857
290,4412.5786,288.78253
291,4388.94,287.4994
292,4365.324,286.2724
293,4341.4106,285.05768
294,4316.932,283.80206
295,4291.7686,282.52838
296,4265.823,281.29938
297,4239.15,280.10907
298,4211.775,278.89502
299,4183.7783,277.7119
300,4155.1675,276.50934
301,4125.966,275.32745
302,4096.17,274.24512
303,4065.8013,273.11288
304,4034.8367,271.91418
305,4003.3882,270.79367
306,3971.4927,269.73495
307,3939.254,268.6517
308,3906.687,267.51584
309,3873.8232,266.42334
310,3840.6821,265.37494
311,3807.4355,264.30545
312,3774.303,263.2128
313,3741.589,262.08344
314,3709.5847,260.99872
315,3678.5186,259.93167
