step,s_loss,c_loss
1,3071188000.0,0.0
2,2991675000.0,400.4052
3,2880102400.0,1046.3854
4,2745924900.0,1848.2571
5,2593207300.0,2745.795
6,2423649300.0,3674.8584
7,2240064500.0,4577.5894
8,2045935600.0,5420.79
9,1847003500.0,6197.014
10,1650693400.0,6928.4355
11,1465942000.0,7606.547
12,1302772000.0,8236.558
13,1169883100.0,8823.825
14,1071791200.0,9362.277
15,1005869440.0,9827.766
16,963134850.0,10220.736
17,930712800.0,10550.412
18,896710500.0,10829.121
19,853942500.0,11065.106
20,799157100.0,11266.309
21,733921900.0,11438.211
22,663707260.0,11591.558
23,594487300.0,11738.309
24,530964380.0,11880.919
25,476288060.0,12020.387
26,432095870.0,12154.1455
27,398785100.0,12278.836
28,375655650.0,12406.432
29,361291500.0,12528.97
30,354044400.0,12649.289
31,352314940.0,12765.024
32,354634180.0,12875.367
33,359651970.0,12969.829
34,366182340.0,13047.646
35,373109200.0,13106.309
36,379673730.0,13150.604
37,385475700.0,13175.092
38,390361900.0,13183.984
39,394322880.0,13173.725
40,397380480.0,13157.559
41,399444160.0,13129.051
42,400642530.0,13091.494
43,400868960.0,13058.243
44,400095870.0,13027.92
45,398191600.0,12998.789
46,395027740.0,12976.771
47,390589220.0,12959.844
48,384833540.0,12950.456
49,377812900.0,12941.891
50,369716350.0,12935.543
51,360839040.0,12932.766
52,351420380.0,12933.301
53,341710530.0,12932.222
54,331912960.0,12929.955
55,322244200.0,12933.627
56,312836400.0,12943.463
57,303792580.0,12957.792
58,295195140.0,12974.905
59,287084860.0,12993.575
60,279537470.0,13009.373
61,272558940.0,13024.701
62,266082420.0,13044.037
63,260078370.0,13064.287
64,254511630.0,13083.051
65,249340830.0,13095.686
66,244493040.0,13102.705
67,239907780.0,13105.395
68,235508220.0,13101.648
69,231244700.0,13096.13
70,227036220.0,13088.695
71,222863330.0,13075.506
72,218691680.0,13059.484
73,214502910.0,13045.936
74,210265500.0,13034.926
75,205966160.0,13029.324
76,201639520.0,13025.435
77,197292640.0,13026.1045
78,192924350.0,13031.771
79,188579540.0,13044.295
80,184283700.0,13062.5625
81,180061420.0,13081.194
82,175936700.0,13102.913
83,171915000.0,13128.237
84,168043790.0,13158.433
85,164325440.0,13192.218
86,160767780.0,13223.238
87,157341440.0,13252.615
88,154077300.0,13283.883
89,150988720.0,13316.259
90,148073400.0,13348.742
91,145336770.0,13385.449
92,142753150.0,13429.454
93,140303870.0,13477.152
94,137984600.0,13528.334
95,135786110.0,13581.867
96,133679340.0,13639.905
97,131663490.0,13703.324
98,129706696.0,13771.811
99,127784740.0,13842.781
100,125887630.0,13912.021
101,124021790.0,13983.509
102,122181440.0,14057.659
103,120368720.0,14131.788
104,118571600.0,14204.188
105,116792990.0,14271.507
106,115020720.0,14336.278
107,113262310.0,14396.815
108,111522540.0,14453.777
109,109794270.0,14509.71
110,108092630.0,14563.586
111,106419200.0,14616.87
112,104793700.0,14667.736
113,103210900.0,14716.707
114,101663140.0,14762.689
115,100156660.0,14804.52
116,98684030.0,14844.509
117,97250460.0,14883.491
118,95868230.0,14921.2
119,94527070.0,14956.126
120,93236540.0,14988.434
121,91978170.0,15017.594
122,90734400.0,15043.916
123,89504560.0,15066.604
124,88296590.0,15086.368
125,87094616.0,15103.794
126,85906800.0,15119.186
127,84737400.0,15134.568
128,83577970.0,15150.43
129,82434100.0,15164.275
130,81300500.0,15176.015
131,80180110.0,15188.344
132,79078310.0,15201.457
133,77988000.0,15214.68
134,76913050.0,15227.06
135,75848420.0,15239.794
136,74789800.0,15253.152
137,73735540.0,15267.1045
138,72686500.0,15281.502
139,71648440.0,15295.491
140,70617950.0,15309.678
141,69601790.0,15324.097
142,68597020.0,15338.637
143,67595630.0,15353.783
144,66597440.0,15368.463
145,65603976.0,15381.119
146,64614080.0,15394.197
147,63627292.0,15406.979
148,62647748.0,15418.682
149,61676050.0,15428.24
150,60714210.0,15437.066
151,59765730.0,15446.533
152,58827610.0,15457.298
153,57903960.0,15469.251
154,56992476.0,15480.121
155,56095220.0,15490.178
156,55213136.0,15498.703
157,54348096.0,15507.953
158,53495628.0,15518.679
159,52660468.0,15528.688
160,51839612.0,15538.227
161,51031410.0,15548.039
162,50235160.0,15558.563
163,49445896.0,15569.997
164,48668480.0,15581.174
165,47899310.0,15592.609
166,47139230.0,15602.866
167,46388410.0,15612.678
168,45649732.0,15622.445
169,44923504.0,15633.768
170,44212880.0,15644.833
171,43519376.0,15656.67
172,42839268.0,15668.798
173,42174868.0,15681.026
174,41528700.0,15692.943
175,40899668.0,15704.399
176,40285696.0,15716.6045
177,39689260.0,15728.744
178,39111280.0,15740.93
179,38552920.0,15753.177
180,38017616.0,15764.727
181,37498660.0,15775.166
182,36996492.0,15785.356
183,36508200.0,15794.264
184,36036936.0,15802.057
185,35583370.0,15808.438
186,35144224.0,15813.482
187,34716348.0,15818.134
188,34300224.0,15822.071
189,33897628.0,15826.094
190,33506342.0,15829.991
191,33127230.0,15833.461
192,32758814.0,15837.321
193,32396066.0,15841.129
194,32038622.0,15844.549
195,31686098.0,15847.693
196,31334200.0,15851.172
197,30983252.0,15855.125
198,30632646.0,15859.014
199,30283662.0,15863.151
200,29934912.0,15867.294
201,29589384.0,15871.781
202,29243768.0,15876.847
203,28900260.0,15882.509
204,28560052.0,15887.554
205,28222400.0,15891.703
206,27888744.0,15895.453
207,27557892.0,15898.553
208,27229542.0,15902.187
209,26903148.0,15905.13
210,26580458.0,15907.938
211,26262814.0,15910.336
212,25949896.0,15912.816
213,25639064.0,15914.85
214,25330774.0,15916.872
215,25025452.0,15918.588
216,24721400.0,15919.706
217,24419380.0,15920.341
218,24119860.0,15921.038
219,23824136.0,15921.734
220,23530840.0,15923.002
221,23239032.0,15924.369
222,22951464.0,15924.591
223,22667372.0,15924.219
224,22386668.0,15924.443
225,22108322.0,15924.723
226,21834324.0,15925.671
227,21562040.0,15926.314
228,21292464.0,15926.931
229,21026864.0,15928.162
230,20765664.0,15929.739
231,20508496.0,15931.109
232,20256348.0,15932.149
233,20009718.0,15933.017
234,19767504.0,15933.574
235,19528440.0,15934.284
236,19293132.0,15934.6
237,19062690.0,15934.573
238,18838686.0,15934.654
239,18620820.0,15934.79
240,18408828.0,15935.827
241,18202784.0,15937.21
242,18001024.0,15938.476
243,17802340.0,15940.045
244,17608462.0,15942.162
245,17418560.0,15944.699
246,17233296.0,15947.196
247,17052640.0,15949.816
248,16873976.0,15952.525
249,16697891.0,15955.031
250,16523276.0,15958.288
251,16350236.0,15961.586
252,16179475.0,15964.892
253,16011808.0,15967.796
254,15846182.0,15970.489
255,15682149.0,15972.441
256,15520058.0,15973.945
257,15359179.0,15975.525
258,15198324.0,15976.776
259,15038206.0,15977.547
260,14879272.0,15977.975
261,14722022.0,15978.721
262,14565528.0,15979.316
263,14409418.0,15979.57
264,14253724.0,15979.155
265,14098564.0,15978.331
266,13944246.0,15977.488
267,13791274.0,15976.536
268,13639752.0,15975.658
269,13489277.0,15974.77
270,13339885.0,15973.856
271,13192186.0,15971.99
272,13046226.0,15970.074
273,12901851.0,15967.872
274,12759418.0,15965.697
275,12617994.0,15963.433
276,12478264.0,15961.153
277,12339011.0,15958.95
278,12201412.0,15956.573
279,12065128.0,15953.914
280,11929901.0,15951.168
281,11794972.0,15948.008
282,11660464.0,15944.596
283,11527078.0,15941.109
284,11394839.0,15937.064
285,11263530.0,15932.646
286,11133964.0,15928.158
287,11006756.0,15923.544
288,10881290.0,15918.788
289,10758040.0,15914.208
290,10636494.0,15909.342
291,10516550.0,15904.276
292,10399078.0,15899.306
293,10284208.0,15894.252
294,10170940.0,15889.29
295,10059306.0,15883.781
296,9949524.0,15878.012
297,9841416.0,15872.415
298,9734502.0,15866.8
299,9628599.0,15861.201
300,9523523.0,15855.687
301,9419209.0,15850.02
302,9315685.0,15844.302
303,9213251.0,15838.406
304,9112994.0,15832.603
305,9014459.0,15826.683
306,8917360.0,15820.774
307,8821471.0,15814.908
308,8727062.0,15809.084
309,8634274.0,15803.488
310,8542852.0,15798.252
311,8452865.0,15793.19
312,8363879.5,15788.305
313,8276209.5,15783.167
314,8189909.5,15778.342
315,8105272.0,15774.07
316,8022490.5,15769.973
317,7941428.0,15765.854
318,7861623.0,15762.089
319,7782970.0,15758.628
320,7705304.5,15755.285
321,7628822.0,15752.273
322,7553153.5,15749.557
323,7478818.5,15747.236
324,7404665.0,15745.145
325,7330762.0,15743.334
326,7257424.5,15741.702
327,7184592.5,15740.23
328,7112382.0,15738.717
329,7041158.5,15737.035
330,6971070.5,15735.396
331,6901788.0,15734.061
332,6833423.5,15732.772
333,6765894.0,15731.486
334,6698921.0,15730.324
335,6632578.0,15729.167
336,6566796.0,15727.872
337,6501161.0,15726.573
338,6435952.0,15724.973
339,6371220.5,15723.33
340,6307127.0,15721.68
341,6243977.0,15720.131
342,6181483.5,15718.443
343,6119924.5,15716.769
344,6059216.5,15715.071
345,5999507.0,15713.361
346,5940598.5,15711.633
347,5882588.0,15709.84
348,5825097.0,15707.88
349,5768302.5,15705.8
350,5712063.5,15703.669
351,5656490.5,15701.436
352,5601672.0,15699.172
353,5547469.0,15696.893
354,5493940.0,15694.695
355,5441111.0,15692.615
356,5389154.5,15690.631
357,5337912.0,15688.52
358,5287118.0,15686.401
359,5236839.5,15684.162
360,5187155.0,15681.725
361,5137943.5,15679.348
362,5089278.0,15676.911
363,5041480.0,15674.43
364,4994484.5,15671.896
365,4948328.5,15669.306
366,4902812.0,15666.604
367,4857979.5,15663.785
368,4813853.0,15660.869
369,4770464.0,15657.9795
370,4727562.0,15655.092
371,4685140.0,15652.11
372,4643298.0,15649.053
373,4602038.5,15645.919
374,4561261.0,15642.958
375,4521023.0,15640.146
376,4481339.0,15637.382
377,4442123.0,15634.642
378,4403247.0,15631.855
379,4364544.0,15629.057
380,4326107.5,15626.211
381,4287846.0,15623.432
382,4249903.5,15620.791
383,4212263.0,15618.021
384,4175129.0,15615.092
385,4138170.8,15612.084
386,4101465.0,15609.106
387,4064992.2,15606.078
388,4028832.5,15603.016
389,3993099.2,15599.867
390,3957664.8,15596.525
391,3922475.5,15593.078
392,3887572.8,15589.385
393,3852978.5,15585.662
394,3818770.2,15581.924
395,3784988.5,15578.119
396,3751474.2,15574.318
397,3718292.5,15570.597
398,3685429.0,15566.957
399,3652951.0,15563.24
400,3620903.0,15559.446
401,3589349.8,15555.568
402,3558237.2,15551.6455
403,3527696.5,15547.709
404,3497567.5,15543.728
405,3467874.5,15539.764
406,3438633.8,15535.711
407,3409900.5,15531.594
408,3381684.5,15527.457
409,3353903.2,15523.288
410,3326531.5,15519.172
411,3299461.2,15514.923
412,3272758.8,15510.587
413,3246408.0,15506.197
414,3220389.5,15501.733
415,3194651.8,15497.197
416,3169160.5,15492.593
417,3143955.5,15487.913
418,3118957.5,15483.216
419,3094100.0,15478.57
420,3069431.0,15473.896
421,3045028.5,15469.245
422,3020950.0,15464.478
423,2997060.0,15459.652
424,2973451.5,15454.82
425,2950053.0,15449.953
426,2926913.2,15445.012
427,2904107.0,15440.074
428,2881651.5,15435.033
429,2859564.0,15429.857
430,2837788.0,15424.664
431,2816260.5,15419.388
432,2795060.5,15414.094
433,2774126.8,15408.773
434,2753461.5,15403.414
435,2733055.8,15398.096
436,2712901.2,15392.79
437,2693016.5,15387.413
438,2673363.5,15381.957
439,2653925.0,15376.43
440,2634705.5,15370.818
441,2615744.8,15365.073
442,2596998.2,15359.219
443,2578428.8,15353.322
444,2560068.0,15347.371
445,2541899.0,15341.307
446,2523942.2,15335.242
447,2506173.5,15329.135
448,2488575.0,15323.031
449,2471132.0,15316.831
450,2453896.5,15310.553
451,2436872.0,15304.213
452,2420024.2,15297.785
453,2403332.2,15291.19
454,2386813.5,15284.473
455,2370430.0,15277.701
456,2354206.5,15270.887
457,2338134.5,15263.973
458,2322291.5,15257.071
459,2306663.0,15250.16
460,2291241.0,15243.211
461,2275986.0,15236.236
462,2260922.5,15229.22
463,2245955.5,15222.129
464,2231154.2,15215.024
465,2216491.0,15207.834
466,2201881.0,15200.605
467,2187358.8,15193.314
468,2172921.2,15185.98
469,2158602.8,15178.628
470,2144420.5,15171.195
471,2130346.5,15163.793
472,2116388.0,15156.477
473,2102551.5,15149.241
474,2088852.0,15142.049
475,2075301.9,15134.984
476,2061912.0,15127.981
477,2048653.1,15121.001
478,2035572.9,15114.111
479,2022640.8,15107.276
480,2009868.0,15100.446
481,1997230.8,15093.66
482,1984731.0,15086.967
483,1972384.6,15080.316
484,1960185.8,15073.697
485,1948088.2,15067.09
486,1936124.0,15060.459
487,1924275.1,15053.815
488,1912525.9,15047.172
489,1900863.8,15040.508
490,1889283.1,15033.775
491,1877799.2,15026.99
492,1866411.5,15020.179
493,1855121.8,15013.3125
494,1843915.5,15006.355
495,1832827.0,14999.334
496,1821850.2,14992.342
497,1810969.2,14985.354
498,1800177.9,14978.318
499,1789485.6,14971.299
500,1778890.0,14964.195
501,1768401.5,14957.055
502,1757995.5,14949.877
503,1747710.0,14942.692
504,1737540.0,14935.503
505,1727490.0,14928.301
506,1717531.8,14921.043
507,1707676.6,14913.779
508,1697921.8,14906.438
509,1688256.8,14899.052
510,1678678.6,14891.626
511,1669203.9,14884.124
512,1659843.0,14876.566
513,1650600.2,14869.0
514,1641476.2,14861.379
515,1632446.0,14853.67
516,1623524.4,14845.906
517,1614718.5,14838.089
518,1606011.0,14830.235
519,1597406.6,14822.373
520,1588890.8,14814.507
521,1580450.5,14806.62
522,1572097.8,14798.71
523,1563835.5,14790.789
524,1555637.0,14782.827
525,1547499.2,14774.854
526,1539431.8,14766.908
527,1531442.0,14758.932
528,1523510.6,14750.93
529,1515638.5,14742.914
530,1507819.8,14734.88
531,1500069.8,14726.838
532,1492384.5,14718.83
533,1484779.8,14710.863
534,1477244.0,14702.9
535,1469755.1,14694.977
536,1462324.2,14687.082
537,1454977.0,14679.175
538,1447702.0,14671.262
539,1440500.0,14663.352
540,1433368.4,14655.455
541,1426313.2,14647.572
542,1419330.2,14639.716
543,1412405.8,14631.834
544,1405554.5,14623.956
545,1398759.5,14616.092
546,1392023.0,14608.215
547,1385338.5,14600.305
548,1378718.5,14592.396
549,1372177.0,14584.446
550,1365702.8,14576.46
551,1359284.8,14568.48
552,1352916.5,14560.488
553,1346605.6,14552.472
554,1340352.8,14544.466
555,1334163.0,14536.473
556,1328036.5,14528.472
557,1321966.5,14520.453
558,1315951.0,14512.455
559,1309992.6,14504.477
560,1304076.2,14496.51
561,1298211.0,14488.563
562,1292389.4,14480.617
563,1286623.2,14472.661
564,1280909.9,14464.717
565,1275244.1,14456.781
566,1269624.0,14448.855
567,1264048.8,14440.936
568,1258517.2,14433.0
569,1253029.8,14425.055
570,1247578.8,14417.117
571,1242169.8,14409.214
572,1236803.0,14401.33
573,1231482.2,14393.472
574,1226208.2,14385.617
575,1220976.2,14377.789
576,1215786.2,14369.999
577,1210644.2,14362.23
578,1205551.0,14354.475
579,1200496.0,14346.74
580,1195494.2,14339.004
581,1190548.9,14331.291
582,1185650.2,14323.598
583,1180803.2,14315.915
584,1176009.8,14308.266
585,1171263.2,14300.654
586,1166563.5,14293.074
587,1161901.2,14285.531
588,1157278.0,14278.021
589,1152693.0,14270.535
590,1148141.4,14263.082
591,1143616.2,14255.656
592,1139127.5,14248.283
593,1134676.8,14240.932
594,1130263.0,14233.605
595,1125878.1,14226.305
596,1121522.8,14219.008
597,1117196.2,14211.715
598,1112904.2,14204.428
599,1108645.2,14197.1875
