epoch,time
1,6.5462
2,12.9328
3,19.5068
4,25.9008
5,32.4449
6,38.8158
7,45.3267
8,51.7436
9,58.1949
10,64.6413
11,71.0353
12,77.5513
13,83.9269
14,90.4506
15,96.7971
16,103.3131
17,109.6718
18,116.1289
19,122.573
20,128.965
21,135.4703
22,141.8304
23,148.3533
24,154.6899
25,161.1998
26,167.5616
27,174.0357
28,180.4878
29,186.9519
30,193.4002
31,199.8107
32,206.3368
33,212.705
34,219.241
35,225.6107
36,232.1755
37,238.5048
38,244.9523
39,251.3323
40,257.7716
41,264.257
42,270.7815
43,277.3715
44,283.7884
45,290.3368
46,296.7613
47,303.3412
48,309.7794
49,316.2446
50,322.7048
51,329.1115
52,335.6014
53,341.9675
54,348.5102
55,354.8778
56,361.4624
57,367.8064
58,374.2581
59,380.7087
60,387.1382
61,393.6323
62,399.9732
63,406.5139
64,412.8473
65,419.3574
66,425.729
67,432.2409
68,438.6521
69,445.1102
70,451.5792
71,457.9835
72,464.5171
73,470.8955
74,477.4364
75,483.9879
76,490.5066
77,496.8354
78,503.3398
79,509.7507
80,516.1662
81,522.6755
82,529.0387
83,535.5909
84,541.9684
85,548.4898
86,554.83
87,561.3407
88,567.7492
89,574.1975
90,580.6436
91,587.0436
92,593.5005
93,599.8714
94,606.3947
95,612.738
96,619.2573
97,625.5953
98,632.075
99,638.4991
100,644.9472
