step,s_loss,c_loss
1,28912190000.0,0.0
2,26408590000.0,4147.888
3,23375186000.0,6040.761
4,20227914000.0,7277.348
5,17208697000.0,8270.697
6,14637339000.0,8955.907
7,12654900000.0,9430.888
8,11297873000.0,9838.742
9,10445332000.0,10186.299
10,9859860000.0,10499.362
11,9327490000.0,10784.605
12,8737893000.0,11055.779
13,8062106000.0,11358.463
14,7317550000.0,11688.637
15,6558577000.0,12030.852
16,5835724000.0,12378.773
17,5184171500.0,12736.032
18,4626378000.0,13082.119
19,4170518300.0,13394.957
20,3810336500.0,13685.91
21,3532845300.0,13937.067
22,3323904500.0,14148.852
23,3166413300.0,14355.602
24,3045398500.0,14565.465
25,2950170000.0,14777.32
26,2873600300.0,14985.061
27,2810201900.0,15180.689
28,2756744400.0,15353.611
29,2710181400.0,15496.604
30,2668334000.0,15601.615
31,2628704300.0,15677.51
32,2588605700.0,15734.925
33,2545239600.0,15772.076
34,2496616200.0,15791.182
35,2441635800.0,15797.784
36,2379679500.0,15799.958
37,2310814000.0,15800.357
38,2236121900.0,15792.259
39,2157029600.0,15779.238
40,2074785700.0,15763.869
41,1991492400.0,15753.194
42,1908204000.0,15746.547
43,1826053000.0,15741.902
44,1745984800.0,15738.733
45,1668658700.0,15737.416
46,1594512900.0,15741.493
47,1524006100.0,15749.141
48,1457030300.0,15764.778
49,1393707400.0,15781.97
50,1334144100.0,15793.43
51,1278419200.0,15794.651
52,1226663600.0,15784.504
53,1178750100.0,15768.243
54,1134533100.0,15747.484
55,1093919500.0,15719.379
56,1056589600.0,15690.633
57,1021981300.0,15663.441
58,989721400.0,15637.125
59,959405500.0,15616.387
60,930635460.0,15604.041
61,903097600.0,15598.15
62,876702340.0,15598.576
63,851269950.0,15610.879
64,826776100.0,15629.271
65,803277200.0,15654.807
66,780922500.0,15688.268
67,759762750.0,15729.02
68,739849900.0,15773.276
69,721178500.0,15820.707
70,703728600.0,15874.176
71,687442500.0,15932.421
72,672226600.0,15991.793
73,658000800.0,16049.182
74,644601150.0,16106.686
75,631949600.0,16164.633
76,619936400.0,16220.793
77,608480200.0,16277.152
78,597549060.0,16332.732
79,587073400.0,16385.057
80,577032600.0,16432.541
81,567400600.0,16475.674
82,558068860.0,16512.857
83,548948500.0,16544.473
84,539940160.0,16570.984
85,530967500.0,16594.176
86,521946700.0,16615.19
87,512803420.0,16634.242
88,503484540.0,16654.178
89,494022850.0,16673.695
90,484450100.0,16692.135
91,474808130.0,16711.176
92,465141300.0,16730.29
93,455547460.0,16751.734
94,446089000.0,16773.588
95,436772800.0,16796.455
96,427612930.0,16820.37
97,418643460.0,16846.527
98,409839360.0,16874.883
99,401174560.0,16903.824
100,392673760.0,16933.143
101,384328030.0,16963.176
102,376185950.0,16993.328
103,368229060.0,17020.217
104,360477570.0,17042.068
105,352958430.0,17060.857
106,345682720.0,17076.316
107,338670980.0,17089.887
108,331949900.0,17100.598
109,325481500.0,17108.91
110,319236860.0,17116.188
111,313188400.0,17122.395
112,307303870.0,17125.994
113,301539140.0,17128.785
114,295890340.0,17131.836
115,290334370.0,17135.232
116,284845860.0,17137.268
117,279412480.0,17138.805
118,274039070.0,17140.416
119,268756770.0,17141.441
120,263575550.0,17140.336
121,258490740.0,17137.148
122,253506910.0,17132.52
123,248649090.0,17126.523
124,243930180.0,17118.488
125,239338900.0,17109.602
126,234873710.0,17099.965
127,230518030.0,17089.629
128,226273090.0,17077.572
129,222118500.0,17065.64
130,218048690.0,17052.516
131,214052300.0,17039.463
132,210137680.0,17025.914
133,206304800.0,17012.549
134,202567070.0,16998.9
135,198919440.0,16985.326
136,195368110.0,16971.191
137,191902750.0,16957.143
138,188530380.0,16942.596
