step,s_loss,c_loss
1,107200590000.0,0.0
2,106891930000.0,1697.5343
3,104503080000.0,3715.897
4,100867860000.0,5696.8984
5,96333180000.0,7512.052
6,90934860000.0,9164.3125
7,84680950000.0,10751.666
8,77704675000.0,12352.586
9,70279380000.0,13987.742
10,62788923000.0,15640.576
11,55771150000.0,17284.867
12,49845270000.0,18897.281
13,45562010000.0,20482.266
14,43181203000.0,22041.912
15,42432790000.0,23563.125
16,42614178000.0,25048.38
17,42920570000.0,26508.873
18,42751463000.0,27939.148
19,41822147000.0,29343.658
20,40079778000.0,30631.107
21,37679608000.0,31736.559
22,34924480000.0,32673.893
23,32147382000.0,33492.54
24,29587710000.0,34178.688
25,27369398000.0,34714.855
26,25523063000.0,35084.46
27,24031160000.0,35311.344
28,22845512000.0,35422.953
29,21910810000.0,35439.094
30,21169897000.0,35385.484
31,20582003000.0,35314.055
32,20112022000.0,35222.54
33,19742920000.0,35126.75
34,19463447000.0,35048.246
35,19264029000.0,34987.67
36,19137966000.0,34954.527
37,19076383000.0,34946.96
38,19065252000.0,34967.086
39,19082205000.0,35016.06
40,19104901000.0,35099.965
41,19105632000.0,35217.9
42,19060673000.0,35363.023
43,18949913000.0,35521.65
44,18767434000.0,35696.062
45,18514858000.0,35888.965
46,18203736000.0,36086.555
47,17848723000.0,36278.688
48,17468674000.0,36442.887
49,17079083000.0,36579.582
50,16693699000.0,36686.945
51,16321577000.0,36765.22
52,15967516000.0,36804.0
53,15632733000.0,36820.164
54,15314664000.0,36812.223
55,15012188000.0,36787.63
56,14724710000.0,36749.996
57,14449670000.0,36705.977
58,14186558000.0,36660.85
59,13935058000.0,36617.992
60,13693838000.0,36584.33
61,13460972000.0,36553.6
62,13235925000.0,36530.836
63,13016226000.0,36519.254
64,12800061000.0,36516.547
65,12586405000.0,36520.742
66,12373258000.0,36531.984
67,12160022000.0,36550.16
68,11946894000.0,36575.086
69,11733412000.0,36602.105
70,11520133000.0,36629.2
71,11308047000.0,36653.625
72,11097010000.0,36680.34
73,10887410000.0,36703.496
74,10680188000.0,36718.062
75,10476318000.0,36726.547
76,10276790000.0,36727.637
77,10082344000.0,36722.09
78,9891864000.0,36711.137
79,9706214000.0,36689.145
80,9525852000.0,36657.086
81,9349493000.0,36625.637
82,9176628000.0,36597.37
83,9006924000.0,36570.0
84,8841366000.0,36539.242
85,8678416000.0,36509.164
86,8518496000.0,36479.938
87,8361441300.0,36448.883
88,8207417300.0,36415.72
89,8056102000.0,36382.406
90,7907577000.0,36350.01
91,7760890000.0,36316.46
92,7616985600.0,36282.492
93,7475713500.0,36248.727
94,7336967700.0,36214.617
95,7200998000.0,36182.586
96,7068541000.0,36153.195
97,6939317000.0,36123.402
98,6813334500.0,36094.66
99,6689918500.0,36063.586
100,6568952300.0,36036.336
101,6450737000.0,36013.008
102,6335180000.0,35991.152
103,6221869000.0,35972.938
104,6111108600.0,35956.094
105,6002366000.0,35941.977
106,5895735300.0,35928.535
107,5791577000.0,35919.85
108,5689900000.0,35912.34
109,5591330000.0,35906.17
110,5495866000.0,35899.336
111,5403314000.0,35898.188
112,5313459000.0,35900.016
113,5226008600.0,35905.215
114,5140822000.0,35915.047
115,5058062000.0,35923.55
116,4977651000.0,35928.688
117,4898771000.0,35931.9
118,4821811700.0,35936.344
119,4746762000.0,35936.957
120,4673671000.0,35933.168
121,4602610000.0,35926.67
122,4533306000.0,35921.473
123,4465881600.0,35912.137
124,4400254500.0,35901.613
125,4336206300.0,35894.023
126,4273325000.0,35884.02
127,4211521800.0,35876.848
128,4150561000.0,35873.707
129,4090629600.0,35867.973
130,4031389700.0,35861.61
131,3972909800.0,35856.75
132,3915168300.0,35853.633
133,3858270200.0,35854.83
134,3802168600.0,35857.094
135,3746787000.0,35860.695
136,3692073200.0,35862.96
137,3638331600.0,35865.05
138,3585758000.0,35867.668
139,3534517800.0,35867.17
140,3484693000.0,35863.36
141,3436299300.0,35859.258
142,3389290000.0,35852.742
143,3343558100.0,35845.977
144,3298651400.0,35839.61
145,3254512400.0,35832.47
146,3211164200.0,35825.453
147,3168565200.0,35817.54
148,3126808000.0,35808.785
149,3085693200.0,35800.758
150,3045173800.0,35793.047
151,3004964600.0,35784.37
152,2964956700.0,35774.953
153,2925263000.0,35766.895
154,2886069200.0,35758.65
155,2847580200.0,35751.477
156,2809741600.0,35747.39
157,2772577800.0,35746.99
158,2736033500.0,35746.35
159,2700177400.0,35747.793
160,2665172000.0,35749.44
161,2631274800.0,35752.055
162,2598024700.0,35756.797
163,2565552000.0,35763.95
164,2533649400.0,35774.047
165,2502302000.0,35785.277
166,2471286300.0,35798.617
167,2440618000.0,35812.89
168,2410230000.0,35824.99
169,2380198400.0,35838.61
170,2350552000.0,35852.6
171,2321539800.0,35864.484
172,2292998700.0,35875.125
173,2264799700.0,35885.043
174,2236986400.0,35892.785
175,2209561600.0,35898.062
176,2182465500.0,35902.59
177,2155692800.0,35906.812
178,2129215400.0,35908.906
179,2103054500.0,35910.016
180,2077269900.0,35910.883
181,2051945500.0,35914.17
182,2027214500.0,35917.883
183,2002952000.0,35921.027
184,1979172900.0,35925.35
185,1955736200.0,35931.363
186,1932875000.0,35937.586
187,1910401300.0,35943.047
188,1888196100.0,35948.047
189,1866309900.0,35952.53
190,1844672500.0,35954.51
191,1823134600.0,35955.652
192,1801741600.0,35956.656
193,1780359400.0,35956.04
194,1759124400.0,35956.504
195,1738092800.0,35957.49
196,1717329400.0,35958.277
197,1696875000.0,35958.72
198,1676830000.0,35961.797
199,1657152000.0,35966.96
200,1637781600.0,35974.383
201,1618685800.0,35983.93
202,1599866600.0,35994.457
203,1581387400.0,36006.758
204,1563172500.0,36019.695
205,1545180200.0,36031.508
206,1527419800.0,36043.086
207,1510010600.0,36054.508
208,1492982700.0,36065.297
209,1476248400.0,36076.7
210,1459757400.0,36087.92
211,1443473400.0,36099.688
212,1427452500.0,36110.438
213,1411745200.0,36121.094
214,1396326100.0,36131.906
215,1381212200.0,36141.395
216,1366361000.0,36150.36
217,1351739300.0,36158.285
218,1337294800.0,36166.086
219,1323074200.0,36174.28
220,1309020900.0,36180.867
221,1295031300.0,36187.05
222,1281070200.0,36192.816
223,1267154000.0,36198.332
224,1253311500.0,36203.73
225,1239514600.0,36208.94
226,1225766900.0,36216.156
227,1212171400.0,36223.875
228,1198741800.0,36231.61
229,1185495400.0,36241.312
230,1172546600.0,36252.07
231,1159864300.0,36263.305
232,1147433700.0,36274.918
233,1135227800.0,36287.023
234,1123171600.0,36300.523
235,1111354900.0,36315.754
236,1099704000.0,36332.547
237,1088176300.0,36349.133
238,1076766800.0,36366.67
239,1065471000.0,36384.152
240,1054318340.0,36401.676
241,1043323140.0,36420.598
242,1032501200.0,36439.7
243,1021834600.0,36458.277
244,1011261250.0,36476.79
245,1000811840.0,36494.363
246,990511740.0,36510.242
247,980326140.0,36527.055
248,970229250.0,36542.625
249,960216200.0,36558.047
250,950343300.0,36572.977
251,940603500.0,36588.95
252,930955000.0,36604.016
253,921430100.0,36618.4
254,912028860.0,36631.11
255,902772600.0,36642.438
256,893638460.0,36653.863
257,884611200.0,36664.438
258,875698600.0,36673.832
259,866908740.0,36682.05
260,858242200.0,36690.027
261,849702300.0,36698.227
262,841287940.0,36706.31
263,833002500.0,36714.082
264,824824640.0,36722.13
265,816741400.0,36730.676
266,808760060.0,36740.15
267,800926800.0,36749.94
268,793213250.0,36759.684
269,785610050.0,36770.324
270,778099800.0,36782.28
271,770677200.0,36795.875
272,763309200.0,36808.31
273,756008100.0,36820.82
274,748776600.0,36834.625
275,741614100.0,36847.984
276,734509500.0,36861.668
277,727484400.0,36875.47
278,720566400.0,36889.61
279,713751600.0,36904.074
280,707031300.0,36919.242
281,700402750.0,36933.992
282,693828350.0,36948.324
283,687307460.0,36963.418
284,680833660.0,36979.496
285,674417800.0,36996.145
286,668057600.0,37011.895
287,661748860.0,37027.16
288,655496200.0,37041.492
289,649273100.0,37054.812
290,643108350.0,37068.156
291,637015740.0,37081.547
292,630994940.0,37095.2
293,625041800.0,37108.594
294,619154700.0,37121.992
295,613342100.0,37134.535
296,607610750.0,37146.656
297,601957700.0,37158.79
298,596401340.0,37170.043
299,590932030.0,37181.164
300,585544700.0,37192.383
301,580228740.0,37204.36
302,574981440.0,37216.633
303,569788400.0,37228.92
304,564658940.0,37240.848
305,559565760.0,37252.22
306,554504960.0,37263.375
307,549491700.0,37274.156
308,544505600.0,37283.875
309,539535100.0,37293.83
310,534578340.0,37303.367
311,529648500.0,37312.21
312,524758200.0,37321.22
313,519899140.0,37331.117
314,515073020.0,37341.5
315,510290940.0,37352.062
316,505563870.0,37363.473
317,500905380.0,37374.6
318,496317900.0,37385.957
319,491796060.0,37397.023
320,487331360.0,37408.387
321,482950530.0,37419.516
322,478650620.0,37430.184
323,474423070.0,37441.008
324,470255360.0,37452.32
325,466147520.0,37463.65
326,462104450.0,37474.496
327,458117920.0,37485.44
328,454184450.0,37496.65
329,450305200.0,37506.91
330,446480130.0,37516.746
331,442695230.0,37526.32
332,438944860.0,37535.746
333,435223940.0,37544.43
334,431515700.0,37552.605
335,427834800.0,37559.93
336,424185020.0,37566.547
337,420576320.0,37572.703
338,417002620.0,37578.453
339,413459230.0,37583.715
340,409943230.0,37589.008
341,406457600.0,37593.637
342,403016860.0,37597.832
343,399610850.0,37601.54
344,396258500.0,37605.1
345,392954050.0,37608.31
346,389691200.0,37611.406
347,386461060.0,37614.26
348,383254080.0,37617.312
349,380082750.0,37620.754
350,376940130.0,37624.64
351,373826300.0,37628.594
352,370732900.0,37632.73
353,367656830.0,37636.72
354,364598400.0,37640.004
355,361562660.0,37643.53
356,358543740.0,37646.8
357,355544930.0,37649.87
358,352577860.0,37653.6
359,349645540.0,37657.47
360,346748060.0,37661.543
361,343885340.0,37665.633
362,341052200.0,37670.23
363,338259840.0,37674.652
364,335502850.0,37678.707
365,332781220.0,37683.008
366,330099140.0,37687.695
367,327453630.0,37692.453
368,324840500.0,37697.566
369,322258750.0,37703.188
370,319706200.0,37709.164
371,317187260.0,37715.15
372,314693200.0,37721.566
373,312220800.0,37728.023
374,309757150.0,37734.29
375,307306100.0,37740.11
376,304871780.0,37746.324
377,302454140.0,37752.836
378,300056200.0,37759.58
379,297679700.0,37766.105
380,295321730.0,37772.42
381,292987330.0,37778.582
382,290673340.0,37784.355
383,288383100.0,37789.855
384,286119140.0,37795.93
385,283883170.0,37802.28
386,281674750.0,37809.0
387,279491230.0,37815.58
388,277330900.0,37822.562
389,275195000.0,37829.547
390,273082140.0,37836.4
391,270994100.0,37843.05
392,268933000.0,37849.8
393,266897570.0,37856.484
394,264892660.0,37863.23
395,262910690.0,37869.945
396,260950180.0,37876.37
397,259015550.0,37882.414
398,257101920.0,37887.855
399,255202560.0,37892.99
400,253318200.0,37897.797
401,251451180.0,37902.35
402,249602320.0,37906.51
403,247772130.0,37910.88
404,245962370.0,37915.273
405,244169980.0,37919.906
406,242393870.0,37924.406
407,240635900.0,37928.496
408,238894350.0,37932.47
409,237173680.0,37936.39
410,235471100.0,37940.242
411,233787790.0,37943.914
412,232122240.0,37947.605
413,230472800.0,37951.695
414,228839420.0,37955.633
415,227222430.0,37959.312
416,225621150.0,37962.97
417,224033630.0,37966.867
418,222464050.0,37970.87
419,220908580.0,37975.277
420,219368640.0,37979.89
421,217838370.0,37984.227
422,216320400.0,37988.227
423,214812530.0,37992.03
424,213318050.0,37995.684
425,211838320.0,37999.75
426,210371380.0,38003.598
427,208915250.0,38007.406
428,207469360.0,38011.1
429,206031180.0,38014.57
430,204604020.0,38017.957
431,203188700.0,38021.594
432,201786420.0,38025.066
433,200397740.0,38028.65
434,199022670.0,38032.33
435,197662240.0,38035.715
436,196317580.0,38039.01
437,194985900.0,38041.688
438,193668260.0,38043.93
439,192365620.0,38046.367
440,191076380.0,38048.67
441,189799620.0,38050.62
442,188535040.0,38052.305
443,187281490.0,38053.797
444,186037180.0,38055.51
445,184800900.0,38057.082
446,183572940.0,38058.336
447,182357070.0,38059.477
448,181153470.0,38060.805
449,179959970.0,38062.07
450,178777250.0,38063.28
451,177605540.0,38064.69
452,176444690.0,38066.11
453,175294530.0,38067.395
454,174157490.0,38068.75
455,173031870.0,38069.914
456,171917870.0,38071.2
457,170816200.0,38072.32
458,169727920.0,38073.594
459,168651230.0,38074.97
460,167585020.0,38076.31
461,166528290.0,38077.72
462,165480940.0,38078.887
463,164442510.0,38079.793
464,163411890.0,38080.754
465,162388800.0,38081.72
466,161373660.0,38082.723
467,160368420.0,38083.6
468,159369810.0,38084.254
469,158378600.0,38084.945
470,157395330.0,38085.566
471,156419040.0,38086.117
472,155452370.0,38086.84
473,154493940.0,38087.7
474,153545020.0,38088.812
475,152604880.0,38089.836
476,151673490.0,38090.99
477,150752800.0,38092.188
478,149841260.0,38093.355
479,148938080.0,38094.46
480,148043860.0,38095.45
481,147157630.0,38096.46
482,146278940.0,38097.355
483,145408000.0,38098.195
484,144545220.0,38099.098
485,143690050.0,38100.14
486,142842770.0,38101.25
487,142004660.0,38102.207
488,141174460.0,38103.04
489,140351710.0,38103.97
490,139536210.0,38105.004
491,138726930.0,38106.137
492,137923460.0,38107.273
493,137126450.0,38108.223
494,136335200.0,38108.93
495,135549700.0,38109.613
496,134770660.0,38110.36
497,133998280.0,38110.89
498,133234230.0,38111.375
499,132477460.0,38111.63
500,131726460.0,38111.99
501,130982664.0,38112.355
502,130245630.0,38112.492
503,129515690.0,38112.477
504,128791900.0,38112.223
505,128075700.0,38111.914
506,127364540.0,38111.53
507,126658696.0,38111.055
508,125958010.0,38110.473
509,125261520.0,38109.855
510,124569470.0,38109.348
511,123882050.0,38108.914
512,123199464.0,38108.47
513,122521600.0,38107.996
514,121848620.0,38107.62
515,121180420.0,38107.152
516,120517560.0,38106.67
517,119859980.0,38106.33
518,119208430.0,38105.945
519,118564140.0,38105.703
520,117926344.0,38105.61
521,117295040.0,38105.508
522,116670310.0,38105.285
523,116053010.0,38105.13
524,115442824.0,38105.113
525,114838696.0,38105.145
526,114241880.0,38105.22
527,113651440.0,38105.504
528,113066770.0,38105.945
529,112487920.0,38106.523
530,111914616.0,38107.062
531,111346744.0,38107.61
532,110783040.0,38108.242
533,110223070.0,38108.707
534,109667650.0,38109.227
535,109117370.0,38109.848
536,108571416.0,38110.55
537,108029090.0,38111.152
538,107490760.0,38111.59
539,106956240.0,38111.89
540,106426030.0,38112.16
541,105900210.0,38112.438
542,105378440.0,38112.766
543,104860984.0,38113.023
544,104347670.0,38113.367
545,103838090.0,38113.758
546,103332264.0,38114.074
547,102830180.0,38114.535
548,102331540.0,38115.047
549,101836860.0,38115.59
550,101346180.0,38115.95
551,100859576.0,38116.324
552,100376820.0,38116.74
553,99897570.0,38116.996
554,99421710.0,38117.125
555,98948610.0,38117.19
556,98478400.0,38117.156
557,98010520.0,38117.16
558,97546180.0,38117.26
559,97085080.0,38117.42
560,96627770.0,38117.535
561,96174050.0,38117.754
562,95723544.0,38118.047
563,95276660.0,38118.426
564,94833540.0,38118.883
565,94394904.0,38119.42
566,93960830.0,38120.242
567,93530790.0,38121.113
568,93104824.0,38121.938
569,92682770.0,38122.85
570,92264080.0,38123.805
571,91848450.0,38124.832
572,91435680.0,38125.82
573,91026410.0,38126.945
574,90620696.0,38128.113
575,90218300.0,38129.336
576,89818690.0,38130.516
577,89422130.0,38131.69
578,89028240.0,38132.766
579,88636640.0,38133.773
580,88247290.0,38134.69
581,87860280.0,38135.64
582,87475224.0,38136.66
583,87092840.0,38137.703
584,86713050.0,38138.695
585,86335490.0,38139.57
586,85960340.0,38140.42
587,85588110.0,38141.164
588,85218770.0,38141.824
589,84852540.0,38142.477
590,84489100.0,38143.17
591,84128700.0,38143.957
592,83771060.0,38144.805
593,83416610.0,38145.742
594,83065096.0,38146.816
595,82716490.0,38147.992
596,82371380.0,38149.1
597,82029384.0,38150.254
598,81690270.0,38151.434
599,81354180.0,38152.574
600,81020856.0,38153.816
601,80690190.0,38155.15
602,80361930.0,38156.61
603,80035896.0,38158.133
604,79712050.0,38159.664
605,79390210.0,38161.22
606,79070400.0,38162.797
607,78752480.0,38164.484
608,78436280.0,38166.21
609,78122216.0,38167.957
610,77809730.0,38169.703
611,77499130.0,38171.453
612,77190180.0,38173.277
613,76883020.0,38175.117
614,76577880.0,38176.977
615,76274616.0,38178.766
616,75973304.0,38180.402
617,75674120.0,38182.05
618,75377464.0,38183.68
619,75082630.0,38185.22
620,74790110.0,38186.812
621,74499890.0,38188.266
622,74211840.0,38189.65
623,73925980.0,38190.973
624,73641980.0,38192.277
625,73360024.0,38193.53
626,73079970.0,38194.773
627,72801624.0,38195.94
628,72525170.0,38197.027
629,72250296.0,38198.11
630,71977300.0,38199.1
631,71706380.0,38200.035
632,71437310.0,38200.85
633,71170290.0,38201.62
634,70905336.0,38202.336
635,70642360.0,38203.02
636,70381140.0,38203.68
637,70121976.0,38204.39
638,69864740.0,38205.164
639,69609500.0,38205.867
640,69356780.0,38206.6
641,69106210.0,38207.387
642,68857650.0,38208.152
643,68610970.0,38208.93
644,68366080.0,38209.73
645,68123016.0,38210.586
646,67881460.0,38211.45
647,67641570.0,38212.332
648,67403470.0,38213.188
649,67166690.0,38213.984
650,66931256.0,38214.816
651,66697280.0,38215.742
652,66464652.0,38216.652
653,66233344.0,38217.66
654,66003172.0,38218.79
655,65774390.0,38219.953
656,65546836.0,38221.1
657,65320600.0,38222.246
658,65095696.0,38223.46
659,64872184.0,38224.777
660,64650250.0,38226.156
661,64430092.0,38227.574
662,64211670.0,38229.0
663,63994864.0,38230.43
664,63779384.0,38231.79
665,63565210.0,38233.11
666,63352320.0,38234.42
667,63140756.0,38235.746
668,62930664.0,38237.08
669,62721840.0,38238.45
670,62514360.0,38239.895
671,62308380.0,38241.32
672,62103490.0,38242.727
673,61900024.0,38244.195
674,61697796.0,38245.656
675,61496870.0,38247.156
676,61297190.0,38248.645
677,61098740.0,38250.113
678,60901612.0,38251.51
679,60705930.0,38253.02
680,60511360.0,38254.55
681,60317830.0,38256.125
682,60125256.0,38257.64
683,59933840.0,38259.188
684,59743500.0,38260.773
685,59554384.0,38262.348
686,59366656.0,38264.0
687,59180188.0,38265.664
688,58994920.0,38267.32
689,58810896.0,38268.97
690,58628116.0,38270.61
691,58446520.0,38272.26
692,58266310.0,38273.812
693,58087304.0,38275.34
694,57909484.0,38276.965
695,57732690.0,38278.59
696,57557144.0,38280.223
697,57382824.0,38281.887
698,57209532.0,38283.594
699,57037070.0,38285.312
700,56865610.0,38287.055
701,56695012.0,38288.742
702,56525324.0,38290.395
703,56356604.0,38291.965
704,56188910.0,38293.49
705,56022270.0,38295.02
706,55856480.0,38296.535
707,55691572.0,38298.016
708,55527540.0,38299.484
709,55364410.0,38300.953
710,55202264.0,38302.387
711,55041188.0,38303.82
712,54881164.0,38305.266
713,54721990.0,38306.66
714,54563644.0,38308.07
715,54406172.0,38309.426
716,54249590.0,38310.7
717,54094040.0,38311.96
718,53939440.0,38313.242
719,53785764.0,38314.5
720,53632892.0,38315.76
721,53480904.0,38317.0
722,53329704.0,38318.188
723,53179320.0,38319.336
724,53029590.0,38320.477
725,52880644.0,38321.58
726,52732450.0,38322.664
727,52584908.0,38323.727
728,52438056.0,38324.758
729,52291930.0,38325.727
730,52146650.0,38326.688
731,52002050.0,38327.65
732,51858100.0,38328.637
733,51714904.0,38329.703
734,51572388.0,38330.773
735,51430584.0,38331.88
736,51289572.0,38332.965
737,51149296.0,38334.04
738,51009840.0,38335.117
739,50871100.0,38336.188
740,50733156.0,38337.258
741,50596156.0,38338.33
742,50459980.0,38339.418
743,50324616.0,38340.516
744,50190056.0,38341.668
745,50056390.0,38342.85
746,49923410.0,38343.99
747,49791136.0,38345.133
748,49659590.0,38346.29
749,49528744.0,38347.48
750,49398636.0,38348.71
751,49269308.0,38349.984
752,49140668.0,38351.297
753,49012596.0,38352.617
754,48885304.0,38353.973
755,48758730.0,38355.36
756,48632772.0,38356.797
757,48507450.0,38358.305
758,48382844.0,38359.836
759,48258976.0,38361.38
760,48135772.0,38362.94
761,48013176.0,38364.5
762,47891216.0,38366.113
763,47769916.0,38367.74
764,47649224.0,38369.28
765,47529216.0,38370.816
766,47409908.0,38372.336
767,47291300.0,38373.832
768,47173336.0,38375.305
769,47055930.0,38376.723
770,46939130.0,38378.11
771,46822868.0,38379.508
772,46707140.0,38380.875
773,46591944.0,38382.215
774,46477350.0,38383.53
775,46363310.0,38384.812
776,46249856.0,38386.094
777,46137000.0,38387.395
778,46024710.0,38388.7
779,45912880.0,38390.0
780,45801556.0,38391.297
781,45690772.0,38392.574
782,45580450.0,38393.844
783,45470670.0,38395.074
784,45361440.0,38396.266
785,45252680.0,38397.42
786,45144484.0,38398.617
787,45036776.0,38399.83
788,44929720.0,38400.996
789,44823276.0,38402.164
790,44717436.0,38403.297
791,44612148.0,38404.438
792,44507390.0,38405.582
793,44403170.0,38406.727
794,44299530.0,38407.867
795,44196490.0,38409.023
796,44093884.0,38410.188
797,43991852.0,38411.37
798,43890350.0,38412.527
799,43789456.0,38413.66
800,43689144.0,38414.824
801,43589324.0,38416.016
802,43489984.0,38417.2
803,43391156.0,38418.375
804,43292860.0,38419.594
805,43195030.0,38420.83
806,43097536.0,38422.094
807,43000520.0,38423.418
808,42903916.0,38424.766
809,42807796.0,38426.125
810,42712212.0,38427.492
811,42617076.0,38428.824
812,42522336.0,38430.156
813,42428010.0,38431.484
814,42334004.0,38432.8
815,42240384.0,38434.09
816,42147144.0,38435.383
817,42054284.0,38436.656
818,41961772.0,38437.914
819,41869616.0,38439.152
820,41777764.0,38440.363
821,41686304.0,38441.555
822,41595236.0,38442.715
823,41504584.0,38443.88
