epoch,time
1,12.2422
2,24.5886
3,36.9953
4,49.3232
5,61.6514
6,73.9112
7,86.2079
8,98.4948
9,110.838
10,123.0951
11,135.363
12,147.6271
13,159.916
14,172.2137
15,184.4911
16,196.7877
17,209.0061
18,221.2064
19,233.4184
20,245.6949
21,257.9166
22,270.2185
23,282.4953
24,294.7976
25,307.0623
26,319.3718
27,331.6822
28,343.9857
29,356.2278
30,368.4833
31,380.7137
32,392.9109
33,405.1181
34,417.3924
35,429.7742
36,442.1192
37,454.3924
38,466.7199
39,479.0362
40,491.3757
41,503.7636
42,516.0217
43,528.2448
44,540.4493
45,552.7013
46,565.0301
47,577.3676
48,589.6477
49,601.9439
50,614.2726
51,626.6071
52,638.8742
53,651.1169
54,663.3724
55,675.5825
56,687.7969
57,700.0276
58,712.3339
59,724.6051
60,736.8877
61,749.1596
62,761.4478
63,773.7633
64,786.0181
65,798.3073
66,810.5596
67,822.8042
68,835.042
69,847.3626
70,859.7242
71,872.0411
72,884.3093
73,896.6019
74,908.8907
75,921.1253
76,933.3447
77,945.594
78,957.828
79,970.017
80,982.2435
81,994.4412
82,1006.6677
83,1018.9136
84,1031.1781
85,1043.4217
86,1055.7168
87,1068.0257
88,1080.3058
89,1092.5563
90,1104.7984
91,1117.0929
92,1129.3297
93,1141.5454
94,1153.8064
95,1166.0661
96,1178.3114
97,1190.5582
98,1202.8283
99,1215.1088
100,1227.3544
