epoch,time
1,12.25
2,24.5823
3,36.9951
4,49.3565
5,61.7738
6,74.1287
7,86.4441
8,98.7986
9,111.1744
10,123.5255
11,135.9021
12,148.2715
13,160.5889
14,172.9783
15,185.3402
16,197.6862
17,210.0904
18,222.4602
19,234.8033
20,247.2354
21,259.5887
22,271.9122
23,284.2939
24,296.635
25,309.0347
26,321.3223
27,333.6466
28,345.9339
29,358.2617
30,370.6103
31,382.9629
32,395.3012
33,407.6446
34,420.0031
35,432.3326
36,444.708
37,457.0528
38,469.4149
39,481.7386
40,494.0219
41,506.3648
42,518.7305
43,531.0191
44,543.3672
45,555.6921
46,567.9935
47,580.2882
48,592.6247
49,604.975
50,617.2896
51,631.2369
52,643.4992
53,655.7631
54,668.0661
55,680.3445
56,692.6577
57,704.9922
58,717.3501
59,729.7024
60,742.1006
61,754.445
62,766.7836
63,779.1486
64,791.5165
65,803.8454
66,816.1655
67,828.4819
68,840.7162
69,852.997
70,865.3117
71,877.635
72,889.9477
73,902.2579
74,914.6223
75,926.9827
76,939.3035
77,951.6559
78,963.9598
79,976.2544
80,988.515
81,1000.8274
82,1013.1192
83,1025.4418
84,1037.7987
85,1050.1538
86,1062.4868
87,1074.8354
88,1087.2011
89,1099.5562
90,1111.898
91,1124.2384
92,1136.5741
93,1148.8948
94,1161.2855
95,1173.6186
96,1186.0019
97,1198.3718
98,1210.7203
99,1223.0583
100,1235.4462
