step,s_loss,c_loss
1,16717789000.0,0.0
2,14675751000.0,1688.5414
3,12277770000.0,3718.9438
4,10079369000.0,5708.168
5,8274082300.0,7465.8174
6,6869236700.0,8914.972
7,5816763000.0,10110.189
8,5052321000.0,11157.506
9,4503907300.0,12092.529
10,4097220400.0,12952.414
11,3775079700.0,13784.214
12,3499038700.0,14616.936
13,3253614000.0,15456.594
14,3034894300.0,16292.754
15,2844732400.0,17095.746
16,2685017000.0,17879.902
17,2557446700.0,18645.541
18,2460928800.0,19395.908
19,2393236200.0,20113.781
20,2349660200.0,20766.848
21,2323678700.0,21352.848
22,2310641400.0,21833.504
23,2306619100.0,22198.37
24,2308520400.0,22458.143
25,2315766800.0,22628.086
26,2328072000.0,22720.176
27,2344442600.0,22725.766
28,2364457700.0,22653.668
29,2387770400.0,22531.166
30,2412807400.0,22370.885
31,2438321000.0,22185.99
32,2461236000.0,21963.875
33,2479882800.0,21713.246
34,2493304000.0,21444.967
35,2499974400.0,21181.488
36,2499671800.0,20932.729
37,2491819800.0,20707.129
38,2476624000.0,20499.977
39,2454136800.0,20313.55
40,2425174800.0,20150.047
41,2391185000.0,20017.45
42,2352535000.0,19916.37
43,2309476900.0,19838.873
44,2262506500.0,19792.844
45,2212889600.0,19764.309
46,2161959700.0,19745.008
47,2110536600.0,19742.941
48,2059006100.0,19758.09
49,2007877100.0,19790.453
50,1957352700.0,19841.152
51,1907724800.0,19899.887
52,1858912900.0,19970.398
53,1811629800.0,20048.62
54,1766180100.0,20138.441
55,1722876300.0,20226.574
56,1681038000.0,20308.113
57,1640705500.0,20386.418
58,1602380400.0,20465.713
59,1566037500.0,20562.03
60,1531650000.0,20658.695
61,1499142900.0,20743.457
62,1468751400.0,20818.488
63,1440174700.0,20883.3
64,1412971300.0,20937.416
65,1387171700.0,20982.635
66,1362340000.0,21014.676
67,1338325400.0,21041.426
68,1314918900.0,21062.578
69,1291998300.0,21087.113
70,1269493600.0,21122.852
71,1247300600.0,21162.314
72,1225471100.0,21203.846
73,1203828900.0,21247.742
74,1182495200.0,21289.59
75,1161386800.0,21327.342
76,1140476200.0,21363.2
77,1119636200.0,21402.172
78,1098929000.0,21435.84
79,1078408400.0,21464.62
80,1058079900.0,21489.781
81,1038097340.0,21509.402
82,1018457500.0,21522.268
83,999130700.0,21533.543
84,979998100.0,21542.85
85,961220800.0,21550.05
86,942783400.0,21561.773
87,924810600.0,21577.156
88,907268100.0,21596.354
89,890307460.0,21616.57
90,873886460.0,21639.207
91,858039300.0,21660.191
92,842601200.0,21680.934
93,827655800.0,21704.014
94,813123700.0,21727.123
95,799027600.0,21750.447
96,785471200.0,21768.031
97,772394500.0,21783.377
98,759645630.0,21800.697
99,747221440.0,21817.803
100,735144260.0,21836.797
101,723406660.0,21860.031
102,712039040.0,21884.125
103,700962300.0,21910.48
104,690262200.0,21940.152
105,680091800.0,21971.355
106,670352830.0,22006.332
107,661090240.0,22043.596
108,652187200.0,22081.285
109,643585540.0,22117.451
110,635355800.0,22147.203
111,627445300.0,22172.924
112,619849540.0,22199.738
113,612520960.0,22229.502
114,605414400.0,22258.93
115,598523600.0,22289.703
116,591744100.0,22322.79
117,585009340.0,22360.89
118,578344000.0,22401.516
119,571786940.0,22443.334
120,565350300.0,22488.102
121,559012540.0,22533.59
122,552749000.0,22582.71
123,546572350.0,22633.332
124,540425400.0,22681.164
125,534323360.0,22729.863
126,528366880.0,22781.055
127,522539100.0,22831.705
128,516833020.0,22882.115
129,511189200.0,22929.998
130,505606700.0,22977.244
131,500058700.0,23025.834
132,494571840.0,23078.42
133,489142340.0,23134.512
134,483751740.0,23191.926
135,478380930.0,23248.63
136,473021730.0,23304.908
137,467689020.0,23359.164
138,462416320.0,23414.73
139,457180450.0,23471.678
140,451985340.0,23528.46
141,446870880.0,23584.867
142,441845250.0,23640.768
143,436899100.0,23695.064
144,432084480.0,23744.996
145,427372740.0,23788.37
