epoch,time
1,6.4258
2,12.7985
3,19.2184
4,25.6279
5,32.0624
6,38.4706
7,44.8725
8,51.3258
9,58.642
10,65.0984
11,71.399
12,77.8473
13,84.1714
14,90.648
15,96.9508
16,103.4305
17,109.7593
18,116.2186
19,122.5257
20,128.9882
21,135.2783
22,142.4881
23,148.8037
24,155.2767
25,161.5565
26,168.0289
27,174.3338
28,180.7861
29,187.1006
30,193.5699
31,199.8813
32,206.3576
33,212.6718
34,219.1373
35,225.4755
36,231.9075
37,238.239
38,244.7378
39,251.0605
40,257.5035
41,263.858
42,270.2972
43,276.6654
44,283.0422
45,289.4978
46,295.9526
47,302.3048
48,308.7231
49,315.1234
50,321.5309
51,327.9706
52,334.3445
53,340.7905
54,347.1341
55,353.572
56,359.8671
57,366.3462
58,372.6523
59,379.1253
60,385.4487
61,391.8919
62,398.2073
63,404.6953
64,411.0183
65,417.5015
66,423.8232
67,430.3179
68,436.6378
69,443.1253
70,449.4589
71,455.9836
72,462.3082
73,468.7865
74,475.1302
75,481.6273
76,487.9657
77,494.4365
78,500.7735
79,507.2552
80,513.5599
81,520.0224
82,526.3241
83,532.8166
84,539.1048
85,545.5633
86,551.8497
87,558.2964
88,564.5828
89,571.0444
90,577.3463
91,583.7683
92,590.0884
93,596.4893
94,602.8383
95,609.3011
96,615.6438
97,622.0204
98,628.3565
99,634.7542
100,641.1217
