step,s_loss,c_loss
1,1153088400.0,0.0
2,1033221700.0,606.5861
3,886354050.0,1406.7573
4,747536000.0,2419.4849
5,631319200.0,3385.2666
6,538714240.0,4235.7075
7,466118660.0,4979.1353
8,409657060.0,5640.8857
9,366135230.0,6258.269
10,333256200.0,6868.6016
11,308851600.0,7503.0083
12,290673300.0,8149.472
13,276031500.0,8777.618
14,262828110.0,9377.977
15,250330110.0,9938.317
16,239255800.0,10442.791
17,230666420.0,10885.893
18,225291070.0,11247.379
19,223011180.0,11556.344
20,222897660.0,11814.481
21,224036670.0,12024.2705
22,225566990.0,12182.747
23,227004450.0,12300.637
24,228252880.0,12392.29
25,229328080.0,12477.377
26,230202510.0,12548.914
27,230980850.0,12595.164
28,231661700.0,12626.252
29,232094580.0,12634.697
30,232265860.0,12623.735
31,232157820.0,12594.0625
32,231720460.0,12524.647
33,230878940.0,12421.457
34,229639620.0,12312.073
35,228073600.0,12209.9
36,226132300.0,12123.127
37,223823870.0,12058.288
38,221195230.0,12022.697
39,218237730.0,12015.336
40,214985060.0,12040.91
41,211444380.0,12087.685
42,207694880.0,12145.508
43,203755580.0,12206.529
44,199697440.0,12274.689
45,195606530.0,12348.394
46,191495090.0,12426.652
47,187398820.0,12506.878
48,183353550.0,12600.477
49,179426140.0,12707.023
50,175621650.0,12825.012
51,171973090.0,12952.542
52,168477340.0,13082.356
53,165119140.0,13206.769
54,161882820.0,13319.649
55,158724770.0,13420.669
56,155658500.0,13522.924
57,152718980.0,13619.955
58,149919920.0,13706.852
59,147246750.0,13782.879
60,144739800.0,13852.256
61,142387420.0,13919.117
62,140138400.0,13979.582
63,137975380.0,14036.168
64,135897150.0,14091.451
65,133924280.0,14142.145
66,132011976.0,14185.449
67,130170550.0,14232.291
68,128397310.0,14289.154
69,126668970.0,14346.896
70,124971910.0,14396.797
71,123288370.0,14448.528
72,121608480.0,14502.59
73,119938620.0,14557.709
74,118283570.0,14608.059
75,116648010.0,14655.072
76,115038520.0,14697.855
77,113440790.0,14735.73
78,111855944.0,14767.832
79,110299736.0,14800.559
80,108766110.0,14829.843
81,107250024.0,14858.049
82,105764150.0,14883.703
83,104302000.0,14905.45
84,102869820.0,14923.072
85,101452744.0,14940.494
86,100056070.0,14955.197
87,98695350.0,14967.674
88,97357330.0,14978.721
89,96034664.0,14988.26
90,94732800.0,14994.929
91,93458350.0,15004.943
92,92207670.0,15016.955
93,90990730.0,15031.946
94,89806720.0,15047.67
95,88656130.0,15064.309
96,87523880.0,15079.187
97,86413810.0,15094.768
98,85334290.0,15107.861
99,84278860.0,15121.02
100,83233940.0,15137.336
101,82194530.0,15158.8125
102,81167140.0,15186.133
103,80153440.0,15218.23
104,79154200.0,15254.54
105,78169200.0,15293.638
106,77195910.0,15336.184
107,76237704.0,15384.839
108,75309240.0,15434.293
109,74403864.0,15484.384
110,73512000.0,15530.893
111,72638856.0,15574.99
112,71789620.0,15616.949
113,70949144.0,15657.23
114,70124190.0,15698.037
115,69309380.0,15739.729
116,68499700.0,15778.498
117,67679410.0,15815.242
118,66864136.0,15854.044
119,66056588.0,15891.145
120,65251388.0,15922.645
121,64448790.0,15953.664
122,63650550.0,15982.811
123,62858160.0,16010.271
124,62069532.0,16036.281
125,61287988.0,16058.811
126,60512444.0,16077.703
127,59750640.0,16096.485
128,59010148.0,16118.33
129,58292450.0,16142.873
130,57594620.0,16167.935
131,56911896.0,16194.625
132,56239796.0,16225.457
133,55572680.0,16257.701
134,54911764.0,16291.871
135,54260244.0,16323.983
136,53621320.0,16354.928
137,52992044.0,16381.0625
138,52372670.0,16402.336
139,51765050.0,16425.926
140,51167270.0,16449.086
141,50579850.0,16475.559
142,49998376.0,16502.752
143,49420256.0,16528.32
144,48847570.0,16555.164
145,48276256.0,16583.635
146,47703296.0,16613.256
147,47128536.0,16642.031
148,46559464.0,16669.592
149,45993308.0,16695.113
150,45433640.0,16720.053
151,44880184.0,16742.852
152,44339700.0,16762.97
153,43810584.0,16783.082
154,43293576.0,16804.379
