step,s_loss,c_loss
1,11649345000.0,0.0
2,11316123000.0,290.02863
3,10739608000.0,631.2422
4,9982813000.0,916.25104
5,9063451000.0,1202.9082
6,8039353000.0,1422.9465
7,6990209000.0,1584.857
8,6010915000.0,1693.7639
9,5197916700.0,1765.4723
10,4623210500.0,1815.7157
11,4291864000.0,1854.6978
12,4133445600.0,1887.9421
13,4046898400.0,1918.2659
14,3944480800.0,1956.2324
15,3781766000.0,2003.0039
16,3554241000.0,2058.3303
17,3280558000.0,2120.5374
18,2985049900.0,2189.6292
19,2693761300.0,2260.189
20,2428286000.0,2326.223
21,2199455200.0,2383.319
22,2009780600.0,2426.1716
23,1857321600.0,2453.706
24,1737748100.0,2469.3008
25,1647046700.0,2470.436
26,1579210500.0,2462.3599
27,1528432800.0,2451.2715
28,1491457900.0,2438.9114
29,1464382700.0,2427.185
30,1444456100.0,2415.6985
31,1428068600.0,2408.5178
32,1412247900.0,2408.1665
33,1394991700.0,2414.3757
34,1374196600.0,2428.3398
35,1348154100.0,2451.0408
36,1316211500.0,2479.7002
37,1278574600.0,2511.6633
38,1236099100.0,2544.379
39,1189711700.0,2578.083
40,1140580100.0,2611.8535
41,1089425500.0,2644.4854
42,1037250400.0,2671.6907
43,985120900.0,2693.1853
44,933644100.0,2710.6218
45,884116500.0,2725.1572
46,836892600.0,2735.7598
47,792654460.0,2743.7695
48,751978560.0,2749.4033
49,714938940.0,2751.9878
50,681577900.0,2752.5432
51,651369800.0,2750.4097
52,623960400.0,2747.362
53,598914050.0,2745.2192
54,576042700.0,2743.246
55,555191800.0,2743.0425
56,536324500.0,2744.436
57,519435100.0,2747.0664
58,504359600.0,2751.5166
59,490718460.0,2757.5059
60,478501470.0,2765.556
61,467512480.0,2777.2944
62,457356220.0,2792.0974
63,447850700.0,2807.7983
64,438818100.0,2823.7104
65,430159420.0,2839.248
66,421718530.0,2854.7534
67,413484580.0,2870.576
68,405348930.0,2885.4102
69,397368700.0,2900.4497
70,389556540.0,2914.4463
71,381765820.0,2927.2002
72,374013900.0,2938.7095
73,366268300.0,2948.8887
74,358441660.0,2958.4595
75,350712300.0,2965.838
76,343139940.0,2970.4756
77,335749100.0,2972.9307
78,328551170.0,2972.5088
79,321539650.0,2969.1904
80,314737950.0,2962.0972
81,308226720.0,2953.0674
82,301965250.0,2942.9558
83,295893060.0,2931.4768
84,289991970.0,2919.4817
85,284251650.0,2906.5166
86,278650940.0,2893.5725
87,273209020.0,2880.73
88,267943250.0,2868.4858
89,262796460.0,2857.2578
90,257794600.0,2847.0667
91,252914940.0,2838.8408
92,248170540.0,2831.6436
93,243566370.0,2825.2698
94,239064860.0,2819.9758
95,234706100.0,2815.0056
96,230474320.0,2810.7583
97,226384460.0,2807.06
98,222382380.0,2803.6416
99,218466180.0,2800.3198
100,214688960.0,2797.3962
101,211059420.0,2794.582
102,207569550.0,2792.0518
103,204222860.0,2789.3027
104,201001440.0,2786.7927
105,197900420.0,2784.8335
106,194896900.0,2783.7783
107,192008080.0,2782.5354
108,189172350.0,2781.4722
109,186353500.0,2780.4673
110,183547820.0,2779.8035
111,180745010.0,2779.9102
112,177971660.0,2780.7446
113,175191600.0,2781.504
114,172369120.0,2782.8323
115,169511070.0,2785.0645
116,166611840.0,2787.7466
117,163686430.0,2790.9795
118,160760270.0,2795.0173
119,157840340.0,2799.313
120,154957800.0,2803.8862
121,152127330.0,2808.706
122,149357340.0,2813.541
123,146652900.0,2817.8438
124,143998190.0,2821.8843
125,141397860.0,2825.27
126,138842270.0,2827.8926
127,136354580.0,2829.4307
128,133937690.0,2830.224
129,131599960.0,2830.113
130,129355900.0,2828.9827
131,127188890.0,2827.06
132,125101144.0,2824.442
133,123094740.0,2821.9587
134,121145940.0,2819.245
135,119249176.0,2816.4963
136,117407310.0,2813.8665
137,115620376.0,2811.688
138,113884570.0,2809.899
139,112202330.0,2808.608
140,110568240.0,2807.5466
141,108980500.0,2807.1128
142,107431870.0,2807.1035
143,105921850.0,2807.5122
144,104451820.0,2808.3237
145,103002720.0,2809.254
146,101581060.0,2809.978
147,100169176.0,2810.919
148,98768620.0,2812.0898
149,97383400.0,2813.2354
150,96018850.0,2814.3508
151,94673656.0,2815.6338
152,93350340.0,2816.7388
153,92044770.0,2817.6233
154,90762130.0,2818.0605
155,89491670.0,2818.0552
156,88227976.0,2817.7441
157,86980970.0,2817.089
158,85761150.0,2816.3413
159,84570740.0,2815.565
160,83413170.0,2814.6965
161,82286150.0,2813.6484
162,81196370.0,2812.2344
163,80153940.0,2810.8467
164,79157140.0,2809.3682
165,78204330.0,2807.7021
166,77291650.0,2805.9187
167,76415240.0,2804.604
168,75574160.0,2803.567
169,74775860.0,2802.5916
170,74006860.0,2801.5334
171,73260260.0,2800.5396
172,72534860.0,2799.9595
173,71823770.0,2799.7983
174,71131320.0,2799.789
175,70454450.0,2800.028
176,69786860.0,2800.3105
177,69125740.0,2800.4
178,68469860.0,2800.4888
179,67817896.0,2800.5593
180,67177200.0,2800.825
181,66545460.0,2800.8828
182,65922536.0,2800.7522
183,65313464.0,2800.5286
184,64712896.0,2800.151
185,64122676.0,2799.5537
186,63544970.0,2798.9458
187,62976660.0,2798.1704
188,62421140.0,2797.4316
189,61879884.0,2796.905
190,61353068.0,2796.4468
191,60839372.0,2796.105
192,60339480.0,2795.8438
193,59855820.0,2795.6907
194,59382520.0,2795.6655
195,58915628.0,2795.7578
196,58453164.0,2796.2078
197,57995404.0,2797.0188
198,57542676.0,2798.0254
199,57096610.0,2799.3052
200,56660620.0,2800.8535
201,56237164.0,2802.3413
