epoch,time
1,5.929
2,12.1107
3,18.1633
4,24.2278
5,30.3658
6,36.3653
7,42.5906
8,48.5982
9,54.8267
10,60.8274
11,67.054
12,73.0624
13,79.2044
14,85.2946
15,91.3483
16,97.5188
17,103.5135
18,109.7274
19,115.7391
20,121.9627
21,127.9575
22,134.1693
23,140.2224
24,146.3228
25,152.4511
26,158.4467
27,164.6393
28,170.6299
29,176.8091
30,182.7874
31,188.9474
32,194.9225
33,201.2523
34,207.3338
35,213.3519
36,219.513
37,225.4941
38,231.6759
39,237.6619
40,243.8468
41,249.8368
42,255.9365
43,261.9884
44,268.0452
45,274.1917
46,280.194
47,286.398
48,292.3978
49,298.645
50,304.6544
51,310.8535
52,316.8435
53,322.9723
54,329.0333
55,335.0644
56,341.2228
57,347.2099
58,353.3916
59,359.3749
60,365.5239
61,371.5214
62,377.6562
63,383.6861
64,389.7591
65,395.8385
66,401.8434
67,408.0685
68,414.0313
69,420.1847
70,426.1512
71,432.334
72,438.308
73,444.3985
74,450.5729
75,456.7539
76,462.9151
77,468.8807
78,475.0825
79,481.0759
80,487.2876
81,493.2819
82,499.4497
83,505.4545
84,511.5254
85,517.6317
86,523.6587
87,529.8362
88,535.8204
89,542.0069
90,548.0026
91,554.17
92,560.1371
93,566.2389
94,572.2726
95,578.2899
96,584.4554
97,590.393
98,596.5385
99,602.5351
100,608.6807
