step,s_loss,c_loss
1,81382600000.0,0.0
2,81044270000.0,287.54517
3,79111230000.0,724.2153
4,76198110000.0,1235.8002
5,72606260000.0,1792.0071
6,68399227000.0,2355.6494
7,63522800000.0,2906.5686
8,58149655000.0,3444.2131
9,52480004000.0,3960.802
10,46827010000.0,4441.2
11,41589830000.0,4881.637
12,37181923000.0,5282.717
13,33928636000.0,5647.3906
14,31974654000.0,5988.9326
15,31139142000.0,6319.549
16,30956000000.0,6647.8174
17,30913872000.0,6978.5557
18,30662586000.0,7317.669
19,30075064000.0,7651.5957
20,29163237000.0,7947.082
21,27997903000.0,8188.622
22,26675843000.0,8377.108
23,25288241000.0,8525.174
24,23911676000.0,8634.41
25,22588625000.0,8715.85
26,21356386000.0,8773.726
27,20238612000.0,8809.396
28,19245780000.0,8822.787
29,18375547000.0,8816.889
30,17619694000.0,8788.316
31,16973093000.0,8744.107
32,16426929000.0,8680.531
33,15972619000.0,8603.727
34,15600622000.0,8517.852
35,15301973000.0,8428.32
36,15063782000.0,8338.098
37,14875787000.0,8248.479
38,14727894000.0,8164.835
39,14609627000.0,8089.9004
40,14510583000.0,8024.7036
41,14418415000.0,7968.94
42,14321621000.0,7924.588
43,14212516000.0,7891.2646
44,14087395000.0,7868.993
45,13941304000.0,7854.653
46,13773890000.0,7846.9443
47,13587065000.0,7848.539
48,13385030000.0,7855.2983
49,13170821000.0,7867.8057
50,12950337000.0,7885.8164
51,12727635000.0,7907.8228
52,12506778000.0,7932.043
53,12288535000.0,7956.145
54,12074492000.0,7978.706
55,11867337000.0,7999.007
56,11667158000.0,8017.0176
57,11471268000.0,8032.003
58,11280283000.0,8041.981
59,11094475000.0,8045.4507
60,10914401000.0,8045.8955
61,10739431000.0,8042.0493
62,10567329000.0,8033.3916
63,10398828000.0,8021.466
64,10233398000.0,8007.0127
65,10071603000.0,7992.9707
66,9912346000.0,7977.1323
67,9755043000.0,7961.248
68,9599395000.0,7947.0938
69,9445431000.0,7934.2275
70,9293842000.0,7922.811
71,9145064000.0,7910.799
72,8999085000.0,7900.823
73,8855257000.0,7893.84
74,8714897000.0,7887.5864
75,8577649000.0,7883.161
76,8442940000.0,7879.9497
77,8310486000.0,7876.5547
78,8178909000.0,7872.7617
79,8048555000.0,7870.1416
80,7919280000.0,7867.199
81,7792024600.0,7862.865
