step,s_loss,c_loss
1,4582821000.0,0.0
2,3900075300.0,423.75574
3,3218022000.0,1020.12
4,2662734300.0,1560.9891
5,2236360700.0,2059.5884
6,1916005100.0,2471.9521
7,1679179000.0,2789.3477
8,1506752800.0,3016.2712
9,1381901000.0,3168.0293
10,1288934800.0,3267.3594
11,1215884500.0,3335.504
12,1154235500.0,3388.7676
13,1098739000.0,3441.2058
14,1046312450.0,3498.284
15,996247550.0,3560.9456
16,949552100.0,3627.4453
17,907350850.0,3699.1
18,870663900.0,3772.102
19,840090400.0,3843.2007
20,815639900.0,3912.6045
21,796576640.0,3975.3499
22,782166400.0,4027.874
23,771947200.0,4073.087
24,765156000.0,4106.992
25,760837600.0,4130.699
26,758656000.0,4145.7744
27,758056260.0,4152.114
28,758828160.0,4150.6304
29,760642940.0,4145.8496
30,763130100.0,4135.731
31,765819260.0,4123.484
32,768088960.0,4108.2656
33,769416500.0,4090.667
34,769454800.0,4073.9614
35,767966100.0,4057.839
36,764807360.0,4042.8308
37,759855600.0,4028.726
38,752951360.0,4013.669
39,744192300.0,3999.8003
40,733773100.0,3985.773
41,721954000.0,3972.2832
42,708909950.0,3958.768
43,694649900.0,3944.7327
44,679454400.0,3931.1057
45,663772300.0,3919.5288
46,647640800.0,3908.6616
47,631151170.0,3896.7012
48,614794400.0,3888.117
49,598777100.0,3883.7751
50,583260300.0,3880.667
51,568276400.0,3875.385
52,553680400.0,3873.9985
53,539553900.0,3876.1313
54,526112700.0,3882.4556
55,513276830.0,3891.7883
56,501001820.0,3905.0574
57,489466530.0,3919.5447
58,478581820.0,3936.4922
59,468297300.0,3956.912
60,458604640.0,3977.5117
61,449460320.0,3995.7617
62,440773730.0,4012.8916
63,432470620.0,4027.0308
64,424640640.0,4039.0496
65,417116600.0,4048.574
66,409930700.0,4057.5747
67,403050400.0,4066.874
68,396445730.0,4074.9734
69,390106240.0,4084.8752
70,383882300.0,4093.6875
71,377778080.0,4101.1313
72,371807400.0,4108.922
73,365982980.0,4116.8403
74,360296640.0,4125.7393
75,354760580.0,4135.6
76,349372260.0,4146.392
77,344078240.0,4158.0483
78,338841660.0,4168.8975
79,333608480.0,4178.9585
80,328401150.0,4188.5034
81,323170180.0,4197.489
82,317917000.0,4204.2886
83,312664930.0,4209.9326
84,307439940.0,4214.8984
85,302313800.0,4219.7876
86,297264220.0,4224.8945
87,292319400.0,4230.72
88,287501400.0,4237.535
89,282813700.0,4244.531
90,278280000.0,4251.271
91,273917950.0,4257.5366
92,269725000.0,4264.322
93,265673730.0,4270.062
94,261750780.0,4275.256
95,257945140.0,4282.1914
96,254250720.0,4289.462
97,250652210.0,4297.1196
98,247104770.0,4304.809
99,243631650.0,4313.291
100,240207820.0,4322.676
101,236853920.0,4331.8633
102,233590300.0,4340.8916
103,230406190.0,4349.7705
104,227336620.0,4358.135
105,224348460.0,4366.783
106,221456590.0,4375.74
107,218688510.0,4386.019
108,216003250.0,4395.5884
109,213394900.0,4405.892
110,210864830.0,4416.37
111,208416640.0,4427.472
