epoch,time
1,6.0551
2,11.8488
3,17.7871
4,23.7425
5,29.67
6,35.7502
7,41.6081
8,47.6341
9,53.451
10,59.4615
11,65.2283
12,71.0917
13,76.9711
14,82.7316
15,88.717
16,94.5158
17,100.5292
18,106.3516
19,112.362
20,118.2844
21,124.1912
22,130.1615
23,136.035
24,142.0489
25,147.8365
26,153.8394
27,159.6097
28,165.5183
29,171.4063
30,177.2328
31,183.2082
32,189.0052
33,195.0296
34,200.8453
35,206.8034
36,212.651
37,218.5856
38,224.5247
39,230.3153
40,236.2995
41,242.108
42,248.08
43,253.8668
44,259.8033
45,265.6439
46,271.5344
47,277.4902
48,283.2931
49,289.3028
50,295.0893
51,301.1002
52,306.9458
53,312.8913
54,318.7904
55,324.6434
56,330.6201
57,336.4336
58,342.4116
59,348.1993
60,354.1858
61,359.9788
62,365.8782
63,371.7871
64,377.5722
65,383.5944
66,389.4145
67,395.415
68,401.2484
69,407.2439
70,413.0922
71,419.0662
72,425.0668
73,430.8715
74,436.8579
75,442.6591
76,448.6525
77,454.4655
78,460.391
79,466.2392
80,472.0454
81,478.0476
82,483.8613
83,489.8554
84,495.6438
85,501.6189
86,507.4366
87,513.3292
88,519.2522
89,525.0332
90,531.0115
91,536.7909
92,542.7948
93,548.6165
94,554.5265
95,560.388
96,566.2498
97,572.1984
98,578.0011
99,583.9958
100,589.7719
