epoch,time
1,6.5615
2,13.3854
3,19.9457
4,26.7342
5,33.3453
6,40.0064
7,46.7285
8,53.2866
9,60.1492
10,66.7533
11,73.5361
12,80.1609
13,86.8018
14,93.5145
15,100.0605
16,106.8884
17,113.4325
18,120.1498
19,126.7887
20,133.4238
21,140.1742
22,146.7064
23,153.5345
24,160.0713
25,166.768
26,173.4212
27,180.0028
28,186.7605
29,193.3016
30,200.0788
31,206.649
32,213.3205
33,219.9779
34,226.6021
35,233.4087
36,239.9258
37,246.6687
38,253.2833
39,259.9444
40,266.6477
41,273.1901
42,279.9763
43,286.525
44,293.2244
45,299.8313
46,306.4514
47,313.2109
48,319.7523
49,326.5609
50,333.0866
51,339.7741
52,346.4284
53,353.0288
54,359.7659
55,366.3087
56,373.0772
57,379.6235
58,386.367
59,393.0449
60,399.6293
61,406.4156
62,412.9773
63,419.7453
64,426.3579
65,433.0071
66,439.738
67,446.2816
68,453.0888
69,459.6316
70,466.3924
71,472.9969
72,479.6115
73,486.3192
74,492.8601
75,499.6651
76,506.2117
77,512.9136
78,519.5294
79,526.1546
80,532.9065
81,539.4511
82,546.2777
83,552.8285
84,559.5379
85,566.212
86,572.8031
87,579.5909
88,586.1315
89,592.8577
90,599.442
91,606.1027
92,612.7968
93,619.3753
94,626.17
95,632.7088
96,639.4491
97,646.0678
98,652.689
99,659.3763
100,665.9015
