umur,gender,buta_warna,desain_grafis,style_transfer
19,1,0,1,0
20,1,0,0,0
20,1,0,0,0
20,1,0,1,0
20,1,0,0,1
20,2,0,0,0
22,2,0,0,0
23,1,0,1,0
23,1,0,1,0
22,2,0,0,0
22,2,0,0,0
23,1,0,0,0
23,2,0,0,0
24,1,0,0,1
29,1,0,1,0
24,1,0,0,0
24,1,0,0,0
24,1,0,0,1
23,1,0,1,1
23,1,0,0,0
20,1,0,1,0
23,1,0,0,0
20,2,0,1,1
23,1,0,0,1
23,2,0,0,0
24,2,0,0,0
17,2,0,0,0
23,2,0,0,0
17,2,0,1,0
23,2,0,0,0
23,2,0,1,0
23,2,0,0,0
22,2,0,1,0
22,2,0,0,1
25,1,0,0,0
17,1,0,0,1
21,1,0,1,0
23,2,0,1,0
19,2,0,0,0
26,2,0,1,1
21,1,0,0,0
21,1,0,0,0
22,1,0,1,0
22,1,0,0,0
22,1,0,0,0
19,1,0,1,0
21,1,0,1,1
22,2,0,1,1
21,1,0,1,0
19,1,0,0,0
19,1,0,0,0
22,1,0,1,1
17,1,0,0,0
18,1,0,0,0
19,1,0,0,1
19,1,0,1,0
18,1,0,0,0
22,1,0,1,1
21,1,0,1,0
24,1,0,0,0
18,1,0,1,0
20,2,0,1,0
20,1,0,0,0
18,1,0,0,0
19,2,0,1,0
18,2,0,0,0
20,2,0,0,0
22,1,0,1,0
23,2,0,0,0
20,2,0,0,0
19,2,0,1,0
19,2,0,0,0
18,1,0,1,0
19,2,0,0,0
22,1,0,0,0
26,2,0,0,0
29,1,0,0,0
17,1,0,1,0
18,1,0,1,0
21,1,0,1,0
20,1,0,0,0
25,2,0,0,0
20,2,0,1,0
21,1,0,1,0
20,1,0,1,1
33,2,0,0,0
23,2,0,0,0
21,1,0,1,0
23,1,0,1,0
19,2,0,0,0
22,2,1,1,0
23,2,0,0,0
20,2,0,0,0
19,2,0,0,0
18,1,0,1,0
20,2,0,0,0
19,1,0,1,0
18,1,0,1,0
20,1,0,1,0
19,1,0,0,0
19,1,0,1,0
18,1,0,0,0
22,1,0,1,1
21,1,0,1,0
19,1,0,0,0
24,1,0,1,0
21,2,0,0,0
18,1,0,1,0
20,2,0,0,0
18,2,0,1,0
22,2,0,0,0
20,2,0,0,0
20,1,0,1,0
21,2,0,1,1
21,2,0,1,0
21,1,0,1,0
19,1,0,1,0
21,1,0,1,0
20,1,0,1,0
21,1,0,1,0
21,1,0,1,0
20,2,0,0,0
20,1,0,0,0
19,1,0,1,0
20,2,0,0,0
19,1,1,0,0
19,1,0,0,0
21,1,0,1,0
19,1,0,0,0
20,1,0,0,0
21,2,0,1,0
21,2,0,0,0
20,1,0,1,0
22,1,1,1,0
22,1,0,0,0
20,1,0,1,0
19,1,0,1,0
20,2,0,0,0
19,1,0,0,0
19,2,0,0,0
19,1,0,0,0
20,1,1,0,0
19,1,0,0,0
19,2,0,0,0
19,1,0,0,0
20,2,0,1,0
22,2,0,1,0
18,2,0,1,0
22,1,0,1,0
19,2,0,1,0
22,1,0,0,0
20,2,0,0,0
20,2,0,1,0
20,2,0,1,1
20,2,0,1,0
21,2,0,1,0
20,1,0,1,0
21,1,0,1,0
22,1,0,1,0
21,1,0,1,0
20,2,0,1,0
19,2,0,0,0
21,2,0,0,0
20,2,0,1,0
20,2,0,0,0
20,1,0,0,0
20,1,0,1,0
19,1,0,1,0
19,2,0,0,0
22,1,0,0,0
19,2,0,0,0
18,2,0,0,0
19,1,0,1,0
19,2,0,0,0
19,2,0,0,0
20,2,0,0,0
20,1,0,1,0
19,2,0,0,0
20,1,0,0,0
19,2,0,0,1
20,2,0,0,0
20,1,0,0,0
22,2,0,1,0
20,1,0,1,0
21,2,0,0,0
21,2,0,0,0
21,2,0,0,0
21,1,0,1,0
21,2,0,1,0
21,1,1,0,0
20,1,0,0,0
18,2,0,0,0
20,2,0,1,0
20,2,0,0,0
20,2,0,0,0
21,1,0,0,0
26,1,0,0,0
18,2,0,0,0
22,1,0,0,0
18,2,0,0,0
60,1,0,1,0
27,2,0,1,1
27,2,0,1,1
60,2,0,0,1
55,2,0,1,0
30,2,0,0,0
30,2,0,0,1
60,1,0,1,0
63,1,0,1,0
58,2,0,0,0
62,1,0,1,0
59,1,0,0,0
62,1,1,0,0
25,1,0,1,0
27,1,0,1,0
30,1,0,0,0
