buta_warna,sec7_01,sec7_02,sec7_03,sec7_04,sec7_05,sec7_06
0,1,1,2,2,2,1
0,2,2,2,2,2,2
0,2,2,2,2,2,2
0,1,1,2,2,2,1
0,1,1,1,1,2,1
0,2,1,2,1,2,2
0,1,1,2,2,2,1
0,1,2,2,1,1,1
0,1,1,1,1,2,1
0,2,2,1,2,1,1
0,1,1,2,1,1,2
0,2,2,1,1,1,1
0,2,2,2,1,2,1
0,2,2,2,1,2,1
0,1,2,2,1,2,1
0,2,2,2,2,2,2
0,1,1,1,1,2,1
0,1,1,2,2,2,1
0,2,1,1,1,1,1
0,2,2,2,1,2,1
0,2,2,1,2,1,1
0,1,1,2,1,2,1
0,1,1,2,1,2,1
0,2,2,2,2,2,2
0,2,2,2,2,2,2
0,1,1,1,1,2,1
0,2,1,2,2,2,1
0,1,1,2,1,2,1
0,2,1,2,1,2,1
0,2,2,2,2,2,1
0,2,2,2,2,2,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,2,2,2,2,2
0,1,1,2,2,2,2
0,1,1,2,2,1,1
0,2,2,1,2,2,1
0,1,1,1,1,1,1
0,2,2,2,2,1,1
0,1,1,2,2,2,2
0,1,2,2,2,1,1
0,1,1,1,2,2,1
0,1,2,1,1,2,1
0,2,2,2,2,2,2
0,2,2,2,2,2,2
0,2,1,2,2,1,1
0,1,1,1,2,2,2
0,1,2,1,1,1,2
0,2,1,2,2,1,1
0,2,2,2,2,1,2
0,1,1,1,1,1,1
0,2,2,2,2,1,1
0,1,1,2,2,1,2
0,1,1,1,1,2,1
0,2,2,1,1,2,2
0,1,1,2,2,2,1
0,2,2,1,1,2,1
0,1,2,2,2,2,2
0,2,1,2,1,2,1
0,1,1,2,2,1,2
0,2,1,2,1,2,1
0,2,1,2,1,2,1
0,2,2,2,2,1,2
0,1,1,2,2,2,2
0,2,2,2,2,2,2
0,2,2,2,1,1,1
0,2,2,2,2,2,2
0,2,2,1,1,1,2
0,2,2,2,1,1,1
0,1,1,1,2,2,1
0,2,2,2,2,2,2
0,2,2,1,2,2,2
0,2,2,2,2,2,2
0,1,2,2,1,1,1
0,2,2,2,1,2,1
0,1,1,1,1,1,1
0,2,1,1,1,1,1
0,2,2,2,2,2,1
0,2,2,2,2,2,1
0,2,2,1,1,2,1
0,2,2,2,2,1,1
0,2,2,2,2,2,2
0,2,1,2,2,2,1
0,2,2,2,1,2,1
0,1,2,1,2,2,2
0,1,1,1,1,2,1
0,1,1,2,2,1,2
0,1,1,2,2,2,1
0,2,2,1,1,2,1
0,2,2,2,2,2,2
1,2,2,2,2,2,1
0,1,1,1,1,1,1
0,1,1,2,1,1,2
0,1,1,2,1,1,1
0,1,2,1,1,2,1
0,2,1,2,2,2,1
0,1,2,2,2,2,2
0,1,1,2,1,1,1
0,1,2,2,2,2,1
0,2,2,2,2,2,2
0,1,1,2,2,2,1
0,1,1,2,2,1,1
0,1,1,2,2,2,2
0,2,2,2,1,2,2
0,1,2,2,2,2,1
0,2,2,1,1,2,1
0,1,2,2,1,2,1
0,2,2,2,1,2,1
0,2,2,1,1,2,2
0,1,1,1,1,1,1
0,2,2,2,2,1,1
0,1,2,2,2,2,2
0,2,1,1,1,1,2
0,2,2,2,2,2,1
0,2,2,1,1,1,1
0,2,2,2,1,2,2
0,2,2,2,2,2,1
0,1,1,1,1,1,2
0,1,1,2,2,1,1
0,2,2,1,2,1,2
0,2,2,1,2,2,2
0,1,2,2,2,2,1
0,1,1,2,2,2,1
0,2,2,2,2,1,2
0,2,2,2,2,1,2
1,1,1,2,2,2,1
0,2,1,1,1,2,2
0,2,2,2,2,2,2
0,1,1,2,2,1,2
0,2,2,2,2,2,2
0,2,2,2,2,2,1
0,2,2,2,2,2,1
0,2,1,1,2,2,1
1,1,1,2,2,2,2
0,2,2,2,2,2,2
0,1,1,2,2,1,1
0,1,1,1,1,1,1
0,2,1,1,2,1,2
0,2,2,2,2,2,2
0,2,2,2,1,2,1
0,1,1,1,1,1,1
1,2,2,1,2,2,2
0,2,2,2,2,1,1
0,2,1,2,2,1,1
0,2,2,2,1,2,1
