buta_warna,sec8_01,sec8_02,sec8_03,sec8_04,sec8_05,sec8_06,sec8_07,sec8_08,sec8_09,sec8_10,sec8_11,sec8_12,sec8_13,sec8_14,sec8_15,sec8_16,sec8_17,sec8_18
0,5,4,5,4,2,1,1,5,3,5,4,5,3,2,4,5,5,4
0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,5,5,5,4,3,4,2,4,1,4,5,3,5,4,5,3,4,4
0,3,4,3,4,3,4,2,5,2,3,5,5,5,4,4,4,4,4
0,3,4,3,3,2,1,2,3,2,4,5,4,3,3,2,3,3,4
0,4,3,3,4,4,3,2,3,3,5,5,5,4,3,3,3,3,3
0,3,4,4,4,5,3,3,5,4,5,5,5,5,4,4,5,5,5
0,1,2,1,3,2,2,1,4,3,5,5,5,5,4,5,4,5,4
0,4,3,3,5,4,5,2,4,4,3,4,4,5,5,5,3,5,2
0,3,3,3,4,2,4,3,5,3,3,5,4,3,3,4,4,4,4
0,2,2,2,5,3,5,5,5,1,5,5,5,5,5,5,5,5,5
0,3,2,1,3,2,1,1,2,2,3,4,5,2,3,2,3,3,3
0,4,3,3,5,2,4,2,2,2,5,5,4,5,5,5,5,5,4
0,4,2,4,1,2,1,2,1,3,5,5,5,4,4,3,5,5,5
0,4,2,2,4,4,4,1,3,2,2,5,5,5,5,5,5,5,5
0,1,5,1,5,1,5,1,5,5,1,5,1,1,1,1,1,1,1
0,4,4,5,5,4,4,3,3,4,5,5,5,4,4,4,4,4,4
0,4,3,3,4,4,1,3,4,4,5,4,5,5,5,3,3,5,4
0,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,5,3,2,4,3,1,1,1,1,2,4,5,4,5,5,5,4,5
0,4,2,2,2,2,2,2,2,2,2,5,5,5,2,3,3,5,5
0,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,5,5
0,5,4,4,5,3,4,1,4,2,5,5,5,5,5,5,5,5,5
0,4,4,5,4,2,2,2,4,2,4,4,4,4,4,4,3,4,4
0,2,2,2,3,2,3,2,4,2,1,1,2,3,3,3,3,4,3
0,3,5,4,4,2,5,2,5,5,5,4,5,2,3,2,4,4,5
0,4,5,4,5,4,3,3,4,4,5,5,5,5,5,5,5,5,5
0,4,3,5,4,5,4,3,3,3,5,5,5,5,5,5,5,5,5
0,4,3,3,4,2,3,2,5,4,3,4,4,5,5,5,5,4,2
0,4,4,4,5,4,5,4,4,4,4,5,5,4,4,5,4,4,4
0,3,2,2,2,4,3,3,4,3,2,1,2,2,2,1,2,2,2
0,4,2,3,5,3,3,3,4,3,4,4,5,4,5,3,5,5,5
0,4,4,4,1,1,3,2,3,2,5,5,5,2,4,4,4,3,4
0,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,4,5,5,5,3,4,2,3,2,3,4,4,3,3,3,4,5,2
0,3,5,4,5,2,4,4,3,3,4,5,5,5,5,4,4,5,5
0,4,2,3,4,3,4,2,4,3,5,3,5,3,4,4,5,4,4
0,5,2,2,3,1,1,5,5,1,4,5,5,3,5,5,5,5,5
0,3,3,4,4,4,3,3,4,4,5,5,5,5,5,5,4,5,4
0,4,4,4,3,2,2,1,3,2,5,4,4,4,4,4,4,4,4
0,4,2,2,4,3,4,2,3,2,5,5,5,4,4,4,4,4,5
0,2,2,1,2,1,1,2,2,2,2,2,2,2,1,2,2,2,1
0,4,4,3,5,2,2,2,5,2,5,4,4,4,5,5,4,5,2
0,5,4,4,4,4,5,4,4,4,5,5,5,5,5,5,5,5,5
0,1,3,1,5,1,1,4,5,3,4,4,4,4,4,5,4,5,5
0,3,4,4,3,3,4,3,3,3,4,4,3,3,3,3,3,4,4
0,3,1,2,3,3,3,3,3,3,5,5,5,3,4,4,4,3,3
0,4,5,4,3,2,2,1,2,2,3,3,3,2,4,2,3,3,3
0,5,5,5,5,4,5,4,4,4,5,5,5,5,5,5,5,5,5
0,4,4,5,4,2,2,2,2,4,3,4,1,1,2,2,3,3,4
0,3,2,1,5,2,3,1,1,1,3,5,5,4,5,5,5,5,5
0,3,2,3,4,3,4,1,3,2,3,3,4,3,3,4,4,4,4
0,4,3,4,4,2,2,1,4,2,4,4,4,4,4,4,4,4,4
0,3,3,4,4,2,3,3,2,3,1,2,2,2,2,2,1,1,1
0,5,5,4,3,4,5,3,3,4,2,2,2,3,2,4,2,3,2
0,2,4,4,4,5,3,4,5,4,2,2,1,1,1,2,4,2,2
0,5,5,3,2,5,4,4,2,4,5,5,2,1,4,3,4,3,1
0,4,3,5,4,3,2,3,4,3,2,4,2,3,2,3,3,4,4
0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
0,3,3,4,4,2,3,3,5,5,5,5,5,3,3,4,5,5,5
0,2,2,1,3,3,3,2,4,3,4,4,5,3,3,3,4,4,4
0,4,4,4,4,2,3,2,4,2,5,5,5,4,3,2,1,2,1
0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,4,4,5,4,5,4,5,4,4,5,4,4,4,4,5,4,4,5
0,3,5,5,5,2,4,3,5,3,4,5,5,5,4,5,4,4,3
0,3,4,4,3,3,4,2,4,4,4,5,5,5,4,4,4,5,5
0,4,2,4,3,3,3,4,4,3,5,5,5,5,5,5,5,5,5
0,3,3,3,2,1,1,1,4,3,5,3,5,5,5,5,5,5,4
0,2,2,2,4,4,4,4,5,5,4,4,4,4,5,5,5,5,5
0,5,4,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3
0,5,3,4,4,2,4,4,4,5,5,4,5,4,5,5,5,5,5
0,3,3,4,5,2,4,2,4,3,5,5,4,4,3,2,3,3,4
0,3,3,3,3,2,5,2,5,1,5,5,5,4,5,5,5,5,5
0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0,4,4,4,5,5,5,5,5,5,5,5,5,5,4,4,4,3,4
0,3,2,1,3,2,4,2,4,2,5,5,5,5,5,5,5,5,5
0,2,3,3,2,2,2,1,4,2,2,2,2,2,2,2,2,3,3
0,4,2,2,5,3,2,2,4,2,5,5,5,5,5,5,4,5,5
0,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5
0,3,4,5,4,2,2,1,4,1,4,5,5,5,4,3,3,4,4
0,4,3,3,3,3,4,4,4,4,5,4,5,4,5,5,5,4,5
0,3,3,4,4,3,4,3,4,3,4,5,4,5,4,3,4,4,4
0,4,4,3,5,3,4,5,3,3,5,5,5,4,4,4,4,5,4
0,3,3,3,4,3,4,2,4,3,5,4,4,4,3,4,2,4,3
0,3,4,4,4,2,4,3,5,2,3,5,5,5,5,4,5,5,4
0,4,5,3,5,3,2,1,5,1,5,5,5,4,4,5,5,5,5
0,4,2,2,4,4,4,5,1,2,5,5,4,4,4,1,3,1,4
